# Ic = 52.67 A, n = 32.13 , Tavg = 25.88 K, 20Ktargetstep7
#idx    t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
    0  16818.28        3.99903400e+01        1.69796735e-07  25.8968  20.3456
    1  16818.54        4.05295800e+01        1.30315535e-07  25.8968  20.3456
    2  16818.79        4.09322200e+01        1.19221235e-07  25.8968  20.3456
    3  16819.12        4.14688100e+01        1.37939135e-07  25.8968  20.3456
    4  16819.38        4.19874400e+01        1.67317535e-07  25.9081  19.7970
    5  16819.65        4.24594100e+01        1.53372035e-07  25.9081  19.7970
    6  16819.90        4.29617900e+01        1.22630035e-07  25.9081  19.7970
    7  16820.28        4.35500500e+01        1.30129635e-07  25.8702  20.2167
    8  16820.55        4.40501500e+01        9.99454350e-08  25.8702  20.2167
    9  16820.79        4.45066500e+01        7.06909350e-08  25.8702  20.2167
   10  16821.08        4.50571100e+01        9.84591350e-08  25.8702  20.2167
   11  16821.40        4.55493400e+01        1.22634435e-07  25.9161  20.1224
   12  16821.67        4.60116800e+01        9.53651350e-08  25.9161  20.1224
   13  16821.92        4.65070400e+01        1.16624235e-07  25.9161  20.1224
   14  16822.32        4.70533400e+01        1.38689135e-07  25.8780  19.8537
   15  16822.58        4.75652400e+01        1.46188635e-07  25.8780  19.8537
   16  16822.82        4.79978300e+01        1.69493135e-07  25.8780  19.8537
   17  16823.11        4.85339800e+01        2.05193535e-07  25.8955  20.3450
   18  16823.41        4.90160500e+01        1.70112935e-07  25.8955  20.3450
   19  16823.65        4.95410000e+01        1.47118335e-07  25.8955  20.3450
   20  16823.90        5.00221000e+01        1.59452335e-07  25.8955  20.3450
   21  16824.27        5.05095200e+01        1.01563135e-07  25.9055  19.7959
   22  16824.56        5.10137100e+01        1.14454935e-07  25.9055  19.7959
   23  16824.81        5.15262900e+01        1.80215635e-07  25.9055  19.7959
   24  16825.11        5.20039500e+01        2.30295335e-07  25.8745  20.2145
   25  16825.40        5.25076800e+01        2.43187135e-07  25.8745  20.2145
   26  16825.65        5.30370200e+01        3.49668535e-07  25.8745  20.2145
   27  16825.91        5.35367000e+01        4.66190735e-07  25.8745  20.2145
   28  16826.29        5.40122900e+01        5.79118035e-07  25.8611  20.0269
   29  16826.56        5.45287700e+01        8.09311235e-07  25.8611  20.0269
   30  16826.82        5.49742700e+01        1.03783103e-06  25.8611  20.0269
   31  16827.07        5.55441300e+01        1.27571103e-06  25.8611  20.0269
   32  16827.36        5.60670700e+01        1.62676633e-06  25.8854  19.8574
   33  16827.64        5.65978500e+01        2.22282743e-06  25.8854  19.8574
   34  16827.89        5.71002900e+01        2.67019813e-06  25.8854  19.8574
   35  16828.15        5.75446300e+01        3.80635113e-06  25.8967  20.3523
   36  16828.45        5.80857500e+01        5.17356513e-06  25.8967  20.3523
   37  16828.72        5.85651800e+01        6.47315903e-06  25.8967  20.3523
   38  16828.97        5.90481300e+01        8.43699123e-06  25.8967  20.3523
   39  16829.32        5.95808200e+01        1.05050735e-05  25.9147  19.8091
   40  16829.59        6.00976000e+01        1.32413607e-05  25.9147  19.8091
   41  16829.85        6.05645100e+01        1.64571862e-05  25.9147  19.8091
   42  16830.14        6.10980400e+01        2.27680382e-05  25.8798  20.2159
