# Ic = 35.47 A, n = 26.62 , Tavg = 25.93 K, 20Kstep10
#idx    t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
    0  2330.10        2.49650600e+01        1.78764275e-07  25.9289  19.7640
    1  2330.35        2.51262100e+01        1.64942775e-07  25.9289  19.7640
    2  2330.60        2.53244900e+01        1.16536575e-07  25.9289  19.7640
    3  2330.93        2.55031600e+01        9.49675750e-08  25.9154  20.2962
    4  2331.19        2.57559500e+01        1.08789075e-07  25.9154  20.2962
    5  2331.44        2.59423000e+01        7.22209750e-08  25.9154  20.2962
    6  2331.70        2.61898000e+01        5.25733750e-08  25.9154  20.2962
    7  2332.02        2.63475000e+01        7.52579750e-08  25.9547  19.8775
    8  2332.36        2.65127600e+01        4.35862750e-08  25.9547  19.8775
    9  2332.74        2.67227800e+01        2.57980750e-08  25.9547  19.8775
   10  2333.06        2.69533000e+01        4.20415750e-08  25.9069  19.9843
   11  2333.32        2.71220100e+01        6.68366750e-08  25.9069  19.9843
   12  2333.60        2.73411500e+01        6.69605750e-08  25.9069  19.9843
   13  2333.90        2.75159400e+01        2.81611750e-08  25.9470  20.2396
   14  2334.17        2.77694500e+01        4.66931750e-08  25.9470  20.2396
   15  2334.43        2.79126000e+01        1.00305775e-07  25.9470  20.2396
   16  2334.74        2.81500300e+01        7.09272750e-08  25.9470  20.2396
   17  2335.10        2.83527500e+01        4.34702750e-08  25.9163  19.7512
   18  2335.35        2.85098400e+01        8.24555750e-08  25.9163  19.7512
   19  2335.60        2.87101400e+01        8.90254750e-08  25.9163  19.7512
   20  2335.92        2.89467700e+01        9.71447750e-08  25.9169  20.3038
   21  2336.19        2.91694000e+01        9.97479750e-08  25.9169  20.3038
   22  2336.43        2.93167000e+01        8.14638750e-08  25.9169  20.3038
   23  2336.78        2.95541600e+01        4.32222750e-08  25.9169  20.3038
   24  2337.11        2.97506400e+01        3.64664750e-08  25.9489  19.8794
   25  2337.35        2.99118900e+01        4.73129750e-08  25.9489  19.8794
   26  2337.60        3.01085000e+01        2.46283750e-08  25.9489  19.8794
   27  2337.88        3.03509400e+01        3.59706750e-08  25.9045  19.9784
   28  2338.15        3.05576400e+01        7.08807500e-09  25.9045  19.9784
   29  2338.41        3.07029100e+01       -1.10100250e-08  25.9045  19.9784
   30  2338.70        3.09616500e+01        1.26052750e-08  25.9045  19.9784
   31  2338.99        3.11402500e+01       -3.10260250e-08  25.9426  20.2426
   32  2339.25        3.13661000e+01       -8.56287250e-08  25.9426  20.2426
   33  2339.49        3.15031100e+01       -7.13733250e-08  25.9426  20.2426
   34  2339.85        3.17687100e+01       -6.89561250e-08  25.9263  19.7624
   35  2340.14        3.19725700e+01       -1.69550250e-08  25.9263  19.7624
   36  2340.39        3.21213500e+01        2.55011750e-08  25.9263  19.7624
   37  2340.74        3.23697600e+01        4.66982750e-08  25.9263  19.7624
   38  2341.07        3.25593800e+01        4.16159750e-08  25.9124  20.3003
   39  2341.33        3.27190300e+01        2.36417750e-08  25.9124  20.3003
   40  2341.57        3.29302800e+01        5.06649750e-08  25.9124  20.3003
   41  2341.89        3.31612800e+01        3.65955750e-08  25.9449  19.8921
   42  2342.20        3.33655300e+01        4.59544750e-08  25.9449  19.8921
   43  2342.52        3.35679300e+01        8.53736750e-08  25.9449  19.8921
   44  2342.87        3.37630200e+01        8.46919750e-08  25.9449  19.8921
   45  2343.19        3.39620200e+01        1.21198075e-07  25.9010  19.8839
   46  2343.49        3.41789700e+01        1.52559875e-07  25.9010  19.8839
   47  2343.76        3.43744600e+01        1.45618175e-07  25.9451  20.2566
   48  2344.09        3.45775500e+01        1.71215875e-07  25.9451  20.2566
   49  2344.34        3.47310100e+01        1.81628475e-07  25.9451  20.2566
   50  2344.60        3.49295900e+01        1.96809075e-07  25.9451  20.2566
   51  2344.91        3.51738000e+01        2.21161175e-07  25.9222  19.7559
   52  2345.17        3.53950300e+01        2.23263975e-07  25.9222  19.7559
   53  2345.42        3.55310500e+01        2.50411175e-07  25.9222  19.7559
   54  2345.70        3.57687200e+01        3.23919275e-07  25.9150  20.3041
   55  2345.99        3.59624100e+01        3.12081075e-07  25.9150  20.3041
   56  2346.33        3.61337300e+01        3.25468675e-07  25.9150  20.3041
   57  2346.58        3.63325500e+01        3.76911975e-07  25.9150  20.3041
   58  2346.85        3.65738300e+01        4.03253375e-07  25.9475  19.9106
   59  2347.11        3.67915300e+01        4.61204575e-07  25.9475  19.9106
   60  2347.38        3.69414000e+01        5.94585175e-07  25.9475  19.9106
   61  2347.69        3.71868700e+01        6.84269975e-07  25.9475  19.9106
   62  2348.09        3.73600000e+01        8.21493375e-07  25.9065  19.9647
   63  2348.34        3.75445800e+01        9.16880375e-07  25.9065  19.9647
   64  2348.63        3.77448300e+01        1.10151827e-06  25.9065  19.9647
   65  2348.93        3.79838000e+01        1.25739757e-06  25.9318  20.2544
   66  2349.19        3.82056600e+01        1.43379217e-06  25.9318  20.2544
   67  2349.45        3.84141700e+01        1.66503897e-06  25.9318  20.2544
   68  2349.78        3.85941100e+01        1.98541278e-06  25.9318  20.2544
   69  2350.11        3.87928900e+01        2.27076798e-06  25.9295  19.7674
   70  2350.35        3.89672900e+01        2.55215817e-06  25.9295  19.7674
   71  2350.67        3.92004700e+01        2.83925598e-06  25.9295  19.7674
   72  2350.96        3.93826800e+01        3.22335418e-06  25.9081  20.3009
   73  2351.23        3.96313100e+01        3.64512717e-06  25.9081  20.3009
   74  2351.47        3.97521600e+01        4.10576157e-06  25.9081  20.3009
   75  2351.74        3.99981000e+01        4.64455258e-06  25.9514  19.9263
   76  2352.10        4.01963100e+01        6.02905888e-06  25.9514  19.9263
   77  2352.34        4.03629800e+01        6.18574398e-06  25.9514  19.9263
   78  2352.66        4.06213200e+01        7.53578958e-06  25.9514  19.9263
   79  2352.98        4.07923800e+01        8.65049748e-06  25.9047  19.9565
   80  2353.32        4.10039100e+01        9.87887648e-06  25.9047  19.9565
   81  2353.56        4.11690800e+01        1.09649497e-05  25.9047  19.9565
   82  2353.85        4.13950400e+01        1.23450554e-05  25.9403  20.2697
   83  2354.13        4.15978400e+01        1.39228769e-05  25.9403  20.2697
   84  2354.38        4.18231300e+01        1.57818391e-05  25.9403  20.2697
   85  2354.74        4.19898300e+01        1.69006996e-05  25.9403  20.2697
   86  2355.09        4.22033400e+01        2.02885810e-05  25.9282  19.7686
