# Ic = 22.56 A, n = 18.97 , Tavg = 25.85 K, 20Kafterstep13
#idx    t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
    0  1147.93        1.48559500e+01        1.29504326e-07  25.8547  19.7328
    1  1148.17        1.50513100e+01        7.97343060e-08  25.8547  19.7328
    2  1148.51        1.52586300e+01        7.23586660e-08  25.8209  20.0678
    3  1148.75        1.54531000e+01        3.57286260e-08  25.8209  20.0678
    4  1149.00        1.56510400e+01        6.59875600e-09  25.8209  20.0678
    5  1149.28        1.58375400e+01       -1.39158740e-08  25.8209  20.0678
    6  1149.53        1.60770300e+01       -2.85429940e-08  25.7944  20.1138
    7  1149.81        1.62532400e+01       -4.25505040e-08  25.7944  20.1138
    8  1150.06        1.64511000e+01       -6.05867240e-08  25.7944  20.1138
    9  1150.37        1.66482000e+01       -1.04344704e-07  25.7944  20.1138
   10  1150.65        1.68863400e+01       -1.35830614e-07  25.8298  19.7530
   11  1150.93        1.70447700e+01       -1.69113954e-07  25.8298  19.7530
   12  1151.18        1.72281100e+01       -1.98678484e-07  25.8298  19.7530
   13  1151.51        1.74465600e+01       -2.20557474e-07  25.8298  19.7530
   14  1151.75        1.76651600e+01       -2.78446924e-07  25.8032  20.2448
   15  1152.01        1.78327300e+01       -3.25365884e-07  25.8032  20.2448
   16  1152.26        1.80143900e+01       -3.83379304e-07  25.8032  20.2448
   17  1152.62        1.82722600e+01       -4.56701804e-07  25.8602  19.7651
   18  1152.90        1.84332800e+01       -5.14033444e-07  25.8602  19.7651
   19  1153.15        1.86316100e+01       -5.34734804e-07  25.8602  19.7651
   20  1153.49        1.88699700e+01       -5.65972794e-07  25.8184  20.0528
   21  1153.75        1.90315400e+01       -6.13325624e-07  25.8184  20.0528
   22  1154.00        1.92087600e+01       -6.13759484e-07  25.8184  20.0528
   23  1154.26        1.94161500e+01       -5.94173764e-07  25.8184  20.0528
   24  1154.61        1.96692200e+01       -6.00557714e-07  25.8455  20.1302
   25  1154.87        1.98355700e+01       -6.07189564e-07  25.8455  20.1302
   26  1155.12        2.00559900e+01       -5.68018074e-07  25.8455  20.1302
   27  1155.39        2.02620200e+01       -5.45891154e-07  25.8455  20.1302
   28  1155.69        2.05108900e+01       -5.37275914e-07  25.8335  19.7526
   29  1155.95        2.06757800e+01       -5.17194344e-07  25.8335  19.7526
   30  1156.19        2.08739400e+01       -5.02133174e-07  25.8335  19.7526
   31  1156.45        2.11096100e+01       -4.79510424e-07  25.8450  20.2873
   32  1156.72        2.13202900e+01       -4.92960114e-07  25.8450  20.2873
   33  1156.97        2.14770400e+01       -4.82423484e-07  25.8450  20.2873
   34  1157.22        2.16534400e+01       -4.76101514e-07  25.8450  20.2873
   35  1157.66        2.19166200e+01       -4.68292014e-07  25.8619  19.7812
   36  1157.93        2.20783800e+01       -5.00087824e-07  25.8619  19.7812
   37  1158.17        2.22722700e+01       -5.18062064e-07  25.8619  19.7812
   38  1158.46        2.25181900e+01       -5.21904834e-07  25.8241  20.0510
   39  1158.70        2.27057300e+01       -5.16946424e-07  25.8241  20.0510
   40  1158.95        2.28808400e+01       -4.98290404e-07  25.8241  20.0510
   41  1159.21        2.30526200e+01       -4.95997134e-07  25.8241  20.0510
   42  1159.50        2.33192500e+01       -4.52858954e-07  25.8678  20.1627
   43  1159.75        2.34816900e+01       -3.22328774e-07  25.8678  20.1627
   44  1160.00        2.36820400e+01       -2.02273234e-07  25.8678  20.1627
   45  1160.24        2.38605000e+01       -6.20121740e-08  25.8678  20.1627
   46  1160.60        2.41205200e+01        8.77318560e-08  25.8431  19.7638
   47  1160.85        2.42774300e+01        1.89813466e-07  25.8431  19.7638
   48  1161.10        2.44609200e+01        3.16377256e-07  25.8431  19.7638
   49  1161.39        2.46770100e+01        4.59799336e-07  25.8431  19.7638
   50  1161.66        2.49135900e+01        5.96279636e-07  25.8428  20.2890
   51  1161.93        2.50753300e+01        7.86558716e-07  25.8428  20.2890
   52  1162.18        2.52562200e+01        9.51673846e-07  25.8428  20.2890
   53  1162.49        2.55117700e+01        1.12397868e-06  25.8721  19.7981
   54  1162.76        2.56757800e+01        1.34524783e-06  25.8721  19.7981
   55  1163.00        2.58698900e+01        1.53149820e-06  25.8721  19.7981
   56  1163.25        2.60462500e+01        1.65359910e-06  25.8721  19.7981
   57  1163.54        2.63153800e+01        2.04035527e-06  25.8247  20.0395
   58  1163.79        2.65249400e+01        2.52950264e-06  25.8247  20.0395
   59  1164.04        2.66774200e+01        2.84603529e-06  25.8247  20.0395
   60  1164.31        2.68676400e+01        3.30927496e-06  25.8247  20.0395
   61  1164.61        2.71203300e+01        4.58172752e-06  25.8432  20.1529
   62  1164.86        2.72794200e+01        5.90289648e-06  25.8432  20.1529
   63  1165.10        2.74799700e+01        7.18526583e-06  25.8432  20.1529
   64  1165.54        2.76786300e+01        8.48945223e-06  25.8432  20.1529
   65  1165.79        2.79222300e+01        9.92881733e-06  25.8435  19.7586
   66  1166.04        2.80858800e+01        1.21759077e-05  25.8435  19.7586
   67  1166.33        2.82701700e+01        1.43642409e-05  25.8435  19.7586
   68  1166.66        2.85152100e+01        1.85632786e-05  25.8491  20.2966
   69  1166.94        2.86782300e+01        2.17970939e-05  25.8491  20.2966
