# Tc_lossless =  nan K, Tc_50 =  nan K, Tc_superconducting =  nan K, pristine
#idx    t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
    0  11603.44        4.93487200e-03        1.03431500e-04  94.1680  92.0823
    1  11604.36        4.78010100e-03        1.03521801e-04  94.0990  92.0083
    2  11605.24        4.65204100e-03        1.03453967e-04  94.0990  92.0083
    3  11606.15        4.70093600e-03        1.03501225e-04  94.0950  92.0028
    4  11607.05        4.62325200e-03        1.03476147e-04  94.0846  91.9941
    5  11607.95        4.44021200e-03        1.03532237e-04  94.1656  92.0833
    6  11608.82        4.35933900e-03        1.03496476e-04  94.2553  92.1840
    7  11609.71        4.57109300e-03        1.03543146e-04  94.1296  92.0433
    8  11610.64        4.29486500e-03        1.03498460e-04  94.0576  91.9611
    9  11611.58        4.72616300e-03        1.03499885e-04  94.0345  91.9318
   10  11612.57        4.77691300e-03        1.03470805e-04  94.2115  92.1308
   11  11613.47        4.60507700e-03        1.03553841e-04  94.3374  92.2642
   12  11614.38        4.11724400e-03        1.03455638e-04  94.2236  92.1387
   13  11615.28        4.47701600e-03        1.03479748e-04  94.2236  92.1387
   14  11616.19        4.66502600e-03        1.03488983e-04  94.0602  91.9537
   15  11617.09        4.54282600e-03        1.03560783e-04  94.0972  91.9962
   16  11617.99        4.49808600e-03        1.03509827e-04  94.2197  92.1307
   17  11619.00        4.57643600e-03        1.03585483e-04  94.1998  92.1070
   18  11620.19        4.48013000e-03        1.03449845e-04  94.2254  92.1266
   19  11621.08        4.58704500e-03        1.03525705e-04  94.0859  91.9768
   20  11621.96        4.62533100e-03        1.03502619e-04  94.1104  92.0015
   21  11622.86        4.35652100e-03        1.03423288e-04  94.2149  92.1171
   22  11623.80        4.74315200e-03        1.03524430e-04  94.2690  92.1735
   23  11624.74        4.58430100e-03        1.03497749e-04  94.1082  91.9938
   24  11625.65        4.52041900e-03        1.03530132e-04  94.0885  91.9640
   25  11626.59        4.52398000e-03        1.03501002e-04  94.0694  91.9455
   26  11627.51        4.44473900e-03        1.03511166e-04  94.1999  92.0910
   27  11628.50        4.59520700e-03        1.03484981e-04  94.1873  92.0738
   28  11629.47        4.85236800e-03        1.03460373e-04  94.0735  91.9474
   29  11630.38        4.98985200e-03        1.03453042e-04  94.1092  91.9901
   30  11631.30        4.70293900e-03        1.03487996e-04  94.1092  91.9901
   31  11632.18        4.70768800e-03        1.03495806e-04  94.0206  91.8863
   32  11633.07        4.70353200e-03        1.03498006e-04  94.2080  92.0913
   33  11633.94        4.70828000e-03        1.03480002e-04  94.2205  92.1004
   34  11634.82        4.55484500e-03        1.03524718e-04  94.0662  91.9256
   35  11635.77        4.76615300e-03        1.03391450e-04  94.1629  92.0321
   36  11636.68        4.47412100e-03        1.03543999e-04  94.2236  92.0975
   37  11637.59        4.67541400e-03        1.03515149e-04  94.1906  92.0599
   38  11638.52        4.72623800e-03        1.03531604e-04  94.2343  92.1057
   39  11639.51        4.97071200e-03        1.03432099e-04  94.0704  91.9205
   40  11640.46        4.87537100e-03        1.03475359e-04  94.1395  91.9969
   41  11641.35        4.70279300e-03        1.03443594e-04  94.1227  91.9784
   42  11642.24        4.81371400e-03        1.03514742e-04  94.1227  91.9784
   43  11643.22        4.97100800e-03        1.03517251e-04  94.2062  92.0697
   44  11644.11        4.92626700e-03        1.03451494e-04  94.2413  92.1133
   45  11645.01        4.54490400e-03        1.03483908e-04  94.0021  91.8428
   46  11645.89        4.88085900e-03        1.03535659e-04  94.1245  91.9752
   47  11646.80        4.92010900e-03        1.03492284e-04  94.0878  91.9325
   48  11647.78        4.88709100e-03        1.03486412e-04  94.1918  92.0516
   49  11648.75        4.91491500e-03        1.03411420e-04  94.2160  92.0728
   50  11649.67        4.73795800e-03        1.03461374e-04  93.9929  91.8282
   51  11650.69        4.92574700e-03        1.03456943e-04  94.1276  91.9719
   52  11651.69        4.78425800e-03        1.03475040e-04  94.1052  91.9473
   53  11652.60        4.84042400e-03        1.03492771e-04  94.1776  92.0274
   54  11653.57        4.69418400e-03        1.03481863e-04  94.1883  92.0377
   55  11654.47        4.59839800e-03        1.03448891e-04  93.9912  91.8165
   56  11655.37        4.62770400e-03        1.03409008e-04  94.1251  91.9695
   57  11656.24        4.92982600e-03        1.03460698e-04  94.1251  91.9695
   58  11657.18        5.00046000e-03        1.03406250e-04  94.0840  91.9229
   59  11658.08        4.85118000e-03        1.03459706e-04  94.1691  92.0212
   60  11659.00        5.05989100e-03        1.03467741e-04  93.9332  91.7693
   61  11659.88        4.80414000e-03        1.03471831e-04  94.2018  92.0479
   62  11660.77        4.99875500e-03        1.03470963e-04  94.1066  91.9505
   63  11661.67        4.65426600e-03        1.03410876e-04  94.1197  91.9570
   64  11662.60        4.59424200e-03        1.03454849e-04  94.1622  92.0065
   65  11663.62        4.78922700e-03        1.03457886e-04  94.2087  92.0566
   66  11664.61        4.72497300e-03        1.03430643e-04  93.9813  91.8045
   67  11665.51        4.77349500e-03        1.03441164e-04  94.0857  91.9123
   68  11666.42        4.47218700e-03        1.03407976e-04  94.1324  91.9615
   69  11667.37        4.66813600e-03        1.03388422e-04  94.1324  91.9615
   70  11668.27        4.77482800e-03        1.03519442e-04  94.1574  91.9887
   71  11669.15        4.94488200e-03        1.03452847e-04  94.1574  91.9846
   72  11670.09        4.83678000e-03        1.03365476e-04  93.9663  91.7781
   73  11671.02        4.79523200e-03        1.03242323e-04  94.0837  91.9015
   74  11671.93        4.85310500e-03        1.03417564e-04  94.0405  91.8831
   75  11672.82        4.74708000e-03        1.03431756e-04  94.1247  91.9532
   76  11673.74        4.83841400e-03        1.03443656e-04  94.1441  91.9743
   77  11674.70        4.97812300e-03        1.03547995e-04  93.9834  91.7957
