# Ic = 30.22 A, n = 27.65 , Tavg = 0.00 K, afterRTannealing
#idx    t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
    0  4876.13       -1.12688800e-01        3.68815000e-09  0.0000  19.7051
    1  4876.39        5.80200600e-01        2.33351500e-08  0.0000  20.2304
    2  4876.64        1.24365100e+00        4.55241500e-08  0.0000  20.2304
    3  4876.88        1.94373700e+00        4.94291500e-08  0.0000  20.2304
    4  4877.24        2.63566800e+00        5.81681500e-08  0.0000  20.2304
    5  4877.52        3.37745900e+00        6.14531500e-08  0.0000  19.8088
    6  4877.77        4.05139500e+00        6.74651500e-08  0.0000  19.8088
    7  4878.03        4.73071800e+00        7.97371500e-08  0.0000  19.8088
    8  4878.34        5.49405900e+00        8.99021500e-08  0.0000  19.9252
    9  4878.60        6.18802300e+00        8.97161500e-08  0.0000  19.9252
   10  4878.84        6.86421600e+00        8.45721500e-08  0.0000  19.9252
   11  4879.11        7.60240200e+00        9.59141500e-08  0.0000  19.9252
   12  4879.39        8.31323400e+00        9.34351500e-08  0.0000  20.1714
   13  4879.65        9.00484800e+00        9.33111500e-08  0.0000  20.1714
   14  4879.90        9.70322200e+00        1.02794150e-07  0.0000  20.1714
   15  4880.18        1.04506500e+01        1.00377150e-07  0.0000  20.1714
   16  4880.47        1.11528700e+01        1.00934150e-07  0.0000  19.7065
   17  4880.72        1.18040800e+01        1.22627150e-07  0.0000  19.7065
   18  4880.96        1.25102100e+01        1.35953150e-07  0.0000  19.7065
   19  4881.22        1.32385700e+01        1.35086150e-07  0.0000  20.2311
   20  4881.47        1.39271200e+01        1.20025150e-07  0.0000  20.2311
   21  4881.71        1.45795200e+01        1.21389150e-07  0.0000  20.2311
   22  4881.96        1.52683700e+01        1.26037150e-07  0.0000  20.2311
   23  4882.24        1.60052200e+01        1.20707150e-07  0.0000  19.8009
   24  4882.50        1.66996800e+01        1.29756150e-07  0.0000  19.8009
   25  4882.75        1.73562400e+01        1.31058150e-07  0.0000  19.8009
   26  4883.00        1.80541800e+01        1.37318150e-07  0.0000  19.8009
   27  4883.32        1.87883800e+01        1.52565150e-07  0.0000  19.9308
   28  4883.56        1.94677800e+01        1.48288150e-07  0.0000  19.9308
   29  4883.81        2.01828400e+01        1.34033150e-07  0.0000  19.9308
   30  4884.09        2.08649700e+01        1.36078150e-07  0.0000  19.9308
   31  4884.40        2.16333300e+01        1.45561150e-07  0.0000  20.1680
   32  4884.65        2.22958800e+01        1.42338150e-07  0.0000  20.1680
   33  4884.89        2.29950100e+01        1.41904150e-07  0.0000  20.1680
   34  4885.16        2.37351500e+01        1.58949150e-07  0.0000  19.7080
   35  4885.44        2.44285800e+01        1.71283150e-07  0.0000  19.7080
   36  4885.69        2.50933900e+01        1.64093150e-07  0.0000  19.7080
   37  4885.94        2.57904400e+01        1.58143150e-07  0.0000  19.7080
   38  4886.20        2.65284400e+01        1.45747150e-07  0.0000  20.2359
   39  4886.46        2.72262900e+01        1.45685150e-07  0.0000  20.2359
   40  4886.70        2.78877400e+01        1.61490150e-07  0.0000  20.2359
   41  4886.95        2.85896900e+01        1.84417150e-07  0.0000  20.2359
   42  4887.21        2.92832100e+01        2.38823150e-07  0.0000  19.8062
   43  4887.48        3.00178200e+01        3.18398150e-07  0.0000  19.8062
   44  4887.74        3.06855200e+01        4.70869150e-07  0.0000  19.8062
   45  4887.99        3.13762500e+01        6.94554150e-07  0.0000  19.8062
   46  4888.26        3.21364800e+01        1.18549715e-06  0.0000  19.9253
   47  4888.54        3.28394000e+01        2.71522415e-06  0.0000  19.9253
   48  4888.79        3.35172800e+01        4.25802815e-06  0.0000  19.9253
   49  4889.03        3.41941000e+01        7.11307115e-06  0.0000  19.9253
   50  4889.38        3.49575000e+01        1.11380481e-05  0.0000  20.1657
   51  4889.63        3.56089900e+01        1.72423261e-05  0.0000  20.1657
   52  4889.88        3.62979000e+01        2.82842351e-05  0.0000  20.1657
