# Ic = 16.86 A, n = 32.15 , Tavg = 19.82 K, f26_afterirr_20K
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-11-11_01:40:21.070000      5840.20        1.67576200e+00       -1.21819180e-08  19.8001  18.6724
0202-11-11_01:40:21.470000      5840.60        2.08651800e+00        6.41151200e-09  19.8001  18.6724
0202-11-11_01:40:21.870000      5841.00        2.26867600e+00       -5.79817800e-09  19.7819  18.9873
0202-11-11_01:40:22.277000      5841.41        2.66032200e+00       -2.57522800e-09  19.7819  18.9873
0202-11-11_01:40:22.684000      5841.81        2.86476800e+00        5.04829200e-09  19.7819  18.9873
0202-11-11_01:40:23.080000      5842.21        3.25410300e+00        1.21757720e-08  19.7950  18.8624
0202-11-11_01:40:23.470000      5842.60        3.66283600e+00       -6.54161800e-09  19.7950  18.8624
0202-11-11_01:40:23.880000      5843.01        3.84906300e+00       -9.88843800e-09  19.7985  18.7443
0202-11-11_01:40:24.277000      5843.41        4.25659200e+00       -1.40409680e-08  19.7985  18.7443
0202-11-11_01:40:24.684000      5843.81        4.43982800e+00       -2.28418680e-08  19.7985  18.7443
0202-11-11_01:40:25.090000      5844.22        4.82921600e+00       -2.50730780e-08  19.7746  19.0307
0202-11-11_01:40:25.492000      5844.62        5.03252600e+00       -1.64534800e-09  19.7746  19.0307
0202-11-11_01:40:25.890000      5845.02        5.42289900e+00       -1.10660180e-08  19.8027  18.7012
0202-11-11_01:40:26.310000      5845.44        5.62501400e+00       -1.96189980e-08  19.8027  18.7012
0202-11-11_01:40:26.715000      5845.85        6.01469000e+00        1.26762200e-09  19.7803  18.9571
0202-11-11_01:40:27.117000      5846.25        6.22116900e+00        1.32294020e-08  19.7803  18.9571
0202-11-11_01:40:27.523000      5846.65        6.61081400e+00        2.69265620e-08  19.7803  18.9571
0202-11-11_01:40:27.938000      5847.07        6.81404500e+00        6.78368200e-09  19.8011  18.6753
