# Ic =  nan A, n =  nan , Tavg = 20.44 K, f26_afterirrstep2_20K_pulse_40ms_0
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-11-11_07:03:29.684000      25228.81        1.70911300e+00        3.66542580e-08  20.5851  19.3899
0202-11-11_07:03:30.090000      25229.22        2.11845200e+00        4.22322880e-08  20.4101  19.3465
0202-11-11_07:03:30.490000      25229.62        2.30275900e+00        4.16744780e-08  20.4101  19.3465
0202-11-11_07:03:30.900000      25230.03        2.69272900e+00        3.07043680e-08  20.4169  19.1606
0202-11-11_07:03:31.300000      25230.43        2.89698100e+00        3.09522780e-08  20.4169  19.1606
0202-11-11_07:03:31.703000      25230.83        3.28654300e+00        3.03324980e-08  20.4169  19.1606
0202-11-11_07:03:32.094000      25231.22        3.70051500e+00        2.46924880e-08  20.3897  19.4765
0202-11-11_07:03:32.490000      25231.62        3.88387100e+00        2.60560080e-08  20.3897  19.4765
0202-11-11_07:03:32.883000      25232.01        4.29246000e+00        2.54362280e-08  20.4384  19.1444
0202-11-11_07:03:33.285000      25232.42        4.47529400e+00        3.83896480e-08  20.4384  19.1444
0202-11-11_07:03:33.707000      25232.84        4.86421900e+00        3.83896480e-08  20.4384  19.1444
0202-11-11_07:03:34.110000      25233.24        5.06933500e+00        3.74599780e-08  20.4210  19.3771
0202-11-11_07:03:34.510000      25233.64        5.46103200e+00        5.09711980e-08  20.4210  19.3771
0202-11-11_07:03:34.918000      25234.05        5.66359600e+00        2.78533680e-08  20.4181  19.1421
0202-11-11_07:03:35.312000      25234.44        6.05337100e+00        3.25025680e-08  20.4181  19.1421
0202-11-11_07:03:35.723000      25234.85        6.26169300e+00        2.94042080e-08  20.4181  19.1421
0202-11-11_07:03:36.113000      25235.25        6.65364900e+00        3.56020180e-08  20.4296  19.1617
0202-11-11_07:03:36.520000      25235.65        6.85504000e+00        3.09536680e-08  20.4296  19.1617
0202-11-11_07:03:36.930000      25236.06        7.24354600e+00        3.91347780e-08  20.4150  19.3094
0202-11-11_07:03:37.324000      25236.45        7.44721800e+00        3.85769680e-08  20.4150  19.3094
0202-11-11_07:03:37.742000      25236.87        7.83993900e+00        4.50846680e-08  20.4150  19.3094
0202-11-11_07:03:38.150000      25237.28        8.04578000e+00        3.68415880e-08  20.4117  19.1419
0202-11-11_07:03:38.590000      25237.72        8.43321300e+00        3.64077380e-08  20.4117  19.1419
0202-11-11_07:03:39.020000      25238.15        8.64223000e+00        2.39501380e-08  20.4370  19.3803
0202-11-11_07:03:39.426000      25238.56        9.02832000e+00        2.32063980e-08  20.4370  19.3803
0202-11-11_07:03:39.840000      25238.97        9.21309600e+00        2.01074980e-08  20.4181  19.3321
0202-11-11_07:03:40.242000      25239.37        9.62472300e+00        3.36806980e-08  20.4181  19.3321
0202-11-11_07:03:40.676000      25239.81        9.80938700e+00        2.81026680e-08  20.4181  19.3321
0202-11-11_07:03:41.082000      25240.21        1.02194100e+01        4.47130980e-08  20.4253  19.1637
0202-11-11_07:03:41.477000      25240.61        1.03999600e+01        3.91355180e-08  20.4253  19.1637
0202-11-11_07:03:41.880000      25241.01        1.07928800e+01        4.59531080e-08  20.3905  19.4771
0202-11-11_07:03:42.277000      25241.41        1.09979100e+01        3.85157380e-08  20.3905  19.4771
0202-11-11_07:03:42.690000      25241.82        1.13874500e+01        2.91570380e-08  20.3905  19.4771
0202-11-11_07:03:43.098000      25242.23        1.15920200e+01        3.95693680e-08  20.4391  19.1404
0202-11-11_07:03:43.508000      25242.64        1.19820500e+01        3.93834280e-08  20.4391  19.1404
0202-11-11_07:03:43.910000      25243.04        1.23920300e+01        6.62819380e-08  20.4100  19.3897
0202-11-11_07:03:44.316000      25243.45        1.25761600e+01        7.77478880e-08  20.4100  19.3897
0202-11-11_07:03:44.730000      25243.86        1.29671400e+01        1.17909718e-07  20.4100  19.3897
0202-11-11_07:03:45.130000      25244.26        1.31725100e+01        1.67368258e-07  20.4228  19.3370
0202-11-11_07:03:45.527000      25244.66        1.35636200e+01        3.03968048e-07  20.4228  19.3370
0202-11-11_07:03:45.950000      25245.08        1.37667900e+01        4.93125288e-07  20.4063  19.4142
0202-11-11_07:03:46.400000      25245.53        1.41595700e+01        9.23935238e-07  20.4063  19.4142
0202-11-11_07:03:46.830000      25245.96        1.43643800e+01        1.53063968e-06  20.4214  19.4709
0202-11-11_07:03:47.230000      25246.36        1.47561200e+01        3.28003746e-06  20.4214  19.4709
0202-11-11_07:03:47.645000      25246.78        1.49558800e+01        4.85211361e-06  20.4214  19.4709
0202-11-11_07:03:48.055000      25247.19        1.53483100e+01        9.90197044e-06  20.4044  19.1401
0202-11-11_07:03:48.477000      25247.61        1.55514500e+01        1.41490860e-05  20.4044  19.1401
0202-11-11_07:03:48.906000      25248.04        1.59429400e+01        2.87974381e-05  20.4363  19.3847
