# Ic = 16.21 A, n = 27.49 , Tavg = 20.67 K, f26_afterirrstep2_20K_pulse_120ms_0
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-11-11_09:33:49.215000      6543.32        1.72548300e+00        8.36083600e-09  20.6635  19.2525
0202-11-11_09:33:49.617000      6543.73        2.13383500e+00        4.95204600e-09  20.6635  19.2525
0202-11-11_09:33:50.016000      6544.13        2.32168900e+00        9.85456000e-10  20.6635  19.2525
0202-11-11_09:33:50.426000      6544.53        2.70942300e+00        3.52654600e-09  20.6483  19.2203
0202-11-11_09:33:50.830000      6544.94        2.91260800e+00        3.65050600e-09  20.6483  19.2203
0202-11-11_09:33:51.240000      6545.35        3.30108000e+00        7.98896600e-09  20.6175  19.4561
0202-11-11_09:33:51.645000      6545.75        3.71263800e+00        8.61496000e-10  20.6175  19.4561
0202-11-11_09:33:52.080000      6546.19        3.89458500e+00       -2.98114400e-09  20.6175  19.4561
0202-11-11_09:33:52.500000      6546.61        4.30294900e+00        9.04254600e-09  20.6313  19.1080
0202-11-11_09:33:52.890000      6547.00        4.49027200e+00        3.83604600e-09  20.6313  19.1080
0202-11-11_09:33:53.297000      6547.41        4.87976100e+00       -1.92800400e-09  20.6204  19.4668
0202-11-11_09:33:53.700000      6547.81        5.08719800e+00       -1.21543840e-08  20.6204  19.4668
0202-11-11_09:33:54.130000      6548.24        5.47377700e+00       -4.34515400e-09  20.6204  19.4668
0202-11-11_09:33:54.547000      6548.66        5.68087500e+00        5.38539600e-09  20.6365  19.2168
0202-11-11_09:33:54.940000      6549.05        6.07092300e+00        1.23889160e-08  20.6365  19.2168
0202-11-11_09:33:55.360000      6549.47        6.27163500e+00       -4.84097400e-09  20.6162  19.2663
0202-11-11_09:33:55.754000      6549.86        6.66387900e+00        1.05295760e-08  20.6162  19.2663
0202-11-11_09:33:56.152000      6550.26        6.87056900e+00        9.41396600e-09  20.6162  19.2663
0202-11-11_09:33:56.543000      6550.65        7.25926900e+00        1.40003460e-08  20.6416  19.4186
0202-11-11_09:33:56.945000      6551.06        7.46529200e+00        6.31506600e-09  20.6416  19.4186
0202-11-11_09:33:57.355000      6551.47        7.85715300e+00        2.52803460e-08  20.6374  19.1388
0202-11-11_09:33:57.758000      6551.87        8.06281000e+00        1.36904560e-08  20.6374  19.1388
0202-11-11_09:33:58.188000      6552.30        8.45039500e+00        1.96403460e-08  20.6374  19.1388
0202-11-11_09:33:58.582000      6552.69        8.65497600e+00        2.37924860e-08  20.5873  19.4421
0202-11-11_09:33:58.984000      6553.09        9.04505000e+00        1.48672560e-08  20.5873  19.4421
0202-11-11_09:33:59.390000      6553.50        9.22578500e+00        2.06931960e-08  20.6215  19.2400
0202-11-11_09:33:59.780000      6553.89        9.63803200e+00        2.22426460e-08  20.6215  19.2400
0202-11-11_09:34:00.184000      6554.29        9.82078700e+00        1.72843960e-08  20.6215  19.2400
0202-11-11_09:34:00.574000      6554.69        1.02320900e+01        2.52795660e-08  20.6263  19.2344
0202-11-11_09:34:00.977000      6555.09        1.04150500e+01        2.29243960e-08  20.6263  19.2344
0202-11-11_09:34:01.383000      6555.49        1.08051900e+01        1.60448360e-08  20.6448  19.4457
0202-11-11_09:34:01.780000      6555.89        1.10118600e+01        5.69451600e-09  20.6448  19.4457
0202-11-11_09:34:02.190000      6556.30        1.14023400e+01        5.01275600e-09  20.6448  19.4457
0202-11-11_09:34:02.600000      6556.71        1.16067100e+01        1.53011060e-08  20.5901  19.1176
0202-11-11_09:34:03.004000      6557.12        1.19946900e+01        1.26360460e-08  20.5901  19.1176
0202-11-11_09:34:03.410000      6557.52        1.24030800e+01        1.64167060e-08  20.6070  19.4739
0202-11-11_09:34:03.812000      6557.92        1.25857900e+01        2.44738460e-08  20.6070  19.4739
0202-11-11_09:34:04.207000      6558.32        1.29777900e+01        2.72008860e-08  20.6098  19.2172
0202-11-11_09:34:04.610000      6558.72        1.31829900e+01        3.52570060e-08  20.6098  19.2172
0202-11-11_09:34:05.016000      6559.13        1.35719800e+01        4.18262360e-08  20.6098  19.2172
0202-11-11_09:34:05.426000      6559.53        1.37811500e+01        3.17238260e-08  20.6242  19.2704
0202-11-11_09:34:05.830000      6559.94        1.41669500e+01        3.87273360e-08  20.6242  19.2704
0202-11-11_09:34:06.240000      6560.35        1.43733400e+01        3.70539260e-08  20.6159  19.4210
0202-11-11_09:34:06.656000      6560.77        1.47619000e+01        3.48227260e-08  20.6159  19.4210
0202-11-11_09:34:07.086000      6561.20        1.49650800e+01        3.38310760e-08  20.6159  19.4210
0202-11-11_09:34:07.504000      6561.61        1.53541000e+01        7.23193960e-08  20.6296  19.1468
0202-11-11_09:34:07.910000      6562.02        1.55597900e+01        1.09630136e-07  20.6296  19.1468
0202-11-11_09:34:08.310000      6562.42        1.59488500e+01        1.79975126e-07  20.6119  19.4448
0202-11-11_09:34:08.723000      6562.83        1.61532800e+01        2.29433546e-07  20.6119  19.4448
0202-11-11_09:34:09.125000      6563.23        1.65456600e+01        3.74276066e-07  20.6119  19.4448
0202-11-11_09:34:09.535000      6563.65        1.67484100e+01        5.57297006e-07  20.6365  19.2305
0202-11-11_09:34:09.934000      6564.05        1.71402800e+01        9.17017136e-07  20.6365  19.2305
0202-11-11_09:34:10.340000      6564.45        1.73233500e+01        1.32966642e-06  20.5887  19.2517
0202-11-11_09:34:10.750000      6564.86        1.77342300e+01        2.56916376e-06  20.5887  19.2517
0202-11-11_09:34:11.168000      6565.28        1.79156400e+01        3.13372106e-06  20.5887  19.2517
