# Ic = 28.66 A, n = 39.70 , Tavg = 25.08 K, f6-pristine-25K-p3K
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-10-13_13:55:41.395000      3152.04        1.29256700e-01        1.91769880e-08  25.0732  23.3032
0202-10-13_13:55:41.797000      3152.44        3.12782000e-01        4.11174080e-08  25.0732  23.3032
0202-10-13_13:55:42.207000      3152.85        7.22481200e-01        4.18611480e-08  25.0481  23.2209
0202-10-13_13:55:42.600000      3153.24        9.06977500e-01        4.10554280e-08  25.0481  23.2209
0202-10-13_13:55:43.004000      3153.65        1.31439700e+00        4.71293280e-08  25.0493  23.3323
0202-10-13_13:55:43.406000      3154.05        1.49840200e+00        3.64070380e-08  25.0493  23.3323
0202-10-13_13:55:43.800000      3154.44        1.91147900e+00        5.02282580e-08  25.0493  23.3323
0202-10-13_13:55:44.200000      3154.84        2.09852000e+00        3.42997580e-08  25.0522  23.2234
0202-10-13_13:55:44.594000      3155.24        2.48396300e+00        5.94010980e-08  25.0522  23.2234
0202-10-13_13:55:44.996000      3155.64        2.68494400e+00        2.53748480e-08  25.0675  23.3162
0202-10-13_13:55:45.400000      3156.04        3.07700900e+00        3.95059680e-08  25.0675  23.3162
0202-10-13_13:55:45.805000      3156.45        3.28384300e+00        5.91356800e-09  25.0675  23.3162
0202-10-13_13:55:46.200000      3156.84        3.67439800e+00        1.26528800e-09  25.0700  23.3189
0202-10-13_13:55:46.594000      3157.24        3.87617500e+00        2.68632580e-08  25.0700  23.3189
0202-10-13_13:55:46.996000      3157.64        4.26770500e+00        6.34856800e-09  25.0776  23.2360
0202-10-13_13:55:47.400000      3158.04        4.47335200e+00        2.74832780e-08  25.0776  23.2360
0202-10-13_13:55:47.800000      3158.44        4.86332800e+00        2.32067480e-08  25.0776  23.2360
0202-10-13_13:55:48.195000      3158.84        5.06582000e+00        3.45488380e-08  25.0624  23.3637
0202-10-13_13:55:48.590000      3159.23        5.45693500e+00        5.35690800e-09  25.0624  23.3637
0202-10-13_13:55:48.984000      3159.63        5.66282500e+00        2.74658000e-10  25.0756  23.2512
0202-10-13_13:55:49.380000      3160.02        6.05346000e+00        2.56858980e-08  25.0756  23.2512
0202-10-13_13:55:49.780000      3160.43        6.25907700e+00        7.46417800e-09  25.0756  23.2512
0202-10-13_13:55:50.188000      3160.83        6.64733500e+00        3.51686180e-08  25.0630  23.3048
0202-10-13_13:55:50.580000      3161.22        6.83383100e+00        3.31160800e-09  25.0630  23.3048
0202-10-13_13:55:50.977000      3161.62        7.24559000e+00        3.23176080e-08  25.0601  23.3174
0202-10-13_13:55:51.375000      3162.02        7.42419700e+00        1.13688280e-08  25.0601  23.3174
0202-10-13_13:55:51.777000      3162.42        7.83466000e+00        7.03032800e-09  25.0601  23.3174
0202-10-13_13:55:52.180000      3162.82        8.02034100e+00        1.06869380e-08  25.0500  23.2361
0202-10-13_13:55:52.582000      3163.23        8.43078700e+00        3.86884800e-09  25.0500  23.2361
0202-10-13_13:55:52.984000      3163.63        8.82029800e+00        2.01691580e-08  25.0607  23.3618
0202-10-13_13:55:53.375000      3164.02        9.00425900e+00       -1.87534020e-08  25.0607  23.3618
0202-10-13_13:55:53.773000      3164.42        9.41575400e+00        2.41977680e-08  25.0607  23.3618
0202-10-13_13:55:54.180000      3164.82        9.59622000e+00        7.83541800e-09  25.0402  23.2443
0202-10-13_13:55:54.582000      3165.22        1.00079900e+01        2.27102780e-08  25.0402  23.2443
0202-10-13_13:55:54.984000      3165.63        1.01938700e+01        1.70082480e-08  25.0319  23.2975
0202-10-13_13:55:55.387000      3166.03        1.05842000e+01       -3.58620000e-11  25.0319  23.2975
0202-10-13_13:55:55.793000      3166.43        1.07881900e+01        3.84528480e-08  25.0319  23.2975
0202-10-13_13:55:56.184000      3166.83        1.11781400e+01       -2.08116200e-09  25.0296  23.3027
0202-10-13_13:55:56.580000      3167.22        1.13853000e+01        4.24814580e-08  25.0296  23.3027
0202-10-13_13:55:56.980000      3167.62        1.17760500e+01        4.01882480e-08  25.0179  23.2313
