# Ic = 2.88 A, n = 34.05 , Tavg = 77.29 K, f6-pristine-77p3K-p1K
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-10-13_15:32:20.715000      237.87        4.68954500e-02        5.03295075e-08  77.2882  76.1594
0202-10-13_15:32:20.918000      238.08        4.64947400e-02        5.65273475e-08  77.2882  76.1594
0202-10-13_15:32:21.113000      238.27        9.72167900e-02        5.42341475e-08  77.3279  76.1410
0202-10-13_15:32:21.316000      238.48        1.46843600e-01        6.28491375e-08  77.3279  76.1410
0202-10-13_15:32:21.510000      238.67        1.94018600e-01        6.55142075e-08  77.3279  76.1410
0202-10-13_15:32:21.703000      238.86        2.46250200e-01        6.61959675e-08  77.3279  76.1410
0202-10-13_15:32:21.918000      239.07        2.95808700e-01        6.53282675e-08  77.3279  76.1410
0202-10-13_15:32:22.113000      239.27        3.43639700e-01        6.63199175e-08  77.3564  76.1623
0202-10-13_15:32:22.305000      239.46        3.94550200e-01        5.55976675e-08  77.3564  76.1623
0202-10-13_15:32:22.500000      239.66        4.44291300e-01        5.32424875e-08  77.3564  76.1623
0202-10-13_15:32:22.690000      239.85        4.91936800e-01        4.04749575e-08  77.3564  76.1623
0202-10-13_15:32:22.918000      240.08        5.41185100e-01        5.08873175e-08  77.3564  76.1623
0202-10-13_15:32:23.117000      240.27        5.92822100e-01        5.08253375e-08  77.2997  76.1264
0202-10-13_15:32:23.324000      240.48        6.37753200e-01        5.94403275e-08  77.2997  76.1264
0202-10-13_15:32:23.520000      240.68        6.90005400e-01        6.16094575e-08  77.2997  76.1264
0202-10-13_15:32:23.715000      240.87        7.41181500e-01        7.04721975e-08  77.2997  76.1264
0202-10-13_15:32:23.930000      241.09        7.89175800e-01        6.40262375e-08  77.2997  76.1264
0202-10-13_15:32:24.120000      241.28        8.39988300e-01        6.88604975e-08  77.3519  76.1417
0202-10-13_15:32:24.312000      241.47        8.89391000e-01        6.25386975e-08  77.3519  76.1417
0202-10-13_15:32:24.508000      241.67        9.37625700e-01        6.91084075e-08  77.3519  76.1417
0202-10-13_15:32:24.703000      241.86        9.87228100e-01        6.68152075e-08  77.3519  76.1417
0202-10-13_15:32:24.920000      242.08        1.03889000e+00        5.61549275e-08  77.3519  76.1417
0202-10-13_15:32:25.117000      242.27        1.08646500e+00        5.56590975e-08  77.3387  76.1124
0202-10-13_15:32:25.320000      242.48        1.13514800e+00        5.17544675e-08  77.3387  76.1124
0202-10-13_15:32:25.520000      242.68        1.18706600e+00        6.58235575e-08  77.3387  76.1124
0202-10-13_15:32:25.723000      242.88        1.23707500e+00        5.70226275e-08  77.3387  76.1124
0202-10-13_15:32:25.934000      243.09        1.28383100e+00        5.14445775e-08  77.3497  76.1237
0202-10-13_15:32:26.140000      243.30        1.33606400e+00        5.41096475e-08  77.3497  76.1237
0202-10-13_15:32:26.332000      243.49        1.38403000e+00        5.00190675e-08  77.3497  76.1237
0202-10-13_15:32:26.527000      243.68        1.43265000e+00        6.16710075e-08  77.3497  76.1237
0202-10-13_15:32:26.730000      243.89        1.48478400e+00        5.51632775e-08  77.3497  76.1237
0202-10-13_15:32:26.945000      244.11        1.53598900e+00        6.44600275e-08  77.3497  76.1237
0202-10-13_15:32:27.150000      244.31        1.58216300e+00        6.11131975e-08  77.3131  76.1531
0202-10-13_15:32:27.340000      244.50        1.63363100e+00        7.04099575e-08  77.3131  76.1531
0202-10-13_15:32:27.547000      244.71        1.68164200e+00        7.36948075e-08  77.3131  76.1531
0202-10-13_15:32:27.740000      244.90        1.73140800e+00        6.78068675e-08  77.3131  76.1531
0202-10-13_15:32:27.957000      245.11        1.78343400e+00        7.17734775e-08  77.2885  76.1286
0202-10-13_15:32:28.150000      245.31        1.83074700e+00        6.85506075e-08  77.2885  76.1286
0202-10-13_15:32:28.340000      245.50        1.87899900e+00        7.68557075e-08  77.2885  76.1286
0202-10-13_15:32:28.543000      245.70        1.93111300e+00        6.37782675e-08  77.2885  76.1286
0202-10-13_15:32:28.740000      245.89        1.98101400e+00        5.87580175e-08  77.2885  76.1286
0202-10-13_15:32:28.938000      246.10        2.02562400e+00        6.14850675e-08  77.3307  76.1605
0202-10-13_15:32:29.145000      246.30        2.08027000e+00        5.64028475e-08  77.3307  76.1605
0202-10-13_15:32:29.336000      246.49        2.12996200e+00        5.26841375e-08  77.3307  76.1605
0202-10-13_15:32:29.540000      246.70        2.17773700e+00        4.45030475e-08  77.3307  76.1605
0202-10-13_15:32:29.740000      246.90        2.22699000e+00        4.72921475e-08  77.3307  76.1605
0202-10-13_15:32:29.934000      247.09        2.27881300e+00        6.17331575e-08  77.3307  76.1605
0202-10-13_15:32:30.137000      247.30        2.32668000e+00        6.19810675e-08  77.2612  76.1372
0202-10-13_15:32:30.332000      247.49        2.37676200e+00        7.42527875e-08  77.2612  76.1372
0202-10-13_15:32:30.523000      247.68        2.42750800e+00        6.37784375e-08  77.2612  76.1372
0202-10-13_15:32:30.727000      247.89        2.47743900e+00        6.82408875e-08  77.2612  76.1372
0202-10-13_15:32:30.930000      248.09        2.52512700e+00        6.24768975e-08  77.2612  76.1372
0202-10-13_15:32:31.152000      248.31        2.57739500e+00        6.14852375e-08  77.3258  76.1303
0202-10-13_15:32:31.350000      248.51        2.62465300e+00        6.06795175e-08  77.3258  76.1303
0202-10-13_15:32:31.555000      248.71        2.67403600e+00        7.61121375e-08  77.3258  76.1303
0202-10-13_15:32:31.746000      248.91        2.72556100e+00        8.76401075e-08  77.3258  76.1303
0202-10-13_15:32:31.957000      249.12        2.77435200e+00        1.15282457e-07  77.3258  76.1303
0202-10-13_15:32:32.150000      249.31        2.82370300e+00        1.39639958e-07  77.3312  76.1556
0202-10-13_15:32:32.355000      249.51        2.87442600e+00        2.36822027e-07  77.3312  76.1556
0202-10-13_15:32:32.560000      249.72        2.92282100e+00        3.45098225e-07  77.3312  76.1556
0202-10-13_15:32:32.758000      249.92        2.97164700e+00        5.91648149e-07  77.3312  76.1556
0202-10-13_15:32:32.970000      250.13        3.02521900e+00        8.86169842e-07  77.3312  76.1556
0202-10-13_15:32:33.160000      250.32        3.07143800e+00        2.64115819e-06  77.3126  76.1481
0202-10-13_15:32:33.355000      250.51        3.12056000e+00        3.99539355e-06  77.3126  76.1481
0202-10-13_15:32:33.547000      250.71        3.17251500e+00        5.86095346e-06  77.3126  76.1481
0202-10-13_15:32:33.750000      250.91        3.22190200e+00        9.69805687e-06  77.3126  76.1481
0202-10-13_15:32:33.965000      251.12        3.27120300e+00        1.33064587e-05  77.3126  76.1481
0202-10-13_15:32:34.160000      251.32        3.32120600e+00        2.03453832e-05  77.2886  76.1537
