# Ic = 1.03 A, n = 23.54 , Tavg = 77.31 K, f6aftertempcyclestep5
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-10-13_22:11:18.360000      17279.66        4.71955600e-02       -4.10918950e-09  77.2934  76.1871
0202-10-13_22:11:18.550000      17279.85        1.15977100e-02       -1.07408495e-08  77.2934  76.1871
0202-10-13_22:11:18.754000      17280.06        2.20710700e-02       -9.37732950e-09  77.2934  76.1871
0202-10-13_22:11:18.950000      17280.25        3.17771400e-02       -1.00590895e-08  77.2934  76.1871
0202-10-13_22:11:19.150000      17280.45        4.11700700e-02       -5.78259950e-09  77.3092  76.1796
0202-10-13_22:11:19.344000      17280.65        5.15796200e-02       -1.07225950e-09  77.3092  76.1796
0202-10-13_22:11:19.535000      17280.84        6.17650600e-02       -3.28529500e-10  77.3092  76.1796
0202-10-13_22:11:19.727000      17281.03        7.04560000e-02        2.77038050e-09  77.3092  76.1796
0202-10-13_22:11:19.934000      17281.24        8.14129700e-02       -1.69203950e-09  77.3092  76.1796
0202-10-13_22:11:20.137000      17281.44        9.18432900e-02       -2.00192950e-09  77.3092  76.1796
0202-10-13_22:11:20.336000      17281.64        1.00682700e-01       -8.32369950e-09  77.3161  76.1814
0202-10-13_22:11:20.527000      17281.83        1.11026900e-01       -8.88149950e-09  77.3161  76.1814
0202-10-13_22:11:20.730000      17282.03        1.21083200e-01       -1.04309595e-08  77.3161  76.1814
0202-10-13_22:11:20.920000      17282.23        1.30911000e-01       -9.25336950e-09  77.3161  76.1814
0202-10-13_22:11:21.133000      17282.44        1.40626000e-01       -3.11753950e-09  77.3193  76.1825
0202-10-13_22:11:21.336000      17282.64        1.51111200e-01       -3.61335950e-09  77.3193  76.1825
0202-10-13_22:11:21.530000      17282.83        1.60702700e-01       -4.91489950e-09  77.3193  76.1825
0202-10-13_22:11:21.734000      17283.04        1.70361300e-01       -6.89819950e-09  77.3193  76.1825
0202-10-13_22:11:21.926000      17283.23        1.80745600e-01       -6.77424950e-09  77.3193  76.1825
0202-10-13_22:11:22.120000      17283.42        1.90616400e-01       -1.32017950e-09  77.3022  76.1807
0202-10-13_22:11:22.324000      17283.63        2.00151800e-01       -3.24149950e-09  77.3022  76.1807
0202-10-13_22:11:22.520000      17283.82        2.10334300e-01        2.77038050e-09  77.3022  76.1807
0202-10-13_22:11:22.715000      17284.02        2.20496000e-01        2.52247050e-09  77.3022  76.1807
0202-10-13_22:11:22.914000      17284.22        2.30524100e-01        1.90269050e-09  77.3022  76.1807
0202-10-13_22:11:23.113000      17284.42        2.40542600e-01       -1.32017950e-09  77.3022  76.1807
