# Ic = 0.94 A, n = 23.04 , Tavg = 77.23 K, f6-160k-p3k-36h
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-10-16_07:49:10.720000      26005.28        9.75781800e-03        3.30809930e-08  77.2182  76.1953
0202-10-16_07:49:10.910000      26005.47        1.20745000e-02        2.90524030e-08  77.2182  76.1953
0202-10-16_07:49:11.100000      26005.66        2.17033600e-02        3.32669530e-08  77.2182  76.1953
0202-10-16_07:49:11.305000      26005.87        3.23799900e-02        4.28736230e-08  77.2182  76.1953
0202-10-16_07:49:11.547000      26006.10        4.21646800e-02        4.07663630e-08  77.2182  76.1953
0202-10-16_07:49:11.742000      26006.30        5.18115100e-02        4.10142730e-08  77.2514  76.1895
0202-10-16_07:49:11.950000      26006.51        6.19420000e-02        3.69856730e-08  77.2514  76.1895
0202-10-16_07:49:12.145000      26006.70        7.14461900e-02        3.95267930e-08  77.2514  76.1895
0202-10-16_07:49:12.336000      26006.90        8.16879900e-02        3.37008230e-08  77.2514  76.1895
0202-10-16_07:49:12.550000      26007.11        9.16329600e-02        2.90524330e-08  77.2514  76.1895
0202-10-16_07:49:12.750000      26007.31        1.01328600e-01        2.67592330e-08  77.2264  76.2059
0202-10-16_07:49:12.953000      26007.51        1.11761800e-01        3.17175130e-08  77.2264  76.2059
0202-10-16_07:49:13.145000      26007.70        1.21802000e-01        4.05184430e-08  77.2264  76.2059
0202-10-16_07:49:13.336000      26007.90        1.30671100e-01        3.92169030e-08  77.2264  76.2059
0202-10-16_07:49:13.566000      26008.12        1.41316500e-01        3.17794930e-08  77.2264  76.2059
0202-10-16_07:49:13.770000      26008.33        1.51133900e-01        2.44040530e-08  77.2184  76.2095
0202-10-16_07:49:13.965000      26008.52        1.60810200e-01        2.83706730e-08  77.2184  76.2095
0202-10-16_07:49:14.156000      26008.72        1.71273100e-01        3.41966430e-08  77.2184  76.2095
0202-10-16_07:49:14.360000      26008.92        1.80913900e-01        2.92383730e-08  77.2184  76.2095
0202-10-16_07:49:14.598000      26009.16        1.90336600e-01        2.52717530e-08  77.2313  76.2042
0202-10-16_07:49:14.790000      26009.35        2.00406300e-01        2.00655630e-08  77.2313  76.2042
0202-10-16_07:49:14.980000      26009.54        2.10394300e-01        2.93623330e-08  77.2313  76.2042
0202-10-16_07:49:15.188000      26009.75        2.20762200e-01        3.07878330e-08  77.2313  76.2042
0202-10-16_07:49:15.380000      26009.94        2.30683500e-01        3.41966430e-08  77.2313  76.2042
0202-10-16_07:49:15.598000      26010.16        2.39963600e-01        3.09737730e-08  77.2313  76.2042
0202-10-16_07:49:15.790000      26010.35        2.50476900e-01        2.35363530e-08  77.2311  76.2235
0202-10-16_07:49:15.980000      26010.54        2.60050900e-01        2.56436230e-08  77.2311  76.2235
0202-10-16_07:49:16.170000      26010.73        2.70094400e-01        2.65113230e-08  77.2311  76.2235
0202-10-16_07:49:16.367000      26010.93        2.79509500e-01        2.97961830e-08  77.2311  76.2235
0202-10-16_07:49:16.566000      26011.13        2.90132700e-01        3.39487330e-08  77.2311  76.2235
0202-10-16_07:49:16.758000      26011.32        3.00168200e-01        3.80393130e-08  77.2506  76.2046
0202-10-16_07:49:16.965000      26011.52        3.09102500e-01        3.78532930e-08  77.2506  76.2046
0202-10-16_07:49:17.156000      26011.72        3.20123500e-01        3.93407230e-08  77.2506  76.2046
0202-10-16_07:49:17.348000      26011.91        3.29734500e-01        3.15313730e-08  77.2506  76.2046
0202-10-16_07:49:17.574000      26012.13        3.39333700e-01        3.30188530e-08  77.2506  76.2046
0202-10-16_07:49:17.780000      26012.34        3.49944800e-01        2.71928830e-08  77.2470  76.2031
0202-10-16_07:49:17.980000      26012.54        3.59374800e-01        3.38245730e-08  77.2470  76.2031
0202-10-16_07:49:18.184000      26012.74        3.69394000e-01        3.64896530e-08  77.2470  76.2031
0202-10-16_07:49:18.383000      26012.94        3.79471000e-01        3.25850030e-08  77.2470  76.2031
0202-10-16_07:49:18.600000      26013.16        3.89160800e-01        3.14074130e-08  77.2470  76.2031
0202-10-16_07:49:18.797000      26013.35        3.99405500e-01        3.11595030e-08  77.2505  76.1972
0202-10-16_07:49:18.990000      26013.55        4.09469200e-01        3.17792930e-08  77.2505  76.1972
0202-10-16_07:49:19.188000      26013.75        4.18689900e-01        3.53120630e-08  77.2505  76.1972
0202-10-16_07:49:19.383000      26013.94        4.28482700e-01        2.93001530e-08  77.2505  76.1972
0202-10-16_07:49:19.594000      26014.16        4.38464800e-01        3.15933530e-08  77.2505  76.1972
0202-10-16_07:49:19.793000      26014.35        4.50664100e-01        2.89902530e-08  77.2343  76.1996
0202-10-16_07:49:20             26014.56        4.58702000e-01        3.12834630e-08  77.2343  76.1996
0202-10-16_07:49:20.190000      26014.75        4.68081500e-01        2.18007630e-08  77.2343  76.1996
0202-10-16_07:49:20.387000      26014.94        4.79043100e-01        1.76482030e-08  77.2343  76.1996
0202-10-16_07:49:20.594000      26015.15        4.87690900e-01        2.00653630e-08  77.2343  76.1996
0202-10-16_07:49:20.785000      26015.35        4.98679200e-01        1.90737030e-08  77.1920  76.1870
0202-10-16_07:49:20.977000      26015.54        5.08494400e-01        1.89497530e-08  77.1920  76.1870
0202-10-16_07:49:21.184000      26015.74        5.18463100e-01        1.80820530e-08  77.1920  76.1870
0202-10-16_07:49:21.375000      26015.93        5.28261100e-01        2.68829930e-08  77.1920  76.1870
0202-10-16_07:49:21.590000      26016.15        5.38206100e-01        3.22131330e-08  77.1920  76.1870
0202-10-16_07:49:21.785000      26016.34        5.47383800e-01        3.36386430e-08  77.2168  76.1932
0202-10-16_07:49:21.977000      26016.54        5.58280000e-01        3.02298230e-08  77.2168  76.1932
0202-10-16_07:49:22.180000      26016.74        5.68085500e-01        2.66350730e-08  77.2168  76.1932
0202-10-16_07:49:22.375000      26016.93        5.78082400e-01        2.04992130e-08  77.2168  76.1932
0202-10-16_07:49:22.586000      26017.14        5.87636800e-01        2.09330630e-08  77.2168  76.1932
0202-10-16_07:49:22.790000      26017.35        5.97832600e-01        2.39080630e-08  77.2225  76.1963
0202-10-16_07:49:22.980000      26017.54        6.07556400e-01        2.82466030e-08  77.2225  76.1963
0202-10-16_07:49:23.188000      26017.75        6.17409300e-01        2.56435630e-08  77.2225  76.1963
0202-10-16_07:49:23.383000      26017.94        6.27717900e-01        2.92383530e-08  77.2225  76.1963
0202-10-16_07:49:23.574000      26018.14        6.37566400e-01        3.46924530e-08  77.2649  76.2093
0202-10-16_07:49:23.780000      26018.34        6.48110900e-01        3.33289330e-08  77.2649  76.2093
0202-10-16_07:49:23.973000      26018.53        6.57782800e-01        3.83491830e-08  77.2649  76.2093
0202-10-16_07:49:24.168000      26018.73        6.67671800e-01        3.45065230e-08  77.2649  76.2093
0202-10-16_07:49:24.370000      26018.93        6.77187800e-01        3.92168830e-08  77.2649  76.2093
0202-10-16_07:49:24.582000      26019.14        6.86243800e-01        4.10762330e-08  77.2649  76.2093
0202-10-16_07:49:24.790000      26019.35        6.97095500e-01        3.64898330e-08  77.2853  76.2061
0202-10-16_07:49:24.992000      26019.55        7.06473600e-01        3.77294030e-08  77.2853  76.2061
