# Ic = 2.40 A, n = 20.42 , Tavg = 35.94 K, f23-afterlastbeamon_36K_d
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-10-31_23:51:23.460000      11318.64        4.92419000e-02        1.78714841e-08  35.9464  35.4555
0202-10-31_23:51:23.660000      11318.84        3.07513100e-02        1.45866261e-08  35.9464  35.4555
0202-10-31_23:51:23.850000      11319.03        6.00701000e-02        1.55163031e-08  35.9464  35.4555
0202-10-31_23:51:24.043000      11319.23        8.88011800e-02        1.11158341e-08  35.9464  35.4555
0202-10-31_23:51:24.250000      11319.43        1.18473200e-01        9.13252310e-09  35.9464  35.4555
0202-10-31_23:51:24.453000      11319.64        1.49460100e-01        1.17975961e-08  35.9619  35.4521
0202-10-31_23:51:24.656000      11319.84        1.79506200e-01        7.14921310e-09  35.9619  35.4521
0202-10-31_23:51:24.850000      11320.03        2.07115200e-01        1.44006911e-08  35.9619  35.4521
0202-10-31_23:51:25.050000      11320.24        2.38635000e-01        1.04960491e-08  35.9619  35.4521
0202-10-31_23:51:25.260000      11320.44        2.68825100e-01        1.27892521e-08  35.9537  35.4542
0202-10-31_23:51:25.457000      11320.64        2.97188100e-01        9.00856710e-09  35.9537  35.4542
0202-10-31_23:51:25.656000      11320.84        3.28044500e-01        1.27272731e-08  35.9537  35.4542
0202-10-31_23:51:25.867000      11321.05        3.57838200e-01        1.03101141e-08  35.9537  35.4542
0202-10-31_23:51:26.082000      11321.27        3.86282800e-01        1.05580281e-08  35.9537  35.4542
0202-10-31_23:51:26.285000      11321.47        4.17295000e-01        6.65353510e-09  35.9489  35.4540
0202-10-31_23:51:26.492000      11321.67        4.45935500e-01        8.07918810e-09  35.9489  35.4540
0202-10-31_23:51:26.688000      11321.87        4.75937000e-01        1.04964231e-08  35.9489  35.4540
0202-10-31_23:51:26.895000      11322.08        5.07086800e-01        1.40911741e-08  35.9489  35.4540
0202-10-31_23:51:27.094000      11322.28        5.34129000e-01        1.91734091e-08  35.9489  35.4540
0202-10-31_23:51:27.290000      11322.47        5.65979700e-01        2.10327631e-08  35.9397  35.4469
0202-10-31_23:51:27.480000      11322.66        5.96050900e-01        2.46894921e-08  35.9397  35.4469
0202-10-31_23:51:27.676000      11322.86        6.22165500e-01        2.62389541e-08  35.9397  35.4469
0202-10-31_23:51:27.870000      11323.05        6.54903700e-01        2.92758991e-08  35.9397  35.4469
0202-10-31_23:51:28.074000      11323.26        6.84621700e-01        2.76644591e-08  35.9397  35.4469
0202-10-31_23:51:28.280000      11323.46        7.13625800e-01        2.72306101e-08  35.9397  35.4469
0202-10-31_23:51:28.492000      11323.67        7.44057700e-01        2.37598151e-08  35.9585  35.4571
0202-10-31_23:51:28.688000      11323.87        7.73961200e-01        2.66728031e-08  35.9585  35.4571
0202-10-31_23:51:28.900000      11324.08        8.01999200e-01        2.63009331e-08  35.9585  35.4571
0202-10-31_23:51:29.094000      11324.28        8.33799400e-01        2.42556431e-08  35.9585  35.4571
0202-10-31_23:51:29.324000      11324.51        8.63410600e-01        2.10327631e-08  35.9789  35.4501
0202-10-31_23:51:29.527000      11324.71        8.93324500e-01        2.40077291e-08  35.9789  35.4501
0202-10-31_23:51:29.730000      11324.91        9.22769500e-01        2.38217941e-08  35.9789  35.4501
0202-10-31_23:51:29.945000      11325.13        9.52163900e-01        2.65488461e-08  35.9789  35.4501
0202-10-31_23:51:30.180000      11325.36        9.82376000e-01        2.75405021e-08  35.9789  35.4501
0202-10-31_23:51:30.375000      11325.56        1.01167600e+00        2.73545671e-08  35.9543  35.4505
0202-10-31_23:51:30.570000      11325.75        1.04196200e+00        2.72925881e-08  35.9543  35.4505
0202-10-31_23:51:30.777000      11325.96        1.07157900e+00        2.82222651e-08  35.9543  35.4505
0202-10-31_23:51:30.973000      11326.16        1.10022600e+00        2.60530191e-08  35.9543  35.4505
0202-10-31_23:51:31.176000      11326.36        1.13088200e+00        2.71066531e-08  35.9543  35.4505
0202-10-31_23:51:31.370000      11326.55        1.16064600e+00        2.40697081e-08  35.9334  35.4521
0202-10-31_23:51:31.570000      11326.75        1.18812600e+00        3.26847151e-08  35.9334  35.4521
0202-10-31_23:51:31.766000      11326.95        1.22043100e+00        3.07633821e-08  35.9334  35.4521
0202-10-31_23:51:31.970000      11327.15        1.25031900e+00        3.34284571e-08  35.9334  35.4521
0202-10-31_23:51:32.164000      11327.35        1.27819200e+00        3.01434161e-08  35.9334  35.4521
0202-10-31_23:51:32.390000      11327.57        1.31094800e+00        3.24363811e-08  35.9454  35.4494
0202-10-31_23:51:32.586000      11327.77        1.33897000e+00        3.13205881e-08  35.9454  35.4494
0202-10-31_23:51:32.793000      11327.97        1.36834000e+00        2.93372791e-08  35.9454  35.4494
0202-10-31_23:51:32.990000      11328.17        1.39920600e+00        2.96471711e-08  35.9454  35.4494
0202-10-31_23:51:33.240000      11328.42        1.42621600e+00        2.74779261e-08  35.9454  35.4494
0202-10-31_23:51:33.453000      11328.63        1.45958000e+00        2.24576731e-08  35.9773  35.4578
0202-10-31_23:51:33.668000      11328.85        1.48736100e+00        2.18378891e-08  35.9773  35.4578
0202-10-31_23:51:33.875000      11329.06        1.51805300e+00        2.41310911e-08  35.9773  35.4578
0202-10-31_23:51:34.070000      11329.25        1.54815700e+00        2.37592201e-08  35.9773  35.4578
0202-10-31_23:51:34.277000      11329.46        1.57533300e+00        2.60524221e-08  35.9585  35.4505
0202-10-31_23:51:34.473000      11329.66        1.60761400e+00        2.30774571e-08  35.9585  35.4505
0202-10-31_23:51:34.670000      11329.85        1.63735100e+00        2.36972421e-08  35.9585  35.4505
0202-10-31_23:51:34.867000      11330.05        1.66472000e+00        2.25196521e-08  35.9585  35.4505
0202-10-31_23:51:35.066000      11330.25        1.69685700e+00        2.47508751e-08  35.9585  35.4505
0202-10-31_23:51:35.270000      11330.45        1.72646800e+00        2.71060551e-08  35.9546  35.4536
0202-10-31_23:51:35.477000      11330.66        1.75489800e+00        2.28295441e-08  35.9546  35.4536
0202-10-31_23:51:35.680000      11330.86        1.78604100e+00        1.96066651e-08  35.9546  35.4536
0202-10-31_23:51:35.880000      11331.06        1.81594000e+00        1.76233561e-08  35.9546  35.4536
0202-10-31_23:51:36.090000      11331.27        1.84478000e+00        2.03504071e-08  35.9546  35.4536
0202-10-31_23:51:36.293000      11331.48        1.87572000e+00        1.88629241e-08  35.9661  35.4565
0202-10-31_23:51:36.500000      11331.68        1.90582600e+00        1.66936791e-08  35.9661  35.4565
0202-10-31_23:51:36.695000      11331.88        1.93400000e+00        1.79332481e-08  35.9661  35.4565
0202-10-31_23:51:36.890000      11332.07        1.96497400e+00        2.22717381e-08  35.9661  35.4565
0202-10-31_23:51:37.100000      11332.28        1.99486400e+00        2.40691121e-08  35.9661  35.4565
0202-10-31_23:51:37.320000      11332.50        2.02345100e+00        2.41310911e-08  35.9661  35.4565
0202-10-31_23:51:37.516000      11332.70        2.05438900e+00        2.46269181e-08  35.9384  35.4490
0202-10-31_23:51:37.707000      11332.89        2.08423000e+00        2.90273871e-08  35.9384  35.4490
0202-10-31_23:51:37.910000      11333.09        2.11129500e+00        3.03909121e-08  35.9384  35.4490
0202-10-31_23:51:38.105000      11333.29        2.14362600e+00        3.37374391e-08  35.9384  35.4490
0202-10-31_23:51:38.305000      11333.49        2.17360400e+00        4.37776321e-08  35.9511  35.4561
0202-10-31_23:51:38.500000      11333.68        2.20121500e+00        5.71645531e-08  35.9511  35.4561
0202-10-31_23:51:38.695000      11333.88        2.23304200e+00        6.19368871e-08  35.9511  35.4561
0202-10-31_23:51:38.890000      11334.07        2.26285200e+00        6.99940731e-08  35.9511  35.4561
0202-10-31_23:51:39.094000      11334.28        2.29008800e+00        8.78438401e-08  35.9511  35.4561
0202-10-31_23:51:39.293000      11334.47        2.32209300e+00        1.13812772e-07  35.9379  35.4496
0202-10-31_23:51:39.484000      11334.67        2.35217800e+00        1.38728072e-07  35.9379  35.4496
0202-10-31_23:51:39.690000      11334.87        2.37950800e+00        1.87133169e-07  35.9379  35.4496
0202-10-31_23:51:39.887000      11335.07        2.41197000e+00        2.30146149e-07  35.9379  35.4496
0202-10-31_23:51:40.086000      11335.27        2.44183200e+00        2.85988649e-07  35.9379  35.4496
0202-10-31_23:51:40.285000      11335.47        2.46955100e+00        3.81373341e-07  35.9379  35.4496
0202-10-31_23:51:40.484000      11335.67        2.50153000e+00        4.72791421e-07  35.9636  35.4564
0202-10-31_23:51:40.695000      11335.88        2.53105000e+00        5.88257101e-07  35.9636  35.4564
0202-10-31_23:51:40.914000      11336.09        2.56035700e+00        7.89066971e-07  35.9636  35.4564
0202-10-31_23:51:41.110000      11336.29        2.59096400e+00        9.72336981e-07  35.9636  35.4564
0202-10-31_23:51:41.310000      11336.49        2.61832900e+00        1.18039832e-06  35.9766  35.4530
0202-10-31_23:51:41.508000      11336.69        2.65024800e+00        1.53640201e-06  35.9766  35.4530
0202-10-31_23:51:41.707000      11336.89        2.68059400e+00        1.86786226e-06  35.9766  35.4530
0202-10-31_23:51:41.906000      11337.09        2.70847900e+00        2.24593024e-06  35.9766  35.4530
0202-10-31_23:51:42.100000      11337.28        2.73977500e+00        3.78937725e-06  35.9766  35.4530
0202-10-31_23:51:42.310000      11337.49        2.76936700e+00        3.91934587e-06  35.9766  35.4530
0202-10-31_23:51:42.510000      11337.69        2.79794400e+00        5.10889646e-06  35.9607  35.4470
0202-10-31_23:51:42.703000      11337.88        2.82889100e+00        6.58522090e-06  35.9607  35.4470
