# Ic = 10.24 A, n = 28.36 , Tavg = 19.89 K, f23_after300Kanneal_20K
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-11-02_13:27:38.450000      26600.83       -4.46965800e-01        5.55973500e-10  19.9229  19.8499
0202-11-02_13:27:38.875000      26601.26       -4.46961300e-01       -3.10074650e-09  19.9229  19.8499
0202-11-02_13:27:39.285000      26601.67       -4.47121100e-01       -3.65855650e-09  19.9229  19.8499
0202-11-02_13:27:39.684000      26602.07       -4.47386700e-01       -1.61326650e-09  19.8992  19.7685
0202-11-02_13:27:40.086000      26602.47       -4.47842300e-01        1.36168350e-09  19.8992  19.7685
0202-11-02_13:27:40.490000      26602.87       -4.48160400e-01        1.22698635e-08  19.9236  19.9798
0202-11-02_13:27:40.887000      26603.27       -4.48758500e-01        1.35714135e-08  19.9236  19.9798
0202-11-02_13:27:41.285000      26603.67       -4.52871100e-01        1.05964535e-08  19.9125  19.7179
0202-11-02_13:27:41.703000      26604.08       -4.00840700e-01        2.53472835e-08  19.9125  19.7179
0202-11-02_13:27:42.100000      26604.49       -4.00375400e-03        3.90444835e-08  19.9125  19.7179
0202-11-02_13:27:42.520000      26604.90        1.81925000e-01        2.94998335e-08  19.8978  19.9511
0202-11-02_13:27:42.957000      26605.34        5.89095900e-01        3.28466535e-08  19.8978  19.9511
0202-11-02_13:27:43.367000      26605.75        7.71402400e-01        2.74545435e-08  19.9268  19.8110
0202-11-02_13:27:43.770000      26606.15        1.17959100e+00        3.29709835e-08  19.9268  19.8110
0202-11-02_13:27:44.207000      26606.59        1.36980100e+00        2.59069635e-08  19.9268  19.8110
0202-11-02_13:27:44.630000      26607.01        1.75417100e+00        2.85720235e-08  19.8968  19.8012
0202-11-02_13:27:45.062000      26607.44        1.96473400e+00        2.61548735e-08  19.8968  19.8012
0202-11-02_13:27:45.484000      26607.87        2.35360600e+00        1.48748235e-08  19.9023  19.9411
0202-11-02_13:27:45.890000      26608.27        2.55712800e+00        1.97711035e-08  19.9023  19.9411
0202-11-02_13:27:46.293000      26608.68        2.95046900e+00        2.63408035e-08  19.9087  19.7436
0202-11-02_13:27:46.734000      26609.12        3.15387400e+00        2.46054135e-08  19.9087  19.7436
0202-11-02_13:27:47.160000      26609.54        3.54200800e+00        2.51632235e-08  19.9087  19.7436
0202-11-02_13:27:47.574000      26609.96        3.74775900e+00        1.18378835e-08  19.8884  19.9192
0202-11-02_13:27:47.984000      26610.36        4.13905700e+00        3.35302935e-08  19.8884  19.9192
0202-11-02_13:27:48.395000      26610.78        4.33994000e+00        2.13205635e-08  19.9156  19.8344
0202-11-02_13:27:48.800000      26611.18        4.73229600e+00        1.88414335e-08  19.9156  19.8344
0202-11-02_13:27:49.220000      26611.60        4.93529300e+00        2.36137635e-08  19.9156  19.8344
0202-11-02_13:27:49.637000      26612.02        5.32015200e+00        2.72706435e-08  19.8870  19.7741
0202-11-02_13:27:50.060000      26612.44        5.50671100e+00        2.83248435e-08  19.8870  19.7741
0202-11-02_13:27:50.492000      26612.88        5.91948800e+00        2.68994235e-08  19.8978  19.9730
0202-11-02_13:27:50.906000      26613.29        6.10414000e+00        2.53499635e-08  19.8978  19.9730
0202-11-02_13:27:51.316000      26613.70        6.51315700e+00        8.61581350e-09  19.9085  19.7140
0202-11-02_13:27:51.742000      26614.13        6.89881700e+00        1.82224535e-08  19.9085  19.7140
0202-11-02_13:27:52.195000      26614.58        7.10447500e+00        1.95240035e-08  19.9085  19.7140
0202-11-02_13:27:52.600000      26614.98        7.49544200e+00        9.79340350e-09  19.8935  19.9574
0202-11-02_13:27:53.008000      26615.39        7.67456300e+00        6.07470350e-09  19.8935  19.9574
0202-11-02_13:27:53.420000      26615.81        8.08746400e+00        7.25229350e-09  19.9285  19.8039
0202-11-02_13:27:53.844000      26616.22        8.27457900e+00        1.39459535e-08  19.9285  19.8039
0202-11-02_13:27:54.242000      26616.63        8.68292300e+00        2.40484235e-08  19.9285  19.8039
0202-11-02_13:27:54.680000      26617.06        8.87000000e+00        1.63631035e-08  19.8864  19.8075
0202-11-02_13:27:55.100000      26617.48        9.28199500e+00        4.82819435e-08  19.8864  19.8075
0202-11-02_13:27:55.523000      26617.90        9.46275500e+00        4.49348535e-08  19.9151  19.9430
0202-11-02_13:27:55.953000      26618.34        9.85162900e+00        8.88753235e-08  19.9151  19.9430
0202-11-02_13:27:56.395000      26618.78        1.00618100e+01        1.43415953e-07  19.9126  19.7473
0202-11-02_13:27:56.840000      26619.22        1.04522800e+01        3.32511713e-07  19.9126  19.7473
0202-11-02_13:27:57.277000      26619.66        1.06551800e+01        6.58765423e-07  19.9126  19.7473
0202-11-02_13:27:57.695000      26620.08        1.10389600e+01        1.98417113e-06  19.8840  19.9299
0202-11-02_13:27:58.168000      26620.55        1.12448100e+01        3.24127676e-06  19.8840  19.9299
0202-11-02_13:27:58.574000      26620.95        1.16338300e+01        7.90384141e-06  19.9151  19.8332
0202-11-02_13:27:58.980000      26621.36        1.18371800e+01        1.22009199e-05  19.9151  19.8332
0202-11-02_13:27:59.387000      26621.77        1.22270500e+01        2.75305047e-05  19.8939  19.7854
