# Ic = 3.75 A, n = 25.28 , Tavg = 19.99 K, f28-60e19-1200keV-0nA-20k-after30kAnneal2_5min
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-09_01:17:16.680000      4325.14        4.97936200e-02        6.18861100e-09  20.0114  19.7227
0202-03-09_01:17:16.890000      4325.35        5.10907600e-02        1.21386010e-08  20.0008  19.6511
0202-03-09_01:17:17.082000      4325.54        9.72444300e-02        1.05891210e-08  20.0008  19.6511
0202-03-09_01:17:17.273000      4325.74        1.49474200e-01        1.10849610e-08  20.0008  19.6511
0202-03-09_01:17:17.484000      4325.94        1.99502900e-01        6.31257100e-09  20.0008  19.6511
0202-03-09_01:17:17.680000      4326.14        2.47149600e-01        1.59193210e-08  20.0008  19.6511
0202-03-09_01:17:17.880000      4326.34        2.98356800e-01        1.23865210e-08  19.9994  19.7991
0202-03-09_01:17:18.086000      4326.55        3.48213400e-01        1.31302610e-08  19.9994  19.7991
0202-03-09_01:17:18.277000      4326.74        3.94376200e-01        8.66777100e-09  19.9994  19.7991
0202-03-09_01:17:18.470000      4326.93        4.46726200e-01        1.29443310e-08  19.9994  19.7991
0202-03-09_01:17:18.676000      4327.14        4.96219200e-01        8.54381100e-09  19.9994  19.7991
0202-03-09_01:17:18.870000      4327.33        5.44253200e-01        3.27559100e-09  20.0141  19.6454
0202-03-09_01:17:19.066000      4327.53        5.95055200e-01        1.41622100e-09  20.0141  19.6454
0202-03-09_01:17:19.273000      4327.73        6.44540800e-01        1.78825100e-09  20.0141  19.6454
0202-03-09_01:17:19.465000      4327.93        6.92552600e-01        1.01556310e-08  20.0141  19.6454
0202-03-09_01:17:19.660000      4328.12        7.43969100e-01        3.52402100e-09  20.0141  19.6454
0202-03-09_01:17:19.883000      4328.35        7.93749300e-01        3.27611100e-09  19.9892  19.7545
0202-03-09_01:17:20.080000      4328.54        8.42846100e-01       -3.78950900e-09  19.9892  19.7545
0202-03-09_01:17:20.285000      4328.75        8.92119400e-01       -1.68221900e-09  19.9892  19.7545
0202-03-09_01:17:20.480000      4328.94        9.37502800e-01       -4.28533900e-09  19.9892  19.7545
0202-03-09_01:17:20.680000      4329.14        9.91571400e-01       -2.17804900e-09  19.9892  19.7545
0202-03-09_01:17:20.887000      4329.35        1.04098700e+00        3.83392100e-09  20.0190  19.7282
0202-03-09_01:17:21.090000      4329.55        1.08800600e+00        6.37506100e-09  20.0190  19.7282
0202-03-09_01:17:21.290000      4329.75        1.14008600e+00        1.22010910e-08  20.0190  19.7282
0202-03-09_01:17:21.484000      4329.94        1.18948800e+00        9.78391100e-09  20.0190  19.7282
0202-03-09_01:17:21.690000      4330.15        1.23530700e+00        1.07136010e-08  20.0190  19.7282
0202-03-09_01:17:21.900000      4330.36        1.28944500e+00        1.13333910e-08  20.0055  19.6539
0202-03-09_01:17:22.100000      4330.56        1.33849900e+00        1.61677610e-08  20.0055  19.6539
0202-03-09_01:17:22.316000      4330.78        1.38743100e+00        2.01344210e-08  20.0055  19.6539
0202-03-09_01:17:22.520000      4330.98        1.43772200e+00        1.20151610e-08  20.0055  19.6539
0202-03-09_01:17:22.715000      4331.18        1.48569500e+00        1.39365110e-08  20.0055  19.6539
0202-03-09_01:17:22.920000      4331.38        1.53490900e+00        1.56099410e-08  20.0070  19.7982
0202-03-09_01:17:23.117000      4331.58        1.58659700e+00        2.12500410e-08  20.0070  19.7982
0202-03-09_01:17:23.332000      4331.79        1.63752800e+00        1.52380710e-08  20.0070  19.7982
0202-03-09_01:17:23.523000      4331.99        1.68372800e+00        1.13953710e-08  20.0070  19.7982
0202-03-09_01:17:23.715000      4332.18        1.73548100e+00        9.28808100e-09  20.0070  19.7982
0202-03-09_01:17:23.910000      4332.37        1.78524800e+00        1.78411910e-08  20.0207  19.6325
0202-03-09_01:17:24.117000      4332.58        1.83000100e+00        1.94526510e-08  20.0207  19.6325
0202-03-09_01:17:24.310000      4332.77        1.88412500e+00        2.05062910e-08  20.0207  19.6325
0202-03-09_01:17:24.500000      4332.96        1.93349900e+00        1.49901510e-08  20.0207  19.6325
0202-03-09_01:17:24.707000      4333.17        1.97899000e+00        1.74073410e-08  20.0207  19.6325
0202-03-09_01:17:24.906000      4333.37        2.03301700e+00        2.32333710e-08  19.9914  19.7638
0202-03-09_01:17:25.105000      4333.57        2.08287500e+00        2.65183510e-08  19.9914  19.7638
0202-03-09_01:17:25.316000      4333.78        2.12861900e+00        3.29645410e-08  19.9914  19.7638
0202-03-09_01:17:25.547000      4334.01        2.18192100e+00        1.82138810e-08  19.9914  19.7638
0202-03-09_01:17:25.760000      4334.22        2.22724000e+00        1.27598110e-08  19.9914  19.7638
