# Ic = 6.80 A, n = 27.74 , Tavg = 19.80 K, f29-120Kanneal-20K
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-02-11_06:25:19             31011.56        2.67322000e+00       -1.37926995e-08  19.7843  19.3767
0202-02-11_06:25:19.420000      31011.98        2.85373500e+00       -1.92468595e-08  19.8036  19.4257
0202-02-11_06:25:19.812000      31012.37        3.24491500e+00       -4.99164950e-09  19.8036  19.4257
0202-02-11_06:25:20.220000      31012.78        3.45273400e+00       -1.32348795e-08  19.8028  19.2509
0202-02-11_06:25:20.620000      31013.18        3.83782700e+00       -8.64841950e-09  19.8028  19.2509
0202-02-11_06:25:21.070000      31013.63        4.04245200e+00       -9.94998950e-09  19.8028  19.2509
0202-02-11_06:25:21.465000      31014.03        4.43237600e+00        1.20324050e-09  19.7908  19.4736
0202-02-11_06:25:21.860000      31014.42        4.63749800e+00       -1.05735595e-08  19.7908  19.4736
0202-02-11_06:25:22.280000      31014.84        5.02434000e+00       -3.02829295e-08  19.8198  19.2696
0202-02-11_06:25:22.680000      31015.24        5.22994600e+00       -3.72865795e-08  19.8198  19.2696
0202-02-11_06:25:23.113000      31015.68        5.61629100e+00       -3.30100095e-08  19.7878  19.3842
0202-02-11_06:25:23.510000      31016.07        5.82466400e+00       -1.51600195e-08  19.7878  19.3842
0202-02-11_06:25:23.906000      31016.47        6.21385400e+00       -1.29907395e-08  19.7878  19.3842
0202-02-11_06:25:24.316000      31016.88        6.42227300e+00        1.57675905e-08  19.8085  19.4246
0202-02-11_06:25:24.720000      31017.28        6.80920900e+00        1.49208721e-07  19.8085  19.4246
0202-02-11_06:25:25.150000      31017.71        7.01400200e+00        4.21173291e-07  19.8091  19.2601
0202-02-11_06:25:25.550000      31018.11        7.40509900e+00        2.36012940e-06  19.8091  19.2601
0202-02-11_06:25:25.945000      31018.51        7.58916000e+00        4.17184223e-06  19.8091  19.2601
0202-02-11_06:25:26.350000      31018.91        7.99833900e+00        1.69228767e-05  19.8000  19.4778
