# Ic =  nan A, n =  nan , Tavg = 20.08 K, f29-140Kanneal-20K
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-02-11_17:13:44.574000      25411.41        3.22276900e+00        3.15194680e-08  20.0620  19.5727
0202-02-11_17:13:44.977000      25411.81        3.40794700e+00        4.35434180e-08  20.0679  19.7168
0202-02-11_17:13:45.367000      25412.21        3.79830200e+00        4.76960180e-08  20.0679  19.7168
0202-02-11_17:13:45.773000      25412.61        4.00586700e+00        5.75514780e-08  20.0697  19.5103
0202-02-11_17:13:46.176000      25413.01        4.39470100e+00        5.19119080e-08  20.0697  19.5103
0202-02-11_17:13:46.586000      25413.43        4.60089400e+00        4.53421180e-08  20.0697  19.5103
0202-02-11_17:13:47.004000      25413.84        4.99099500e+00        4.39785780e-08  20.0603  19.7032
0202-02-11_17:13:47.402000      25414.24        5.19245700e+00        3.13968180e-08  20.0603  19.7032
0202-02-11_17:13:47.810000      25414.65        5.58468700e+00        4.33587880e-08  20.0650  19.5826
0202-02-11_17:13:48.210000      25415.05        5.78921000e+00        4.00738980e-08  20.0650  19.5826
0202-02-11_17:13:48.617000      25415.45        6.18025200e+00        5.91014880e-08  20.0503  19.5695
0202-02-11_17:13:49.035000      25415.87        6.38409200e+00        5.78618980e-08  20.0503  19.5695
0202-02-11_17:13:49.434000      25416.27        6.77528300e+00        1.13891018e-07  20.0503  19.5695
0202-02-11_17:13:49.836000      25416.68        6.97980700e+00        2.19255498e-07  20.0634  19.7197
0202-02-11_17:13:50.242000      25417.08        7.36797200e+00        7.11245668e-07  20.0634  19.7197
0202-02-11_17:13:50.652000      25417.49        7.57107700e+00        2.20227708e-06  20.0765  19.5098
0202-02-11_17:13:51.066000      25417.90        7.96429100e+00        7.96304915e-06  20.0765  19.5098
0202-02-11_17:13:51.460000      25418.30        8.14930200e+00        1.39970215e-05  20.0765  19.5098
