# Ic =  nan A, n =  nan , Tavg = 40.12 K, 40k-15e19pm2-03T-0nA
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-27_04:18:26.810000      29693.87        9.88782300e-03       -1.98770000e-09  40.1183  39.1708  39.4360  0.0000
0202-03-27_04:18:27.156000      29694.22        1.12987000e-01       -5.70630000e-09  40.1183  39.1708  39.4360  0.0000
0202-03-27_04:18:27.516000      29694.58        2.12391000e-01        3.52820000e-09  40.1147  39.1715  39.4299  0.0000
0202-03-27_04:18:27.863000      29694.93        3.11859800e-01       -6.51200000e-09  40.1147  39.1715  39.4299  0.0000
0202-03-27_04:18:28.246000      29695.31        4.10939400e-01        1.35920000e-09  40.1147  39.1715  39.4299  0.0000
0202-03-27_04:18:28.605000      29695.67        5.10109800e-01        5.01600000e-09  40.1203  39.1718  39.4360  0.0000
0202-03-27_04:18:28.965000      29696.03        6.09491000e-01       -1.34530000e-08  40.1203  39.1718  39.4360  0.0000
0202-03-27_04:18:29.312000      29696.38        7.09551500e-01        1.61098000e-08  40.1144  39.1724  39.4307  0.0000
0202-03-27_04:18:29.660000      29696.72        8.08005000e-01        4.21030000e-09  40.1144  39.1724  39.4307  0.0000
0202-03-27_04:18:30.008000      29697.07        9.08104600e-01       -6.82150000e-09  40.1144  39.1724  39.4307  0.0000
0202-03-27_04:18:30.355000      29697.42        1.00755500e+00        3.71450000e-09  40.1220  39.1724  39.4360  0.0000
0202-03-27_04:18:30.703000      29697.77        1.10733900e+00        1.12756000e-08  40.1220  39.1724  39.4360  0.0000
0202-03-27_04:18:31.055000      29698.12        1.20597900e+00        1.56140000e-08  40.1220  39.1724  39.4360  0.0000
0202-03-27_04:18:31.402000      29698.46        1.30537500e+00       -4.71430000e-09  40.1251  39.1725  39.4403  0.0000
0202-03-27_04:18:31.750000      29698.81        1.40540900e+00       -2.17330000e-09  40.1251  39.1725  39.4403  0.0000
0202-03-27_04:18:32.098000      29699.16        1.50500500e+00        1.66930000e-09  40.1251  39.1725  39.4403  0.0000
0202-03-27_04:18:32.445000      29699.51        1.60406600e+00        5.79000000e-11  40.1197  39.1723  39.4431  0.0000
0202-03-27_04:18:32.797000      29699.86        1.70277000e+00       -1.14078000e-08  40.1197  39.1723  39.4431  0.0000
0202-03-27_04:18:33.150000      29700.21        1.80271000e+00       -4.34250000e-09  40.1197  39.1723  39.4431  0.0000
0202-03-27_04:18:33.496000      29700.56        1.90231900e+00       -8.09800000e-10  40.1179  39.1721  39.4340  0.0000
0202-03-27_04:18:33.844000      29700.90        2.00175800e+00       -2.97900000e-09  40.1179  39.1721  39.4340  0.0000
0202-03-27_04:18:34.227000      29701.29        2.10084000e+00       -1.32045000e-08  40.1179  39.1721  39.4340  0.0000
0202-03-27_04:18:34.613000      29701.68        2.20002200e+00        1.54640000e-09  40.1179  39.1717  39.4377  0.0000
0202-03-27_04:18:34.960000      29702.02        2.29928900e+00        4.92800000e-10  40.1179  39.1717  39.4377  0.0000
0202-03-27_04:18:35.310000      29702.37        2.39916400e+00       -1.05660000e-09  40.1163  39.1713  39.4292  0.0000
0202-03-27_04:18:35.656000      29702.72        2.49856200e+00        4.64530000e-09  40.1163  39.1713  39.4292  0.0000
0202-03-27_04:18:36.010000      29703.07        2.59781700e+00        6.19470000e-09  40.1163  39.1713  39.4292  0.0000
0202-03-27_04:18:36.360000      29703.42        2.69734000e+00        4.83120000e-09  40.1112  39.1710  39.4304  0.0000
0202-03-27_04:18:36.707000      29703.77        2.79697100e+00       -1.80030000e-09  40.1112  39.1710  39.4304  0.0000
0202-03-27_04:18:37.062000      29704.12        2.89580000e+00       -2.23410000e-09  40.1112  39.1710  39.4304  0.0000
0202-03-27_04:18:37.420000      29704.48        2.99554100e+00       -1.50633000e-08  40.1161  39.1709  39.4311  0.0000
0202-03-27_04:18:37.780000      29704.84        3.09475300e+00       -2.57852000e-08  40.1161  39.1709  39.4311  0.0000
0202-03-27_04:18:38.130000      29705.19        3.19458500e+00       -2.68388000e-08  40.1161  39.1709  39.4311  0.0000
0202-03-27_04:18:38.477000      29705.54        3.29339400e+00       -2.99996000e-08  40.1196  39.1708  39.4355  0.0000
0202-03-27_04:18:38.824000      29705.89        3.39300900e+00       -3.94820000e-08  40.1196  39.1708  39.4355  0.0000
0202-03-27_04:18:39.170000      29706.24        3.49246400e+00       -3.74988000e-08  40.1196  39.1708  39.4355  0.0000
0202-03-27_04:18:39.600000      29706.66        3.59160500e+00       -3.32224000e-08  40.1251  39.1706  39.4436  0.0000
0202-03-27_04:18:39.950000      29707.01        3.69091200e+00       -4.82196000e-08  40.1251  39.1706  39.4436  0.0000
0202-03-27_04:18:40.305000      29707.37        3.79067100e+00       -5.19980000e-08  40.1251  39.1706  39.4436  0.0000
0202-03-27_04:18:40.656000      29707.72        3.88994500e+00       -4.51802000e-08  40.1258  39.1706  39.4409  0.0000
0202-03-27_04:18:41.004000      29708.07        3.98932900e+00       -5.79473000e-08  40.1258  39.1706  39.4409  0.0000
0202-03-27_04:18:41.350000      29708.41        4.08846200e+00       -5.77614000e-08  40.1217  39.1707  39.4362  0.0000
0202-03-27_04:18:41.700000      29708.76        4.18763000e+00       -5.59641000e-08  40.1217  39.1707  39.4362  0.0000
0202-03-27_04:18:42.047000      29709.11        4.28714400e+00       -5.58401000e-08  40.1217  39.1707  39.4362  0.0000
0202-03-27_04:18:42.395000      29709.46        4.38675400e+00       -6.90411000e-08  40.1105  39.1707  39.4237  0.0000
0202-03-27_04:18:42.742000      29709.80        4.48638200e+00       -7.95152000e-08  40.1105  39.1707  39.4237  0.0000
0202-03-27_04:18:43.090000      29710.15        4.58581300e+00       -7.33175000e-08  40.1105  39.1707  39.4237  0.0000
0202-03-27_04:18:43.438000      29710.50        4.68512600e+00       -7.53008000e-08  40.1185  39.1702  39.4310  0.0000
0202-03-27_04:18:43.785000      29710.85        4.78452400e+00       -7.77178000e-08  40.1185  39.1702  39.4310  0.0000
0202-03-27_04:18:44.133000      29711.19        4.88361700e+00       -8.05688000e-08  40.1185  39.1702  39.4310  0.0000
0202-03-27_04:18:44.480000      29711.54        4.98269300e+00       -8.36676000e-08  40.1180  39.1702  39.4351  0.0000
0202-03-27_04:18:44.840000      29711.90        5.08249700e+00       -9.09808000e-08  40.1180  39.1702  39.4351  0.0000
0202-03-27_04:18:45.188000      29712.25        5.18178400e+00       -9.48853000e-08  40.1180  39.1702  39.4351  0.0000
0202-03-27_04:18:45.610000      29712.67        5.28086700e+00       -9.77982000e-08  40.1228  39.1700  39.4376  0.0000
0202-03-27_04:18:45.957000      29713.02        5.38047800e+00       -1.12121000e-07  40.1228  39.1700  39.4376  0.0000
0202-03-27_04:18:46.310000      29713.37        5.47973300e+00       -1.21609600e-07  40.1228  39.1700  39.4376  0.0000
0202-03-27_04:18:46.670000      29713.73        5.57893200e+00       -1.24522500e-07  40.1205  39.1699  39.4388  0.0000
0202-03-27_04:18:47.023000      29714.09        5.67845100e+00       -1.21175700e-07  40.1205  39.1699  39.4388  0.0000
0202-03-27_04:18:47.370000      29714.43        5.77792100e+00       -1.24088600e-07  40.1191  39.1700  39.4383  0.0000
0202-03-27_04:18:47.730000      29714.79        5.87736000e+00       -1.27993200e-07  40.1191  39.1700  39.4383  0.0000
0202-03-27_04:18:48.080000      29715.14        5.97652200e+00       -1.34438700e-07  40.1191  39.1700  39.4383  0.0000
0202-03-27_04:18:48.426000      29715.49        6.07606900e+00       -1.46524200e-07  40.1142  39.1695  39.4317  0.0000
0202-03-27_04:18:48.780000      29715.85        6.17525600e+00       -1.44478900e-07  40.1142  39.1695  39.4317  0.0000
0202-03-27_04:18:49.140000      29716.20        6.27457400e+00       -1.46028300e-07  40.1142  39.1695  39.4317  0.0000
0202-03-27_04:18:49.500000      29716.56        6.37416900e+00       -1.40698400e-07  40.1142  39.1698  39.4261  0.0000
0202-03-27_04:18:49.850000      29716.91        6.47339600e+00       -1.40202500e-07  40.1142  39.1698  39.4261  0.0000
0202-03-27_04:18:50.258000      29717.32        6.57294100e+00       -1.37227700e-07  40.1142  39.1698  39.4261  0.0000
0202-03-27_04:18:50.610000      29717.67        6.67246100e+00       -1.27807200e-07  40.1175  39.1697  39.4317  0.0000
0202-03-27_04:18:50.957000      29718.02        6.77175300e+00       -1.21051800e-07  40.1175  39.1697  39.4317  0.0000
0202-03-27_04:18:51.310000      29718.37        6.87091300e+00       -1.12623000e-07  40.1175  39.1697  39.4317  0.0000
0202-03-27_04:18:51.656000      29718.72        6.97079800e+00       -9.81809000e-08  40.1136  39.1695  39.4289  0.0000
0202-03-27_04:18:52.004000      29719.07        7.07054300e+00       -8.98111000e-08  40.1136  39.1695  39.4289  0.0000
0202-03-27_04:18:52.350000      29719.41        7.16970900e+00       -6.08676000e-08  40.1283  39.1696  39.4435  0.0000
0202-03-27_04:18:52.703000      29719.77        7.26869700e+00       -2.26900000e-08  40.1283  39.1696  39.4435  0.0000
0202-03-27_04:18:53.050000      29720.11        7.36809500e+00        1.30705000e-08  40.1283  39.1696  39.4435  0.0000
0202-03-27_04:18:53.402000      29720.46        7.46747300e+00        5.67639000e-08  40.1224  39.1693  39.4378  0.0000
0202-03-27_04:18:53.750000      29720.81        7.56680000e+00        1.23326700e-07  40.1224  39.1693  39.4378  0.0000
0202-03-27_04:18:54.098000      29721.16        7.66610800e+00        1.97884500e-07  40.1224  39.1693  39.4378  0.0000
0202-03-27_04:18:54.440000      29721.51        7.76605600e+00        2.68413800e-07  40.1165  39.1695  39.4283  0.0000
0202-03-27_04:18:54.793000      29721.85        7.86525200e+00        3.91189300e-07  40.1165  39.1695  39.4283  0.0000
0202-03-27_04:18:55.140000      29722.20        7.96482500e+00        5.34417100e-07  40.1165  39.1695  39.4283  0.0000
0202-03-27_04:18:55.490000      29722.55        8.06363900e+00        6.95370200e-07  40.1190  39.1694  39.4319  0.0000
0202-03-27_04:18:55.836000      29722.90        8.16336800e+00        9.03363400e-07  40.1190  39.1694  39.4319  0.0000
0202-03-27_04:18:56.184000      29723.25        8.26267100e+00        1.13242870e-06  40.1190  39.1694  39.4319  0.0000
0202-03-27_04:18:56.594000      29723.66        8.36202300e+00        1.42644540e-06  40.1171  39.1697  39.4284  0.0000
0202-03-27_04:18:56.940000      29724.00        8.46050900e+00        1.73236160e-06  40.1171  39.1697  39.4284  0.0000
0202-03-27_04:18:57.293000      29724.36        8.56036200e+00        2.12064460e-06  40.1171  39.1697  39.4284  0.0000
0202-03-27_04:18:57.656000      29724.72        8.65994800e+00        2.57021830e-06  40.1192  39.1699  39.4338  0.0000
0202-03-27_04:18:58.004000      29725.06        8.75965100e+00        3.11684750e-06  40.1192  39.1699  39.4338  0.0000
0202-03-27_04:18:58.350000      29725.41        8.85875200e+00        3.75043410e-06  40.1163  39.1697  39.4288  0.0000
0202-03-27_04:18:58.700000      29725.76        8.95814400e+00        4.88683660e-06  40.1163  39.1697  39.4288  0.0000
0202-03-27_04:18:59.047000      29726.11        9.05810400e+00        5.34942980e-06  40.1163  39.1697  39.4288  0.0000
0202-03-27_04:18:59.395000      29726.46        9.15709900e+00        6.88979560e-06  40.1218  39.1698  39.4352  0.0000
0202-03-27_04:18:59.750000      29726.81        9.25639400e+00        8.12870738e-06  40.1218  39.1698  39.4352  0.0000
0202-03-27_04:19:00.098000      29727.16        9.35608100e+00        9.56668793e-06  40.1218  39.1698  39.4352  0.0000
