# Ic =  nan A, n =  nan , Tavg = 22.13 K, 22k-15e19pm2-03T-0nA-anneal50k-6min
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-27_05:09:29.420000      32756.49        8.89568900e-03       -6.56188235e-10  22.1018  20.0768  20.2675  0.0000
0202-03-27_05:09:29.770000      32756.83        3.10504900e-01        4.54981176e-09  22.1018  20.0768  20.2675  0.0000
0202-03-27_05:09:30.117000      32757.18        6.09127500e-01        2.62851176e-09  22.1018  20.0768  20.2675  0.0000
0202-03-27_05:09:30.465000      32757.53        9.07116300e-01       -4.70288235e-10  22.1155  20.0780  20.2876  0.0000
0202-03-27_05:09:30.812000      32757.87        1.20522600e+00        8.64031176e-09  22.1155  20.0780  20.2876  0.0000
0202-03-27_05:09:31.168000      32758.23        1.50348800e+00        2.62851176e-09  22.1155  20.0780  20.2876  0.0000
0202-03-27_05:09:31.516000      32758.58        1.80181500e+00        8.14441176e-09  22.1035  20.0713  20.2687  0.0000
0202-03-27_05:09:31.863000      32758.93        2.09964600e+00        1.47759118e-08  22.1035  20.0713  20.2687  0.0000
0202-03-27_05:09:32.220000      32759.28        2.39810500e+00        1.55197118e-08  22.1035  20.0713  20.2687  0.0000
0202-03-27_05:09:32.620000      32759.68        2.69618500e+00        3.86370118e-08  22.1093  20.0818  20.2818  0.0000
0202-03-27_05:09:32.965000      32760.03        2.99403800e+00        4.03112118e-08  22.1093  20.0818  20.2818  0.0000
0202-03-27_05:09:33.316000      32760.38        3.29222000e+00        3.56655118e-08  22.1093  20.0818  20.2818  0.0000
0202-03-27_05:09:33.670000      32760.74        3.59086000e+00        3.31253118e-08  22.1160  20.0711  20.2837  0.0000
0202-03-27_05:09:34.020000      32761.08        3.88933000e+00        4.46530118e-08  22.1160  20.0711  20.2837  0.0000
0202-03-27_05:09:34.367000      32761.43        4.18680800e+00        4.44670118e-08  22.1053  20.0772  20.2674  0.0000
0202-03-27_05:09:34.715000      32761.78        4.48493800e+00        4.67602118e-08  22.1053  20.0772  20.2674  0.0000
0202-03-27_05:09:35.062000      32762.13        4.78273200e+00        5.49411118e-08  22.1053  20.0772  20.2674  0.0000
0202-03-27_05:09:35.410000      32762.47        5.08112500e+00        5.92175118e-08  22.1206  20.0776  20.2888  0.0000
0202-03-27_05:09:35.758000      32762.82        5.37949400e+00        6.47954118e-08  22.1206  20.0776  20.2888  0.0000
0202-03-27_05:09:36.105000      32763.17        5.67770400e+00        7.32862118e-08  22.1206  20.0776  20.2888  0.0000
0202-03-27_05:09:36.453000      32763.52        5.97589500e+00        7.01254118e-08  22.0954  20.0704  20.2579  0.0000
0202-03-27_05:09:36.800000      32763.86        6.27383400e+00        7.52075118e-08  22.0954  20.0704  20.2579  0.0000
0202-03-27_05:09:37.150000      32764.21        6.57208100e+00        8.05375118e-08  22.0954  20.0704  20.2579  0.0000
0202-03-27_05:09:37.496000      32764.56        6.87002900e+00        8.30165118e-08  22.1146  20.0750  20.2907  0.0000
0202-03-27_05:09:37.844000      32764.91        7.16813100e+00        8.78507118e-08  22.1146  20.0750  20.2907  0.0000
0202-03-27_05:09:38.258000      32765.32        7.46640700e+00        8.67971118e-08  22.1146  20.0750  20.2907  0.0000
0202-03-27_05:09:38.617000      32765.68        7.76445800e+00        8.94001118e-08  22.1085  20.0701  20.2771  0.0000
0202-03-27_05:09:38.965000      32766.03        8.06259200e+00        9.22515118e-08  22.1085  20.0701  20.2771  0.0000
0202-03-27_05:09:39.312000      32766.38        8.36128500e+00        1.05701212e-07  22.1045  20.0764  20.2719  0.0000
0202-03-27_05:09:39.668000      32766.73        8.65964700e+00        1.17538712e-07  22.1045  20.0764  20.2719  0.0000
0202-03-27_05:09:40.016000      32767.08        8.95705100e+00        1.20203712e-07  22.1045  20.0764  20.2719  0.0000
0202-03-27_05:09:40.363000      32767.43        9.25528700e+00        1.21319312e-07  22.1199  20.0767  20.2910  0.0000
0202-03-27_05:09:40.710000      32767.78        9.55334500e+00        1.21567212e-07  22.1199  20.0767  20.2910  0.0000
0202-03-27_05:09:41.060000      32768.12        9.85149100e+00        1.29748112e-07  22.1199  20.0767  20.2910  0.0000
0202-03-27_05:09:41.410000      32768.47        1.01492900e+01        1.33652612e-07  22.1046  20.0700  20.2630  0.0000
0202-03-27_05:09:41.754000      32768.82        1.04472100e+01        1.23798312e-07  22.1046  20.0700  20.2630  0.0000
0202-03-27_05:09:42.100000      32769.17        1.07454100e+01        1.26959212e-07  22.1046  20.0700  20.2630  0.0000
0202-03-27_05:09:42.453000      32769.51        1.10437800e+01        1.35450012e-07  22.1121  20.0813  20.2812  0.0000
0202-03-27_05:09:42.797000      32769.86        1.13422400e+01        1.37309312e-07  22.1121  20.0813  20.2812  0.0000
0202-03-27_05:09:43.145000      32770.21        1.16399200e+01        1.23550412e-07  22.1121  20.0813  20.2812  0.0000
0202-03-27_05:09:43.504000      32770.57        1.19385000e+01        1.33466712e-07  22.1066  20.0713  20.2658  0.0000
0202-03-27_05:09:43.850000      32770.91        1.22367200e+01        1.48651012e-07  22.1066  20.0713  20.2658  0.0000
0202-03-27_05:09:44.285000      32771.35        1.25346300e+01        1.39168612e-07  22.1066  20.0713  20.2658  0.0000
0202-03-27_05:09:44.668000      32771.73        1.28326500e+01        1.41586512e-07  22.1011  20.0767  20.2685  0.0000
0202-03-27_05:09:45.010000      32772.07        1.31311000e+01        1.55412112e-07  22.1011  20.0767  20.2685  0.0000
0202-03-27_05:09:45.363000      32772.42        1.34291100e+01        1.53741212e-07  22.1118  20.0766  20.2874  0.0000
0202-03-27_05:09:45.710000      32772.77        1.37273900e+01        1.53369312e-07  22.1118  20.0766  20.2874  0.0000
0202-03-27_05:09:46.060000      32773.12        1.40250700e+01        1.60062812e-07  22.1118  20.0766  20.2874  0.0000
0202-03-27_05:09:46.414000      32773.48        1.43234700e+01        1.62603812e-07  22.1082  20.0704  20.2677  0.0000
0202-03-27_05:09:46.760000      32773.82        1.46215000e+01        1.83428012e-07  22.1082  20.0704  20.2677  0.0000
0202-03-27_05:09:47.110000      32774.17        1.49197100e+01        2.04871912e-07  22.1082  20.0704  20.2677  0.0000
0202-03-27_05:09:47.457000      32774.52        1.52178100e+01        2.34930612e-07  22.1098  20.0816  20.2817  0.0000
0202-03-27_05:09:47.812000      32774.88        1.55155400e+01        2.93622412e-07  22.1098  20.0816  20.2817  0.0000
0202-03-27_05:09:48.160000      32775.22        1.58140300e+01        3.62602412e-07  22.1098  20.0816  20.2817  0.0000
0202-03-27_05:09:48.516000      32775.58        1.61121900e+01        4.86617712e-07  22.0987  20.0719  20.2586  0.0000
0202-03-27_05:09:48.875000      32775.94        1.64103600e+01        6.70192512e-07  22.0987  20.0719  20.2586  0.0000
0202-03-27_05:09:49.242000      32776.31        1.67078600e+01        9.25040412e-07  22.0987  20.0719  20.2586  0.0000
0202-03-27_05:09:49.637000      32776.70        1.70068100e+01        1.31456361e-06  22.1030  20.0776  20.2623  0.0000
0202-03-27_05:09:49.984000      32777.05        1.73048800e+01        1.85803671e-06  22.1030  20.0776  20.2623  0.0000
0202-03-27_05:09:50.332000      32777.39        1.76033700e+01        3.12589281e-06  22.1140  20.0779  20.2840  0.0000
0202-03-27_05:09:50.680000      32777.74        1.79014000e+01        4.46285421e-06  22.1140  20.0779  20.2840  0.0000
0202-03-27_05:09:51.027000      32778.09        1.81993100e+01        6.38828388e-06  22.1140  20.0779  20.2840  0.0000
0202-03-27_05:09:51.383000      32778.45        1.84971500e+01        9.19037068e-06  22.1069  20.0716  20.2614  0.0000
0202-03-27_05:09:51.730000      32778.79        1.87954400e+01        1.33123115e-05  22.1069  20.0716  20.2614  0.0000
0202-03-27_05:09:52.080000      32779.14        1.90939100e+01        1.97479954e-05  22.1069  20.0716  20.2614  0.0000
0202-03-27_05:09:52.426000      32779.49        1.93918100e+01        3.10345006e-05  22.1267  20.0831  20.2875  0.0000
