# Ic = 0.66 A, n = 9.54 , Tavg = 70.01 K, 70k-15e19pm2-03T-0nA
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-27_06:07:49.074000      36256.14        9.02480700e-03       -1.83988067e-08  70.0403  68.9495  69.6674  0.0000
0202-03-27_06:07:49.420000      36256.48        4.25360100e-02       -2.84390067e-08  70.0478  68.9546  69.6521  0.0000
0202-03-27_06:07:49.770000      36256.83        7.22186400e-02       -3.48226067e-08  70.0478  68.9546  69.6521  0.0000
0202-03-27_06:07:50.125000      36257.19        1.02030400e-01       -4.77138067e-08  70.0478  68.9546  69.6521  0.0000
0202-03-27_06:07:50.473000      36257.54        1.31849200e-01       -6.07909067e-08  70.0360  68.9576  69.6485  0.0000
0202-03-27_06:07:50.820000      36257.88        1.61600100e-01       -7.21326067e-08  70.0360  68.9576  69.6485  0.0000
0202-03-27_06:07:51.168000      36258.23        1.91344600e-01       -8.10572067e-08  70.0360  68.9576  69.6485  0.0000
0202-03-27_06:07:51.516000      36258.58        2.20800100e-01       -9.64303067e-08  70.0269  68.9578  69.6437  0.0000
0202-03-27_06:07:51.875000      36258.94        2.50938400e-01       -9.59994067e-08  70.0269  68.9578  69.6437  0.0000
0202-03-27_06:07:52.258000      36259.32        2.80660100e-01       -9.07933067e-08  70.0269  68.9578  69.6437  0.0000
0202-03-27_06:07:52.620000      36259.68        3.10912700e-01       -1.17071507e-07  70.0191  68.9581  69.6445  0.0000
0202-03-27_06:07:52.970000      36260.03        3.40892200e-01       -1.17009507e-07  70.0191  68.9581  69.6445  0.0000
0202-03-27_06:07:53.330000      36260.39        3.69379900e-01       -1.41304407e-07  70.0165  68.9580  69.6513  0.0000
0202-03-27_06:07:53.670000      36260.74        3.99866900e-01       -1.66404907e-07  70.0165  68.9580  69.6513  0.0000
0202-03-27_06:07:54.020000      36261.08        4.30451800e-01       -1.74338007e-07  70.0165  68.9580  69.6513  0.0000
0202-03-27_06:07:54.367000      36261.43        4.59606100e-01       -1.63678007e-07  70.0204  68.9578  69.6485  0.0000
0202-03-27_06:07:54.715000      36261.78        4.89499500e-01       -1.81465307e-07  70.0204  68.9578  69.6485  0.0000
0202-03-27_06:07:55.062000      36262.12        5.19616100e-01       -1.47006207e-07  70.0204  68.9578  69.6485  0.0000
0202-03-27_06:07:55.414000      36262.48        5.48567000e-01       -1.93488807e-07  70.0153  68.9585  69.6509  0.0000
0202-03-27_06:07:55.760000      36262.82        5.79207000e-01       -1.57604207e-07  70.0153  68.9585  69.6509  0.0000
0202-03-27_06:07:56.110000      36263.17        6.08914400e-01       -1.06597407e-07  70.0153  68.9585  69.6509  0.0000
0202-03-27_06:07:56.457000      36263.52        6.38686100e-01       -8.94918067e-08  70.0260  68.9586  69.6451  0.0000
0202-03-27_06:07:56.805000      36263.87        6.68915200e-01       -2.20612067e-08  70.0260  68.9586  69.6451  0.0000
0202-03-27_06:07:57.164000      36264.23        6.98350000e-01        6.40869933e-08  70.0260  68.9586  69.6451  0.0000
0202-03-27_06:07:57.510000      36264.58        7.28409600e-01        2.17792493e-07  70.0330  68.9592  69.6472  0.0000
0202-03-27_06:07:57.860000      36264.92        7.58143200e-01        4.72394393e-07  70.0330  68.9592  69.6472  0.0000
0202-03-27_06:07:58.258000      36265.32        7.87747200e-01        7.84261093e-07  70.0330  68.9592  69.6472  0.0000
0202-03-27_06:07:58.620000      36265.68        8.17453600e-01        1.24419009e-06  70.0184  68.9587  69.6318  0.0000
0202-03-27_06:07:58.965000      36266.03        8.47123800e-01        1.80706239e-06  70.0184  68.9587  69.6318  0.0000
0202-03-27_06:07:59.316000      36266.38        8.77174500e-01        3.01945028e-06  70.0184  68.9587  69.6318  0.0000
0202-03-27_06:07:59.664000      36266.73        9.06613100e-01        4.21231555e-06  70.0183  68.9580  69.6301  0.0000
0202-03-27_06:08:00.023000      36267.08        9.36368400e-01        5.62606573e-06  70.0183  68.9580  69.6301  0.0000
0202-03-27_06:08:00.380000      36267.44        9.66900000e-01        7.50761593e-06  70.0155  68.9580  69.6347  0.0000
0202-03-27_06:08:00.740000      36267.80        9.96482200e-01        9.83446863e-06  70.0155  68.9580  69.6347  0.0000
0202-03-27_06:08:01.086000      36268.15        1.02587700e+00        1.25269248e-05  70.0155  68.9580  69.6347  0.0000
0202-03-27_06:08:01.434000      36268.50        1.05568000e+00        1.59046745e-05  70.0116  68.9586  69.6479  0.0000
0202-03-27_06:08:01.780000      36268.84        1.08584400e+00        1.98711442e-05  70.0116  68.9586  69.6479  0.0000
0202-03-27_06:08:02.137000      36269.20        1.11540300e+00        2.50741181e-05  70.0116  68.9586  69.6479  0.0000
