# Ic = 8.73 A, n = 21.18 , Tavg = 22.21 K, 22k-30p4pm2-03T-0nA-anneal60k-6min
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-29_05:06:14.930000      11652.70        7.53089800e-03        4.98192385e-09  22.2153  19.7973  19.9948  0.0000
0202-03-29_05:06:15.277000      11653.04        3.09521700e-01       -1.33963615e-09  22.2153  19.7973  19.9948  0.0000
0202-03-29_05:06:15.630000      11653.40        6.07306300e-01        2.38338462e-11  22.2028  19.7976  19.9696  0.0000
0202-03-29_05:06:15.980000      11653.75        9.05729000e-01        5.84616385e-09  22.2028  19.7976  19.9696  0.0000
0202-03-29_05:06:16.330000      11654.10        1.20428400e+00        4.82946938e-08  22.2028  19.7976  19.9696  0.0000
0202-03-29_05:06:16.684000      11654.45        1.50191900e+00        4.52578638e-08  22.2196  19.8059  20.0041  0.0000
0202-03-29_05:06:17.030000      11654.80        1.80016100e+00        1.86700938e-08  22.2196  19.8059  20.0041  0.0000
0202-03-29_05:06:17.380000      11655.15        2.09812200e+00        1.76164938e-08  22.2196  19.8059  20.0041  0.0000
0202-03-29_05:06:17.727000      11655.49        2.39625900e+00        1.61290738e-08  22.2140  19.7922  19.9833  0.0000
0202-03-29_05:06:18.074000      11655.84        2.69445700e+00        1.80503338e-08  22.2140  19.7922  19.9833  0.0000
0202-03-29_05:06:18.420000      11656.19        2.99283400e+00        1.69967338e-08  22.2140  19.7922  19.9833  0.0000
0202-03-29_05:06:18.773000      11656.54        3.29111000e+00        9.99343385e-09  22.2126  19.8055  19.9928  0.0000
0202-03-29_05:06:19.120000      11656.89        3.58897600e+00        1.38979238e-08  22.2126  19.8055  19.9928  0.0000
0202-03-29_05:06:19.470000      11657.24        3.88721600e+00        5.28324385e-09  22.2126  19.8055  19.9928  0.0000
0202-03-29_05:06:19.816000      11657.58        4.18521100e+00        9.44913846e-10  22.2120  19.7924  19.9800  0.0000
0202-03-29_05:06:20.164000      11657.93        4.48339400e+00        4.53952385e-09  22.2120  19.7924  19.9800  0.0000
0202-03-29_05:06:20.586000      11658.36        4.78107600e+00        2.18443385e-09  22.2120  19.7924  19.9800  0.0000
0202-03-29_05:06:20.953000      11658.72        5.07909000e+00        6.39881385e-09  22.2036  19.7971  19.9710  0.0000
0202-03-29_05:06:21.312000      11659.08        5.37761500e+00       -2.32636154e-10  22.2036  19.7971  19.9710  0.0000
0202-03-29_05:06:21.676000      11659.44        5.67551400e+00        1.13082385e-09  22.2141  19.8057  19.9991  0.0000
0202-03-29_05:06:22.023000      11659.79        5.97395300e+00       -2.09203615e-09  22.2141  19.8057  19.9991  0.0000
0202-03-29_05:06:22.370000      11660.14        6.27179300e+00       -1.03968862e-08  22.2141  19.8057  19.9991  0.0000
0202-03-29_05:06:22.723000      11660.49        6.56983200e+00       -7.85586615e-09  22.2054  19.7917  19.9706  0.0000
0202-03-29_05:06:23.070000      11660.84        6.86842400e+00       -5.68670615e-09  22.2054  19.7917  19.9706  0.0000
0202-03-29_05:06:23.426000      11661.20        7.16655300e+00       -3.64148615e-09  22.2054  19.7917  19.9706  0.0000
0202-03-29_05:06:23.777000      11661.54        7.46436200e+00        6.64655385e-09  22.2067  19.8039  19.9816  0.0000
0202-03-29_05:06:24.125000      11661.89        7.76321100e+00        1.65007638e-08  22.2067  19.8039  19.9816  0.0000
0202-03-29_05:06:24.473000      11662.24        8.06050400e+00        3.72627738e-08  22.2067  19.8039  19.9816  0.0000
0202-03-29_05:06:24.830000      11662.60        8.35913600e+00        8.27532838e-08  22.2037  19.7909  19.9684  0.0000
0202-03-29_05:06:25.176000      11662.94        8.65725600e+00        1.66916904e-07  22.2037  19.7909  19.9684  0.0000
0202-03-29_05:06:25.543000      11663.31        8.95523100e+00        3.47329514e-07  22.2037  19.7909  19.9684  0.0000
0202-03-29_05:06:25.914000      11663.68        9.25327600e+00        6.81504984e-07  22.2032  19.7960  19.9724  0.0000
0202-03-29_05:06:26.270000      11664.04        9.55179200e+00        1.25583807e-06  22.2032  19.7960  19.9724  0.0000
0202-03-29_05:06:26.620000      11664.39        9.84979700e+00        2.99780204e-06  22.2226  19.8052  20.0068  0.0000
0202-03-29_05:06:26.990000      11664.76        1.01476500e+01        5.26569573e-06  22.2226  19.8052  20.0068  0.0000
0202-03-29_05:06:27.336000      11665.10        1.04455500e+01        9.03483798e-06  22.2226  19.8052  20.0068  0.0000
0202-03-29_05:06:27.684000      11665.45        1.07437600e+01        1.55630705e-05  22.2145  19.7917  19.9800  0.0000
0202-03-29_05:06:28.030000      11665.80        1.10419000e+01        2.76590238e-05  22.2145  19.7917  19.9800  0.0000
