# Tc = 0.00 K, 15e19pm2-03T-anneal300k-720min-dn-2-
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-28_22:45:53.420000      16297.28        8.69278400e-03        7.92859764e-06  88.7851  87.3679  88.5106  0.0000
0202-03-28_22:45:54.293000      16298.15        8.53345300e-03        7.90929216e-06  88.7688  87.3643  88.5212  0.0000
0202-03-28_22:45:55.156000      16299.02        8.64588200e-03        7.90151414e-06  88.7442  87.3609  88.4894  0.0000
0202-03-28_22:45:56.050000      16299.91        8.77834800e-03        7.88536941e-06  88.7416  87.3581  88.4862  0.0000
0202-03-28_22:45:56.977000      16300.84        8.76736500e-03        7.87697051e-06  88.7467  87.3540  88.4794  0.0000
0202-03-28_22:45:57.855000      16301.71        8.43808900e-03        7.85914638e-06  88.7160  87.3504  88.4698  0.0000
0202-03-28_22:45:58.734000      16302.59        8.51845800e-03        7.83872529e-06  88.7294  87.3469  88.4585  0.0000
0202-03-28_22:45:59.633000      16303.49        8.64780500e-03        7.83531661e-06  88.7154  87.3420  88.4474  0.0000
0202-03-28_22:46:00.562000      16304.42        8.35407900e-03        7.81532939e-06  88.7178  87.3375  88.4419  0.0000
0202-03-28_22:46:01.453000      16305.31        8.61544900e-03        7.80786121e-06  88.7020  87.3321  88.4389  0.0000
0202-03-28_22:46:02.332000      16306.19        8.31036900e-03        7.77504495e-06  88.7020  87.3321  88.4389  0.0000
0202-03-28_22:46:03.210000      16307.07        8.68402100e-03        7.76063793e-06  88.6967  87.3244  88.4223  0.0000
0202-03-28_22:46:04.082000      16307.94        8.77136900e-03        7.73609696e-06  88.7045  87.3201  88.4546  0.0000
0202-03-28_22:46:04.990000      16308.85        8.30673500e-03        7.71896062e-06  88.7051  87.3134  88.4509  0.0000
0202-03-28_22:46:05.855000      16309.72        8.46814400e-03        7.71598574e-06  88.7204  87.3076  88.4551  0.0000
0202-03-28_22:46:06.740000      16310.60        8.47482300e-03        7.70284678e-06  88.7053  87.3004  88.4282  0.0000
0202-03-28_22:46:07.610000      16311.47        8.39527000e-03        7.67216868e-06  88.6883  87.2933  88.4142  0.0000
0202-03-28_22:46:08.480000      16312.34        8.34443500e-03        7.65865793e-06  88.6750  87.2860  88.3924  0.0000
0202-03-28_22:46:09.402000      16313.26        8.13946400e-03        7.63771096e-06  88.6750  87.2860  88.3924  0.0000
0202-03-28_22:46:10.280000      16314.14        8.31074000e-03        7.62178313e-06  88.6842  87.2785  88.4093  0.0000
0202-03-28_22:46:11.145000      16315.01        8.56223800e-03        7.60064931e-06  88.6550  87.2703  88.3935  0.0000
0202-03-28_22:46:12.023000      16315.88        8.02858500e-03        7.58208750e-06  88.6502  87.2626  88.3814  0.0000
0202-03-28_22:46:12.890000      16316.75        8.12913900e-03        7.55125444e-06  88.6728  87.2539  88.3990  0.0000
0202-03-28_22:46:13.758000      16317.62        8.63162000e-03        7.53253771e-06  88.6795  87.2463  88.4259  0.0000
0202-03-28_22:46:14.625000      16318.49        8.50479500e-03        7.51682810e-06  88.6804  87.2388  88.3897  0.0000
0202-03-28_22:46:15.504000      16319.36        8.23748900e-03        7.48444686e-06  88.6629  87.2311  88.3816  0.0000
0202-03-28_22:46:16.387000      16320.25        8.52209100e-03        7.46802322e-06  88.6629  87.2311  88.3816  0.0000
0202-03-28_22:46:17.254000      16321.11        8.50984900e-03        7.43176732e-06  88.6731  87.2232  88.3646  0.0000
0202-03-28_22:46:18.120000      16321.98        8.83274200e-03        7.42398927e-06  88.6485  87.2150  88.3543  0.0000
0202-03-28_22:46:19.016000      16322.88        8.63912600e-03        7.41085032e-06  88.6179  87.2068  88.3415  0.0000
0202-03-28_22:46:19.895000      16323.75        8.46970000e-03        7.38020324e-06  88.6138  87.1996  88.3318  0.0000
0202-03-28_22:46:20.760000      16324.62        8.54762200e-03        7.35742811e-06  88.6218  87.1913  88.3337  0.0000
0202-03-28_22:46:21.640000      16325.50        8.35037000e-03        7.32991071e-06  88.6104  87.1818  88.3393  0.0000
0202-03-28_22:46:22.560000      16326.42        8.43482300e-03        7.29545209e-06  88.6154  87.1729  88.3454  0.0000
0202-03-28_22:46:23.445000      16327.30        8.45434100e-03        7.28166245e-06  88.6236  87.1650  88.3244  0.0000
0202-03-28_22:46:24.310000      16328.17        8.46332100e-03        7.24639810e-06  88.6236  87.1650  88.3244  0.0000
0202-03-28_22:46:25.188000      16329.05        8.23823800e-03        7.22851800e-06  88.6150  87.1573  88.3199  0.0000
0202-03-28_22:46:26.080000      16329.94        8.12640300e-03        7.20075208e-06  88.6078  87.1503  88.3072  0.0000
0202-03-28_22:46:26.984000      16330.84        8.18836900e-03        7.17329425e-06  88.5842  87.1420  88.2924  0.0000
0202-03-28_22:46:27.850000      16331.71        8.49077900e-03        7.14571495e-06  88.5927  87.1339  88.2978  0.0000
0202-03-28_22:46:28.723000      16332.58        8.36217100e-03        7.12331063e-06  88.5753  87.1253  88.2684  0.0000
0202-03-28_22:46:29.605000      16333.46        8.62985300e-03        7.09148596e-06  88.5671  87.1173  88.2823  0.0000
0202-03-28_22:46:30.560000      16334.42        8.49464000e-03        7.05789502e-06  88.5656  87.1080  88.2742  0.0000
0202-03-28_22:46:31.445000      16335.31        8.60610600e-03        6.87794864e-06  88.5494  87.0999  88.2876  0.0000
0202-03-28_22:46:32.324000      16336.18        8.47118900e-03        7.00698084e-06  88.5494  87.0999  88.2876  0.0000
0202-03-28_22:46:33.190000      16337.05        8.55860800e-03        6.97462946e-06  88.5943  87.0903  88.2847  0.0000
0202-03-28_22:46:34.060000      16337.92        8.72023800e-03        6.95801987e-06  88.5510  87.0827  88.2500  0.0000
0202-03-28_22:46:35             16338.86        8.59682600e-03        6.93084342e-06  88.5651  87.0751  88.2616  0.0000
