# Ic =  nan A, n =  nan , Tavg = 0.00 K, after2ndRTanneal
#idx    t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
    0  291.10       -1.51057100e-01        2.33113019e-06  25.9635  19.7472
    1  291.35        3.32425700e-01        1.18970950e-08  25.9635  19.7472
    2  291.70        8.51733200e-01       -1.17322430e-06  25.9635  19.7472
    3  291.97        1.40456700e+00        3.57940920e-06  25.9635  20.2823
    4  292.21        1.84792000e+00       -1.10634770e-06  25.9635  20.2823
    5  292.47        2.33511400e+00        5.39285695e-07  25.9635  20.2823
    6  292.80        2.89498200e+00        4.06288599e-06  25.9635  20.2823
    7  293.12        3.34841000e+00        8.67066695e-07  25.9635  19.8490
    8  293.36        3.83867400e+00       -1.24943071e-06  25.9635  19.8490
    9  293.94        4.39757000e+00        6.33091695e-07  25.9635  19.8490
   10  294.18        4.87488300e+00       -1.49301260e-06  25.9635  19.9748
   11  294.43        5.34615100e+00        1.41323559e-06  25.9635  19.9748
   12  294.76        5.90615200e+00       -1.89724701e-06  25.9635  20.2148
   13  295.02        6.38049200e+00       -1.17071601e-06  25.9635  20.2148
   14  295.28        6.86479700e+00        8.90123295e-07  25.9635  20.2148
   15  295.52        7.34934800e+00       -1.10179411e-06  25.9635  20.2148
   16  295.80        7.91074800e+00        1.39724470e-06  25.9635  19.7456
   17  296.08        8.44080600e+00       -1.25562871e-06  25.9635  19.7456
   18  296.33        8.92229200e+00       -1.00634471e-06  25.9635  19.7456
   19  297.00        9.47102500e+00        3.81725869e-06  25.9635  19.7456
   20  297.24        9.93543400e+00        5.95097895e-07  25.9635  20.2828
   21  297.49        1.04014500e+01        2.73279249e-06  25.9635  20.2828
   22  297.94        1.09667900e+01        4.90351495e-07  25.9635  20.2828
   23  298.20        1.14311600e+01        3.55712810e-06  25.9635  19.8422
   24  298.44        1.19044500e+01        7.61273995e-07  25.9635  19.8422
   25  298.93        1.24575900e+01        2.47149189e-06  25.9635  19.8422
   26  299.18        1.29082600e+01        1.71198729e-06  25.9635  19.9776
   27  299.43        1.34207200e+01        2.48921820e-06  25.9635  19.9776
   28  299.73        1.39380100e+01       -8.56846050e-08  25.9635  20.2020
   29  300.02        1.43845000e+01        3.27970895e-07  25.9635  20.2020
   30  300.27        1.48549900e+01        3.15488480e-06  25.9635  20.2020
   31  300.89        1.53515900e+01        7.27370895e-07  25.9635  20.2020
   32  301.14        1.58805600e+01        2.78486339e-06  25.9635  19.7431
   33  301.40        1.63589700e+01       -1.76162741e-06  25.9635  19.7431
   34  301.83        1.69307000e+01       -1.70782871e-06  25.9635  19.7431
   35  303.10        1.73401600e+01        4.09846595e-07  25.9635  20.2827
   36  303.37        1.78958800e+01       -6.79826105e-07  25.9635  20.0777
   37  303.77        1.83982600e+01        1.59658029e-06  25.9635  20.0777
   38  304.03        1.88806700e+01        2.45946770e-06  25.9635  19.9941
   39  304.27        1.93497200e+01       -4.35248605e-07  25.9635  19.9941
   40  304.90        1.98514200e+01        3.65699019e-06  25.9635  19.9941
   41  305.16        2.04065600e+01       -2.34274941e-06  25.9635  20.1960
   42  305.40        2.08887500e+01       -2.26747405e-07  25.9635  20.1960
   43  305.72        2.13986000e+01        9.94881195e-07  25.9635  19.7480
   44  305.97        2.19548100e+01       -9.16152505e-07  25.9635  19.7480
   45  306.22        2.23989900e+01        9.81245495e-07  25.9635  19.7480
   46  306.46        2.28900300e+01        6.68865595e-07  25.9635  19.7480
   47  306.74        2.34382100e+01        4.83544995e-07  25.9635  20.2881
   48  307.02        2.38972100e+01        1.28835709e-06  25.9635  20.2881
   49  307.27        2.44013500e+01       -1.72015891e-06  25.9635  20.2881
   50  307.63        2.48794900e+01       -1.04736451e-06  25.9635  20.2881
   51  307.97        2.54458800e+01       -1.94669630e-06  25.9635  19.8237
   52  308.22        2.59148400e+01        1.15726910e-06  25.9635  19.8237
   53  308.46        2.63849500e+01       -1.12533551e-06  25.9635  19.8237
   54  308.73        2.69313000e+01        1.79832969e-06  25.9635  19.8237
   55  308.99        2.74371100e+01       -1.26497670e-06  25.9635  20.0048
   56  309.24        2.79057300e+01       -2.36072361e-06  25.9635  20.0048
   57  309.49        2.83827000e+01        1.28538210e-06  25.9635  20.0048
   58  309.95        2.89309100e+01        8.41820995e-07  25.9635  20.1888
   59  310.19        2.93859100e+01       -1.40006390e-06  25.9635  20.1888
   60  310.45        2.99056600e+01       -1.78737801e-06  25.9635  20.1888
   61  310.89        3.04394300e+01        4.74526495e-07  25.9635  20.1888
   62  311.14        3.08898900e+01        1.43441349e-06  25.9635  19.7528
   63  311.38        3.13829700e+01       -2.63830390e-06  25.9635  19.7528
   64  311.67        3.19601100e+01       -1.71919981e-06  25.9635  20.2940
   65  311.94        3.24479500e+01        2.55371350e-06  25.9635  20.2940
   66  312.18        3.29142800e+01       -3.85386405e-07  25.9635  20.2940
   67  312.43        3.34085000e+01        1.97760779e-06  25.9635  20.2940
   68  312.88        3.39586300e+01        5.85415779e-06  25.9635  20.2940
   69  313.14        3.44116300e+01        4.62199189e-06  25.9635  19.8195
   70  313.39        3.48911700e+01        2.40372149e-06  25.9635  19.8195
   71  313.71        3.54026800e+01        8.53820920e-06  25.9635  19.8195
   72  313.98        3.59862700e+01        1.20881236e-05  25.9635  20.0224
   73  314.22        3.64005200e+01        1.36995461e-05  25.9635  20.0224
   74  314.47        3.69372800e+01        2.26129765e-05  25.9635  20.0224
