# Tc =  nan K, f26-pristine_kapton_up
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-11-10_17:40:31.130000      7838.99       -1.97360500e-04       -4.40040000e-09  85.9763  85.0631
0202-11-10_17:40:33.220000      7841.08       -2.25041400e-04       -9.48740000e-09  85.9462  85.0691
0202-11-10_17:40:35.344000      7843.20       -2.98951600e-04       -4.64835000e-09  85.9819  85.0665
0202-11-10_17:40:37.426000      7845.29       -2.21700900e-04       -1.36971000e-08  85.9753  85.0709
0202-11-10_17:40:39.504000      7847.36       -4.62871400e-04       -4.26580000e-09  85.9145  85.0693
0202-11-10_17:40:41.600000      7849.46       -2.89894600e-04       -7.00350000e-09  85.9061  85.0744
0202-11-10_17:40:43.700000      7851.56        2.57818400e-05       -1.62382000e-08  85.9481  85.0840
0202-11-10_17:40:45.790000      7853.65        3.47608400e-05       -7.90220000e-09  85.9510  85.0865
0202-11-10_17:40:47.900000      7855.76       -4.21386700e-04       -1.01953500e-08  86.0253  85.0975
0202-11-10_17:40:49.984000      7857.84       -8.87175800e-05       -8.33625000e-09  85.9681  85.1052
0202-11-10_17:40:52.080000      7859.94       -5.11843800e-04       -6.04285000e-09  85.9856  85.1131
0202-11-10_17:40:54.156000      7862.01       -3.31522100e-04       -7.46835000e-09  86.0232  85.1168
0202-11-10_17:40:56.230000      7864.09       -4.19383000e-04       -1.11549500e-08  85.9594  85.1312
0202-11-10_17:40:58.350000      7866.21       -3.58089500e-05       -1.12490000e-08  86.0138  85.1446
0202-11-10_17:41:00.450000      7868.31       -4.11740100e-04       -1.02264000e-08  85.9652  85.1582
0202-11-10_17:41:02.540000      7870.40       -8.24328700e-04       -1.54976000e-08  85.9577  85.1663
0202-11-10_17:41:04.625000      7872.48       -6.26567900e-04       -8.67690000e-09  86.0371  85.1882
0202-11-10_17:41:06.710000      7874.57       -3.62318500e-04       -7.03450000e-09  86.0615  85.1907
0202-11-10_17:41:08.793000      7876.65       -4.87578800e-04       -1.09396500e-08  86.0094  85.2038
0202-11-10_17:41:10.906000      7878.76       -2.77054400e-04       -1.27054500e-08  86.0850  85.2215
0202-11-10_17:41:12.980000      7880.84       -5.05609900e-04       -1.39140500e-08  86.0595  85.2329
0202-11-10_17:41:15.060000      7882.92       -4.87133600e-04       -9.69955000e-09  86.0585  85.2438
0202-11-10_17:41:17.150000      7885.01       -3.10077900e-04       -1.18068000e-08  86.0531  85.2575
0202-11-10_17:41:19.230000      7887.09       -7.09836300e-05       -9.82265000e-09  86.0214  85.2676
0202-11-10_17:41:21.375000      7889.23       -3.77012800e-04       -1.35422000e-08  86.1062  85.2870
0202-11-10_17:41:23.457000      7891.31       -2.18209700e-04       -1.14969500e-08  86.0788  85.3027
0202-11-10_17:41:25.530000      7893.39       -3.39536600e-04       -1.04195500e-08  86.0743  85.3094
0202-11-10_17:41:27.610000      7895.47        4.93794200e-05       -1.08771500e-08  86.1502  85.3312
0202-11-10_17:41:29.703000      7897.56       -1.55952200e-04       -1.29843500e-08  86.1100  85.3445
0202-11-10_17:41:31.793000      7899.65       -2.30605400e-04       -1.34502500e-08  86.0702  85.3615
0202-11-10_17:41:33.895000      7901.75       -2.36096000e-04       -1.28914000e-08  86.0992  85.3795
0202-11-10_17:41:35.973000      7903.83       -6.04904000e-04       -1.33562500e-08  86.1669  85.3928
0202-11-10_17:41:38.050000      7905.91       -4.34228700e-04       -1.46268000e-08  86.1390  85.4116
0202-11-10_17:41:40.152000      7908.01       -2.17870300e-05       -1.67650000e-08  86.1454  85.4255
0202-11-10_17:41:42.230000      7910.09       -1.69384500e-04       -1.62078000e-08  86.1641  85.4449
0202-11-10_17:41:44.363000      7912.22        5.98397700e-05       -1.31703000e-08  86.2110  85.4637
0202-11-10_17:41:46.457000      7914.32       -2.67187900e-04       -1.62382500e-08  86.2039  85.4876
0202-11-10_17:41:48.547000      7916.40       -3.66326600e-04       -1.64602000e-08  86.2176  85.5101
0202-11-10_17:41:50.633000      7918.49       -2.82545100e-04       -1.30773500e-08  86.2378  85.5204
0202-11-10_17:41:52.707000      7920.57       -3.66397800e-04       -1.23645500e-08  86.2768  85.5379
0202-11-10_17:41:54.785000      7922.64       -2.71858600e-04       -2.05651500e-08  86.2003  85.5573
0202-11-10_17:41:56.940000      7924.80       -7.00623700e-04       -1.31083500e-08  86.3423  85.5698
0202-11-10_17:41:59.020000      7926.88       -2.41582300e-04       -1.49677000e-08  86.2952  85.5924
0202-11-10_17:42:01.094000      7928.95       -1.63739900e-04       -1.49987000e-08  86.2653  85.6069
0202-11-10_17:42:03.180000      7931.04       -3.24687600e-05       -1.36971000e-08  86.2906  85.6430
0202-11-10_17:42:05.266000      7933.12       -2.02104500e-04       -1.27669000e-08  86.2929  85.6384
0202-11-10_17:42:07.402000      7935.26        3.12221800e-04       -1.47507500e-08  86.3101  85.6664
0202-11-10_17:42:09.500000      7937.36       -1.93330800e-05       -1.41620000e-08  86.3284  85.6927
0202-11-10_17:42:11.574000      7939.43        2.83072000e-05       -1.25758000e-08  86.4106  85.7034
0202-11-10_17:42:13.652000      7941.51       -7.86247100e-05       -1.25505500e-08  86.3358  85.7257
0202-11-10_17:42:15.746000      7943.61       -5.13904500e-05       -1.76017500e-08  86.3495  85.7406
0202-11-10_17:42:17.836000      7945.70       -6.46006500e-04       -1.67162000e-08  86.3980  85.7624
0202-11-10_17:42:19.926000      7947.78       -4.84830100e-04       -1.34182000e-08  86.3984  85.7785
0202-11-10_17:42:22.010000      7949.87       -5.41302900e-04       -1.68890000e-08  86.5178  85.7984
0202-11-10_17:42:24.094000      7951.95       -4.08475600e-04       -1.90262000e-08  86.4528  85.8155
0202-11-10_17:42:26.195000      7954.06       -3.51115800e-04       -1.69819500e-08  86.4756  85.8313
0202-11-10_17:42:28.280000      7956.14        2.65224100e-05       -1.85624000e-08  86.4756  85.8510
0202-11-10_17:42:30.400000      7958.26        1.51691500e-05       -1.67340500e-08  86.4744  85.8728
0202-11-10_17:42:32.496000      7960.35       -3.00729600e-04       -1.23336000e-08  86.5315  85.9018
0202-11-10_17:42:34.582000      7962.44       -2.07303000e-04       -1.03530500e-08  86.6053  85.9221
0202-11-10_17:42:36.676000      7964.54       -5.74801600e-05       -1.50916000e-08  86.5370  85.9330
0202-11-10_17:42:38.766000      7966.62       -3.94822900e-04       -1.18377500e-08  86.5752  85.9577
0202-11-10_17:42:40.867000      7968.73       -3.29669100e-04       -1.83687500e-08  86.6130  85.9768
0202-11-10_17:42:42.970000      7970.83       -4.55225200e-04       -1.49677000e-08  86.6444  85.9940
0202-11-10_17:42:45.043000      7972.90       -6.43264100e-04       -1.33562500e-08  86.6141  86.0088
0202-11-10_17:42:47.120000      7974.98       -2.94049400e-04       -1.34168500e-08  86.6018  86.0346
0202-11-10_17:42:49.215000      7977.07       -5.34405800e-04       -1.56494500e-08  86.6790  86.0420
