# Tc = 0.00 K, f33-pristine_up
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-12-19_06:13:08.727000      49150.33        3.10705500e-03       -9.66857050e-09  77.5292  76.9947
0202-12-19_06:13:10.816000      49152.42        3.29798800e-03       -2.16924900e-09  77.5729  76.9859
0202-12-19_06:13:12.902000      49154.50        3.15239500e-03       -8.24314600e-09  77.5743  76.9835
0202-12-19_06:13:15.030000      49156.63        2.98721200e-03       -2.13831150e-09  77.5063  76.9864
0202-12-19_06:13:17.180000      49158.78        3.16582600e-03        4.46245350e-09  77.6030  77.0004
0202-12-19_06:13:19.266000      49160.87        3.06134400e-03        1.85935550e-09  77.5502  77.0443
0202-12-19_06:13:21.350000      49162.95        3.19261400e-03        8.05720500e-10  77.5835  77.0495
0202-12-19_06:13:23.453000      49165.05        2.88502900e-03        6.87961300e-09  77.5959  77.0691
0202-12-19_06:13:25.640000      49167.24        2.90313500e-03       -2.75807050e-09  77.5905  77.0845
0202-12-19_06:13:27.766000      49169.36        2.72704400e-03       -6.81763500e-10  77.5997  77.1023
0202-12-19_06:13:29.863000      49171.46        2.77765300e-03       -3.74969800e-09  77.6200  77.1014
0202-12-19_06:13:31.945000      49173.54        2.66048100e-03        1.09391800e-08  77.6455  77.1154
0202-12-19_06:13:34.055000      49175.65        3.01978700e-03       -1.10941465e-08  77.5879  77.1519
0202-12-19_06:13:36.184000      49177.79        2.50175500e-03       -7.71632000e-09  77.7412  77.1466
0202-12-19_06:13:38.260000      49179.86        2.89690400e-03        4.15260650e-09  77.6284  77.1438
0202-12-19_06:13:40.350000      49181.95        2.56408900e-03        5.88796000e-10  77.6730  77.1548
0202-12-19_06:13:42.438000      49184.04        2.67717900e-03        6.56972250e-09  77.6236  77.1630
0202-12-19_06:13:44.535000      49186.13        2.93942400e-03        7.65434350e-09  77.6844  77.1467
0202-12-19_06:13:46.680000      49188.28        2.94024000e-03        5.33015050e-09  77.6827  77.1679
0202-12-19_06:13:48.758000      49190.36        3.09659300e-03        3.31587950e-09  77.7243  77.2175
0202-12-19_06:13:50.836000      49192.44        3.21613900e-03       -4.33849650e-09  77.7528  77.2266
0202-12-19_06:13:52.934000      49194.53        2.95760600e-03       -8.83193950e-09  77.7170  77.2187
0202-12-19_06:13:55.120000      49196.72        2.77134800e-03        1.31394165e-08  77.7662  77.2419
0202-12-19_06:13:57.210000      49198.81        2.90239700e-03       -9.35875500e-09  77.7789  77.3155
0202-12-19_06:13:59.293000      49200.89        3.14319700e-03       -8.86292700e-09  77.8099  77.3395
0202-12-19_06:14:01.390000      49202.99        2.51303700e-03       -5.36115350e-09  77.7720  77.3388
0202-12-19_06:14:03.492000      49205.09        2.80904600e-03       -4.95827950e-09  77.7882  77.3663
0202-12-19_06:14:05.645000      49207.25        2.93861100e-03        8.55303250e-09  77.7983  77.3842
0202-12-19_06:14:07.758000      49209.36        2.83984200e-03       -3.71871200e-09  77.8189  77.3763
0202-12-19_06:14:09.844000      49211.44        2.70486000e-03       -1.33253855e-08  77.8345  77.3868
0202-12-19_06:14:11.934000      49213.53        2.86610900e-03       -1.33563680e-08  77.8602  77.4208
0202-12-19_06:14:14.098000      49215.70        2.60579200e-03        1.79737750e-09  77.9173  77.4678
0202-12-19_06:14:16.188000      49217.79        2.67465600e-03        3.87365900e-09  77.9228  77.4462
0202-12-19_06:14:18.260000      49219.86        2.87664500e-03        6.01189000e-09  77.9458  77.4394
0202-12-19_06:14:20.348000      49221.95        2.88963100e-03       -3.62574450e-09  77.9287  77.4846
0202-12-19_06:14:22.445000      49224.05        3.14193200e-03       -6.97258450e-09  77.9437  77.5008
0202-12-19_06:14:24.562000      49226.16        2.92747600e-03        9.29865000e-11  77.9487  77.5105
0202-12-19_06:14:26.688000      49228.29        3.08286400e-03        6.19786000e-10  77.9462  77.5700
0202-12-19_06:14:28.785000      49230.39        3.27921400e-03        1.95232450e-09  77.9842  77.5567
0202-12-19_06:14:30.870000      49232.47        3.28893600e-03       -4.52443550e-09  78.0236  77.5452
0202-12-19_06:14:32.973000      49234.57        3.35728100e-03       -6.35280400e-09  78.0448  77.5724
0202-12-19_06:14:35.190000      49236.79        3.22860700e-03       -5.11327900e-09  78.0275  77.6015
0202-12-19_06:14:37.280000      49238.88        2.93979600e-03        3.43980700e-09  78.0733  77.6437
0202-12-19_06:14:39.367000      49240.97        3.02350100e-03        2.63408650e-09  78.1097  77.6329
0202-12-19_06:14:41.457000      49243.06        2.89616300e-03       -8.95589300e-09  78.0635  77.6635
0202-12-19_06:14:43.625000      49245.22        2.88087700e-03       -6.32180800e-09  78.0767  77.7045
0202-12-19_06:14:45.703000      49247.30        2.63859300e-03        1.61144100e-09  78.0793  77.7280
