# Ic = 18.94 A, n = 36.37 , Tavg = 20.06 K, f28-20e19pm2-1200keV-0nA-20k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-08_16:30:19.855000      15528.98       -4.36308200e-01        6.86106950e-09  20.0338  19.8013
0202-03-08_16:30:20.260000      15529.39       -4.37192700e-01        1.53092950e-09  20.0511  19.7134
0202-03-08_16:30:20.664000      15529.79       -1.08241800e-01        4.75400950e-09  20.0511  19.7134
0202-03-08_16:30:21.060000      15530.19        8.75985800e-01        2.36575995e-08  20.0215  19.6768
0202-03-08_16:30:21.453000      15530.58        1.85953700e+00        1.90091795e-08  20.0215  19.6768
0202-03-08_16:30:21.867000      15530.99        2.66125300e+00        1.67589500e-10  20.0407  19.8135
0202-03-08_16:30:22.277000      15531.40        3.64565600e+00       -1.83405000e-11  20.0407  19.8135
0202-03-08_16:30:22.676000      15531.80        4.42061700e+00        1.15097295e-08  20.0407  19.8135
0202-03-08_16:30:23.070000      15532.20        5.42640500e+00       -8.86050500e-10  20.0469  19.6207
0202-03-08_16:30:23.477000      15532.60        6.40878400e+00       -6.83602050e-09  20.0469  19.6207
0202-03-08_16:30:23.895000      15533.02        7.18703100e+00        1.38649295e-08  20.0290  19.8038
0202-03-08_16:30:24.300000      15533.43        8.17334400e+00        2.40914495e-08  20.0290  19.8038
0202-03-08_16:30:24.703000      15533.83        9.17830800e+00        2.27898895e-08  20.0290  19.8038
0202-03-08_16:30:25.110000      15534.23        9.95885300e+00       -2.80740050e-09  20.0688  19.6686
0202-03-08_16:30:25.500000      15534.63        1.09401100e+01        1.51045095e-08  20.0688  19.6686
0202-03-08_16:30:25.900000      15535.03        1.17387100e+01        2.46080950e-09  20.0305  19.6921
0202-03-08_16:30:26.293000      15535.42        1.27254100e+01        6.61459950e-09  20.0305  19.6921
0202-03-08_16:30:26.695000      15535.82        1.37068700e+01        1.71947950e-09  20.0305  19.6921
0202-03-08_16:30:27.098000      15536.23        1.45095200e+01        5.87206950e-09  20.0491  19.8227
0202-03-08_16:30:27.492000      15536.62        1.54919700e+01        9.59080950e-09  20.0491  19.8227
0202-03-08_16:30:27.895000      15537.02        1.64741200e+01        3.88873950e-09  20.0590  19.6566
0202-03-08_16:30:28.290000      15537.42        1.72752200e+01        1.16361095e-08  20.0590  19.6566
0202-03-08_16:30:28.688000      15537.81        1.82602100e+01        7.56603495e-08  20.0590  19.6566
0202-03-08_16:30:29.094000      15538.22        1.90405200e+01        2.54283649e-07  20.0345  19.8145
0202-03-08_16:30:29.492000      15538.62        2.00472800e+01        1.70595433e-06  20.0345  19.8145
0202-03-08_16:30:29.914000      15539.04        2.10306900e+01        8.85826162e-06  20.0598  19.7019
0202-03-08_16:30:30.310000      15539.43        2.18094400e+01        3.35947970e-05  20.0598  19.7019
