# Ic = 0.23 A, n = 14.40 , Tavg = 59.97 K, f28-60e19pm2-1200keV-0nA-60k-Afteranneal80k_peak
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-10_03:18:10.120000      32627.44        4.99193700e-02       -6.52945495e-09  59.9749  59.1715
0202-03-10_03:18:10.360000      32627.67        8.62904600e-03       -2.81073395e-09  59.9656  59.1499
0202-03-10_03:18:10.566000      32627.88        1.13243200e-02       -8.69870895e-09  59.9656  59.1499
0202-03-10_03:18:10.760000      32628.08        1.44187600e-02       -2.11564259e-08  59.9656  59.1499
0202-03-10_03:18:10.970000      32628.28        1.73647800e-02       -2.05366389e-08  59.9656  59.1499
0202-03-10_03:18:11.164000      32628.48        2.05660800e-02       -2.30777949e-08  59.9656  59.1499
0202-03-10_03:18:11.387000      32628.70        2.28768900e-02       -2.32637609e-08  59.9932  59.1658
0202-03-10_03:18:11.586000      32628.90        2.61642600e-02       -1.95450799e-08  59.9932  59.1658
0202-03-10_03:18:11.780000      32629.09        2.90865400e-02       -1.71279099e-08  59.9932  59.1658
0202-03-10_03:18:11.984000      32629.30        3.18381400e-02       -1.91732069e-08  59.9932  59.1658
0202-03-10_03:18:12.180000      32629.50        3.54292300e-02       -1.88633139e-08  59.9932  59.1658
0202-03-10_03:18:12.395000      32629.71        3.81704400e-02       -1.30992949e-08  59.9825  59.1580
0202-03-10_03:18:12.590000      32629.90        4.09161000e-02       -1.56404219e-08  59.9825  59.1580
0202-03-10_03:18:12.780000      32630.10        4.40476400e-02       -1.90492499e-08  59.9825  59.1580
0202-03-10_03:18:12.990000      32630.30        4.70545100e-02       -2.77882459e-08  59.9825  59.1580
0202-03-10_03:18:13.180000      32630.50        4.97586200e-02       -2.77262679e-08  59.9825  59.1580
0202-03-10_03:18:13.390000      32630.70        5.28797700e-02       -3.02054159e-08  59.9705  59.1394
0202-03-10_03:18:13.586000      32630.90        5.55215400e-02       -2.81601189e-08  59.9705  59.1394
0202-03-10_03:18:13.800000      32631.12        5.87027100e-02       -2.78502249e-08  59.9705  59.1394
0202-03-10_03:18:13.996000      32631.31        6.22290300e-02       -2.42554609e-08  59.9705  59.1394
0202-03-10_03:18:14.203000      32631.52        6.49761700e-02       -2.46893109e-08  59.9705  59.1394
0202-03-10_03:18:14.406000      32631.72        6.76639500e-02       -2.58669069e-08  59.9802  59.1643
0202-03-10_03:18:14.617000      32631.93        7.12348000e-02       -2.66726299e-08  59.9802  59.1643
0202-03-10_03:18:14.824000      32632.14        7.39507800e-02       -2.80981399e-08  59.9802  59.1643
0202-03-10_03:18:15.035000      32632.35        7.68656300e-02       -2.99575009e-08  59.9802  59.1643
0202-03-10_03:18:15.240000      32632.55        7.97804800e-02       -3.94402419e-08  59.9802  59.1643
0202-03-10_03:18:15.445000      32632.76        8.28150200e-02       -3.68991149e-08  59.9711  59.1509
0202-03-10_03:18:15.640000      32632.95        8.58975800e-02       -3.48538179e-08  59.9711  59.1509
0202-03-10_03:18:15.832000      32633.15        8.88851600e-02       -3.34902869e-08  59.9711  59.1509
0202-03-10_03:18:16.043000      32633.36        9.17079900e-02       -3.56595409e-08  59.9711  59.1509
0202-03-10_03:18:16.240000      32633.55        9.47504800e-02       -4.06798159e-08  59.9711  59.1509
0202-03-10_03:18:16.445000      32633.76        9.77588300e-02       -3.90683689e-08  59.9672  59.1382
0202-03-10_03:18:16.637000      32633.95        1.00430300e-01       -4.17954319e-08  59.9672  59.1382
0202-03-10_03:18:16.832000      32634.14        1.03526200e-01       -3.96881559e-08  59.9672  59.1382
0202-03-10_03:18:17.047000      32634.36        1.06692500e-01       -4.22292629e-08  59.9672  59.1382
0202-03-10_03:18:17.242000      32634.55        1.09656400e-01       -3.80146319e-08  59.9672  59.1382
0202-03-10_03:18:17.450000      32634.76        1.12727100e-01       -3.57213409e-08  59.9624  59.1504
0202-03-10_03:18:17.640000      32634.96        1.15401500e-01       -3.55353839e-08  59.9624  59.1504
0202-03-10_03:18:17.836000      32635.15        1.18354900e-01       -3.86962969e-08  59.9624  59.1504
0202-03-10_03:18:18.043000      32635.36        1.21395900e-01       -4.22290819e-08  59.9624  59.1504
0202-03-10_03:18:18.240000      32635.55        1.24520000e-01       -3.92541049e-08  59.9624  59.1504
0202-03-10_03:18:18.438000      32635.75        1.27846000e-01       -3.86343179e-08  59.9934  59.1665
0202-03-10_03:18:18.633000      32635.95        1.30501300e-01       -3.33041519e-08  59.9934  59.1665
0202-03-10_03:18:18.824000      32636.14        1.33251400e-01       -3.86962969e-08  59.9934  59.1665
0202-03-10_03:18:19.020000      32636.33        1.36126200e-01       -3.98119129e-08  59.9934  59.1665
0202-03-10_03:18:19.215000      32636.53        1.39348200e-01       -4.16092949e-08  59.9934  59.1665
0202-03-10_03:18:19.420000      32636.74        1.42467900e-01       -4.05556579e-08  59.9878  59.1673
0202-03-10_03:18:19.625000      32636.94        1.45037000e-01       -4.40264639e-08  59.9878  59.1673
0202-03-10_03:18:19.820000      32637.13        1.48520200e-01       -4.74972699e-08  59.9878  59.1673
0202-03-10_03:18:20.035000      32637.35        1.51504800e-01       -4.89847579e-08  59.9878  59.1673
0202-03-10_03:18:20.240000      32637.55        1.54396900e-01       -4.23530389e-08  59.9878  59.1673
0202-03-10_03:18:20.440000      32637.76        1.57212300e-01       -3.85723399e-08  59.9835  59.1537
0202-03-10_03:18:20.633000      32637.95        1.60277000e-01       -3.40478959e-08  59.9835  59.1537
0202-03-10_03:18:20.830000      32638.14        1.63383300e-01       -3.69608939e-08  59.9835  59.1537
0202-03-10_03:18:21.043000      32638.36        1.66468900e-01       -3.94400409e-08  59.9835  59.1537
0202-03-10_03:18:21.240000      32638.55        1.69422300e-01       -4.53899949e-08  59.9835  59.1537
0202-03-10_03:18:21.450000      32638.76        1.72188700e-01       -5.14019269e-08  59.9832  59.1566
0202-03-10_03:18:21.652000      32638.97        1.75336600e-01       -5.28894149e-08  59.9832  59.1566
0202-03-10_03:18:21.850000      32639.17        1.78145900e-01       -5.05342249e-08  59.9832  59.1566
0202-03-10_03:18:22.050000      32639.37        1.80934600e-01       -4.45222929e-08  59.9832  59.1566
0202-03-10_03:18:22.270000      32639.58        1.84207100e-01       -4.17952309e-08  59.9832  59.1566
0202-03-10_03:18:22.477000      32639.79        1.86958700e-01       -4.14853379e-08  59.9761  59.1445
0202-03-10_03:18:22.680000      32639.99        1.90139200e-01       -4.86128859e-08  59.9761  59.1445
0202-03-10_03:18:22.875000      32640.19        1.92917500e-01       -4.97285019e-08  59.9761  59.1445
0202-03-10_03:18:23.086000      32640.40        1.96179700e-01       -5.33852059e-08  59.9761  59.1445
0202-03-10_03:18:23.330000      32640.64        1.98846700e-01       -4.99763499e-08  59.9761  59.1445
0202-03-10_03:18:23.523000      32640.84        2.01932000e-01       -4.98523639e-08  59.9788  59.1645
0202-03-10_03:18:23.734000      32641.05        2.04793400e-01       -4.30966879e-08  59.9788  59.1645
0202-03-10_03:18:23.930000      32641.25        2.08043700e-01       -4.47701119e-08  59.9788  59.1645
0202-03-10_03:18:24.125000      32641.44        2.11056500e-01       -3.86342239e-08  59.9788  59.1645
0202-03-10_03:18:24.336000      32641.65        2.13747200e-01       -2.94613799e-08  59.9788  59.1645
0202-03-10_03:18:24.547000      32641.86        2.16804500e-01       -1.60120079e-08  59.9761  59.1556
0202-03-10_03:18:24.760000      32642.08        2.19986500e-01       -2.43867795e-09  59.9761  59.1556
0202-03-10_03:18:24.953000      32642.27        2.23110800e-01        1.05148641e-08  59.9761  59.1556
0202-03-10_03:18:25.160000      32642.48        2.25751100e-01        3.45006111e-08  59.9761  59.1556
0202-03-10_03:18:25.360000      32642.67        2.28970200e-01        5.52634671e-08  59.9612  59.1567
0202-03-10_03:18:25.566000      32642.88        2.32027600e-01        8.02408721e-08  59.9612  59.1567
0202-03-10_03:18:25.770000      32643.09        2.34920100e-01        1.27220707e-07  59.9612  59.1567
0202-03-10_03:18:25.970000      32643.28        2.37613900e-01        1.81699960e-07  59.9612  59.1567
0202-03-10_03:18:26.195000      32643.51        2.40862600e-01        2.43864570e-07  59.9612  59.1567
0202-03-10_03:18:26.402000      32643.72        2.43440600e-01        3.32122201e-07  59.9711  59.1577
0202-03-10_03:18:26.610000      32643.92        2.46806700e-01        4.28870910e-07  59.9711  59.1577
0202-03-10_03:18:26.800000      32644.12        2.49781000e-01        5.14029608e-07  59.9711  59.1577
0202-03-10_03:18:27.010000      32644.33        2.52716600e-01        6.58935930e-07  59.9711  59.1577
0202-03-10_03:18:27.258000      32644.57        2.55785800e-01        8.49087256e-07  59.9711  59.1577
0202-03-10_03:18:27.453000      32644.77        2.58249500e-01        9.92444732e-07  59.9845  59.1555
0202-03-10_03:18:27.656000      32644.97        2.61593200e-01        1.17175012e-06  59.9845  59.1555
0202-03-10_03:18:27.860000      32645.17        2.64824200e-01        1.44730896e-06  59.9845  59.1555
0202-03-10_03:18:28.066000      32645.38        2.67654500e-01        1.78670622e-06  59.9845  59.1555
0202-03-10_03:18:28.285000      32645.60        2.70492000e-01        2.06189319e-06  59.9845  59.1555
0202-03-10_03:18:28.484000      32645.80        2.73731800e-01        2.47554134e-06  59.9659  59.1509
0202-03-10_03:18:28.680000      32645.99        2.76306800e-01        2.83923439e-06  59.9659  59.1509
0202-03-10_03:18:28.870000      32646.18        2.79690700e-01        3.25300638e-06  59.9659  59.1509
0202-03-10_03:18:29.080000      32646.39        2.82807400e-01        4.65261580e-06  59.9659  59.1509
0202-03-10_03:18:29.280000      32646.59        2.85464000e-01        4.79113891e-06  59.9659  59.1509
0202-03-10_03:18:29.492000      32646.80        2.88493100e-01        6.22979596e-06  59.9687  59.1560
0202-03-10_03:18:29.690000      32647.01        2.91448000e-01        6.32419001e-06  59.9687  59.1560
0202-03-10_03:18:29.895000      32647.21        2.94184400e-01        7.56463815e-06  59.9687  59.1560
0202-03-10_03:18:30.098000      32647.41        2.97597900e-01        8.79820660e-06  59.9687  59.1560
0202-03-10_03:18:30.336000      32647.65        3.00606300e-01        9.00230352e-06  59.9687  59.1560
