# Ic = 1.72 A, n = 19.69 , Tavg = 40.01 K, f28-6e20pm2-1200keV-0nA-40k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-12_19:12:40.050000      3950.23        1.76789600e-02       -3.78657155e-08  40.0073  39.5503
0202-03-12_19:12:40.258000      3950.44        1.43099400e-02       -4.34437755e-08  39.9991  39.5440
0202-03-12_19:12:40.450000      3950.63        2.43205200e-02       -3.86094555e-08  39.9991  39.5440
0202-03-12_19:12:40.656000      3950.83        3.35830800e-02       -4.19562955e-08  39.9991  39.5440
0202-03-12_19:12:40.848000      3951.03        4.33933000e-02       -3.63782355e-08  39.9991  39.5440
0202-03-12_19:12:41.080000      3951.25        5.38476300e-02       -3.44569055e-08  39.9991  39.5440
0202-03-12_19:12:41.273000      3951.45        6.32808800e-02       -3.61922955e-08  39.9998  39.5394
0202-03-12_19:12:41.477000      3951.65        7.37157000e-02       -3.37131655e-08  39.9998  39.5394
0202-03-12_19:12:41.676000      3951.85        8.34546800e-02       -3.34032755e-08  39.9998  39.5394
0202-03-12_19:12:41.870000      3952.05        9.30140700e-02       -3.49527355e-08  39.9998  39.5394
0202-03-12_19:12:42.100000      3952.28        1.03823100e-01       -3.19157855e-08  39.9998  39.5394
0202-03-12_19:12:42.312000      3952.49        1.12671600e-01       -2.82590655e-08  40.0024  39.5467
0202-03-12_19:12:42.508000      3952.68        1.23231300e-01       -2.94366555e-08  40.0024  39.5467
0202-03-12_19:12:42.710000      3952.89        1.33385900e-01       -3.03043455e-08  40.0024  39.5467
0202-03-12_19:12:42.910000      3953.09        1.42587400e-01       -3.27215055e-08  40.0024  39.5467
0202-03-12_19:12:43.113000      3953.29        1.52943800e-01       -3.30933755e-08  40.0096  39.5476
0202-03-12_19:12:43.316000      3953.49        1.62626300e-01       -3.59443855e-08  40.0096  39.5476
0202-03-12_19:12:43.508000      3953.69        1.72619100e-01       -3.16062455e-08  40.0096  39.5476
0202-03-12_19:12:43.703000      3953.88        1.82255700e-01       -2.82597655e-08  40.0096  39.5476
0202-03-12_19:12:43.906000      3954.08        1.92652100e-01       -3.19789355e-08  40.0096  39.5476
0202-03-12_19:12:44.117000      3954.29        2.02579600e-01       -3.18549755e-08  40.0048  39.5328
0202-03-12_19:12:44.324000      3954.50        2.12395800e-01       -3.65653355e-08  40.0048  39.5328
0202-03-12_19:12:44.516000      3954.69        2.22353100e-01       -3.62554455e-08  40.0048  39.5328
0202-03-12_19:12:44.707000      3954.89        2.31977800e-01       -3.64413755e-08  40.0048  39.5328
0202-03-12_19:12:44.902000      3955.08        2.41563900e-01       -3.47059855e-08  40.0048  39.5328
0202-03-12_19:12:45.113000      3955.29        2.52312100e-01       -3.58835755e-08  40.0048  39.5328
0202-03-12_19:12:45.320000      3955.50        2.61883400e-01       -3.88585355e-08  40.0079  39.5460
0202-03-12_19:12:45.520000      3955.70        2.72067600e-01       -4.71636355e-08  40.0079  39.5460
0202-03-12_19:12:45.710000      3955.89        2.81929800e-01       -4.22673455e-08  40.0079  39.5460
0202-03-12_19:12:45.914000      3956.09        2.91688100e-01       -4.20814155e-08  40.0079  39.5460
0202-03-12_19:12:46.125000      3956.30        3.01531000e-01       -3.26606955e-08  40.0050  39.5505
0202-03-12_19:12:46.330000      3956.50        3.11914100e-01       -3.48299355e-08  40.0050  39.5505
0202-03-12_19:12:46.520000      3956.70        3.21102400e-01       -3.34664155e-08  40.0050  39.5505
0202-03-12_19:12:46.710000      3956.89        3.30976500e-01       -3.78668855e-08  40.0050  39.5505
0202-03-12_19:12:46.914000      3957.09        3.41515400e-01       -3.40861955e-08  40.0050  39.5505
0202-03-12_19:12:47.117000      3957.29        3.51488900e-01       -2.41076755e-08  40.0130  39.5572
0202-03-12_19:12:47.330000      3957.50        3.61205600e-01       -1.90874255e-08  40.0130  39.5572
0202-03-12_19:12:47.520000      3957.70        3.71032100e-01       -2.03889755e-08  40.0130  39.5572
0202-03-12_19:12:47.710000      3957.89        3.81275700e-01       -2.83841855e-08  40.0130  39.5572
0202-03-12_19:12:47.902000      3958.08        3.90324500e-01       -3.19789355e-08  40.0130  39.5572
0202-03-12_19:12:48.110000      3958.29        4.00560700e-01       -2.93138655e-08  40.0066  39.5508
0202-03-12_19:12:48.324000      3958.50        4.10951200e-01       -3.21028955e-08  40.0066  39.5508
0202-03-12_19:12:48.523000      3958.70        4.20618900e-01       -2.80123155e-08  40.0066  39.5508
0202-03-12_19:12:48.720000      3958.89        4.30236200e-01       -2.67727455e-08  40.0066  39.5508
0202-03-12_19:12:48.920000      3959.10        4.40757300e-01       -2.41696555e-08  40.0066  39.5508
0202-03-12_19:12:49.120000      3959.30        4.50794600e-01       -2.68967055e-08  40.0083  39.5318
0202-03-12_19:12:49.332000      3959.51        4.59948200e-01       -2.65868155e-08  40.0083  39.5318
0202-03-12_19:12:49.523000      3959.70        4.70453000e-01       -2.79505255e-08  40.0083  39.5318
0202-03-12_19:12:49.715000      3959.89        4.80407200e-01       -2.59673555e-08  40.0083  39.5318
0202-03-12_19:12:49.910000      3960.09        4.89646000e-01       -2.56576055e-08  40.0083  39.5318
0202-03-12_19:12:50.113000      3960.29        4.99542300e-01       -2.80747655e-08  40.0064  39.5491
0202-03-12_19:12:50.310000      3960.49        5.10155400e-01       -2.63393755e-08  40.0064  39.5491
0202-03-12_19:12:50.504000      3960.68        5.20188300e-01       -3.42726055e-08  40.0064  39.5491
0202-03-12_19:12:50.700000      3960.88        5.28996700e-01       -3.28471055e-08  40.0064  39.5491
0202-03-12_19:12:50.890000      3961.07        5.40162700e-01       -3.41486455e-08  40.0064  39.5491
0202-03-12_19:12:51.098000      3961.28        5.49846800e-01       -3.48304055e-08  39.9966  39.5440
0202-03-12_19:12:51.297000      3961.47        5.59096000e-01       -3.43965655e-08  39.9966  39.5440
0202-03-12_19:12:51.490000      3961.67        5.69431600e-01       -3.43345855e-08  39.9966  39.5440
0202-03-12_19:12:51.695000      3961.87        5.79390200e-01       -3.65038255e-08  39.9966  39.5440
0202-03-12_19:12:51.887000      3962.06        5.88894700e-01       -3.68756955e-08  39.9966  39.5440
0202-03-12_19:12:52.098000      3962.27        5.98866700e-01       -3.42726055e-08  39.9966  39.5440
0202-03-12_19:12:52.293000      3962.47        6.09031600e-01       -2.88804855e-08  40.0020  39.5444
0202-03-12_19:12:52.496000      3962.67        6.19023400e-01       -2.39222155e-08  40.0020  39.5444
0202-03-12_19:12:52.695000      3962.87        6.28427000e-01       -2.61534355e-08  40.0020  39.5444
0202-03-12_19:12:52.887000      3963.07        6.38801200e-01       -2.84466355e-08  40.0020  39.5444
0202-03-12_19:12:53.110000      3963.29        6.48670700e-01       -2.60294755e-08  40.0020  39.5444
0202-03-12_19:12:53.316000      3963.50        6.58783700e-01       -2.36743055e-08  40.0005  39.5349
0202-03-12_19:12:53.520000      3963.70        6.68662200e-01       -2.11331855e-08  40.0005  39.5349
0202-03-12_19:12:53.723000      3963.90        6.77837200e-01       -2.20008855e-08  40.0005  39.5349
0202-03-12_19:12:53.920000      3964.10        6.88591300e-01       -2.31164955e-08  40.0005  39.5349
0202-03-12_19:12:54.125000      3964.30        6.98568400e-01       -2.51617855e-08  40.0016  39.5365
0202-03-12_19:12:54.330000      3964.51        7.07977900e-01       -3.16695155e-08  40.0016  39.5365
0202-03-12_19:12:54.523000      3964.70        7.18257100e-01       -2.86945455e-08  40.0016  39.5365
0202-03-12_19:12:54.715000      3964.89        7.28071800e-01       -2.60914555e-08  40.0016  39.5365
0202-03-12_19:12:54.918000      3965.10        7.37050900e-01       -1.93977955e-08  40.0016  39.5365
0202-03-12_19:12:55.130000      3965.31        7.48285900e-01       -2.50378255e-08  40.0107  39.5479
0202-03-12_19:12:55.336000      3965.51        7.57566300e-01       -2.37983355e-08  40.0107  39.5479
0202-03-12_19:12:55.530000      3965.71        7.67747500e-01       -1.87783855e-08  40.0107  39.5479
0202-03-12_19:12:55.723000      3965.90        7.77954800e-01       -1.43161655e-08  40.0107  39.5479
0202-03-12_19:12:55.914000      3966.09        7.87595800e-01       -1.52459955e-08  40.0107  39.5479
0202-03-12_19:12:56.125000      3966.30        7.96948900e-01       -2.18776755e-08  40.0005  39.5451
0202-03-12_19:12:56.324000      3966.50        8.07792100e-01       -2.41708755e-08  40.0005  39.5451
0202-03-12_19:12:56.516000      3966.69        8.17404900e-01       -2.55344055e-08  40.0005  39.5451
0202-03-12_19:12:56.710000      3966.89        8.26539900e-01       -1.95844755e-08  40.0005  39.5451
0202-03-12_19:12:56.906000      3967.08        8.37351900e-01       -2.21255955e-08  40.0005  39.5451
0202-03-12_19:12:57.113000      3967.29        8.47502000e-01       -2.13818555e-08  40.0085  39.5474
0202-03-12_19:12:57.312000      3967.49        8.56933100e-01       -2.93150855e-08  40.0085  39.5474
0202-03-12_19:12:57.508000      3967.68        8.67155900e-01       -2.98109055e-08  40.0085  39.5474
0202-03-12_19:12:57.700000      3967.88        8.76994300e-01       -3.03687155e-08  40.0085  39.5474
0202-03-12_19:12:57.902000      3968.08        8.86301400e-01       -2.71458355e-08  40.0085  39.5474
0202-03-12_19:12:58.098000      3968.28        8.97157900e-01       -2.17537255e-08  40.0039  39.5423
0202-03-12_19:12:58.310000      3968.48        9.07213000e-01       -2.36750555e-08  40.0039  39.5423
0202-03-12_19:12:58.508000      3968.69        9.16353900e-01       -2.78276055e-08  40.0039  39.5423
0202-03-12_19:12:58.710000      3968.89        9.26996700e-01       -3.33436755e-08  40.0039  39.5423
0202-03-12_19:12:58.906000      3969.08        9.36807700e-01       -3.16702555e-08  40.0039  39.5423
0202-03-12_19:12:59.130000      3969.30        9.46065800e-01       -2.73317755e-08  40.0095  39.5514
0202-03-12_19:12:59.320000      3969.50        9.56647800e-01       -2.65260555e-08  40.0095  39.5514
0202-03-12_19:12:59.523000      3969.70        9.66802300e-01       -2.54104455e-08  40.0095  39.5514
0202-03-12_19:12:59.720000      3969.90        9.76102000e-01       -2.39849455e-08  40.0095  39.5514
0202-03-12_19:12:59.910000      3970.09        9.86369300e-01       -2.51625355e-08  40.0095  39.5514
0202-03-12_19:13:00.117000      3970.29        9.96246300e-01       -2.63401255e-08  40.0123  39.5493
0202-03-12_19:13:00.312000      3970.49        1.00529200e+00       -3.02447555e-08  40.0123  39.5493
0202-03-12_19:13:00.504000      3970.68        1.01628500e+00       -2.89432155e-08  40.0123  39.5493
0202-03-12_19:13:00.695000      3970.87        1.02599600e+00       -3.29098255e-08  40.0123  39.5493
0202-03-12_19:13:00.902000      3971.08        1.03591700e+00       -3.52030255e-08  40.0123  39.5493
0202-03-12_19:13:01.110000      3971.29        1.04598700e+00       -4.14628455e-08  40.0036  39.5441
0202-03-12_19:13:01.316000      3971.49        1.05588500e+00       -4.18346255e-08  40.0036  39.5441
0202-03-12_19:13:01.508000      3971.69        1.06491000e+00       -3.61942355e-08  40.0036  39.5441
0202-03-12_19:13:01.703000      3971.88        1.07551200e+00       -3.40247355e-08  40.0036  39.5441
0202-03-12_19:13:01.895000      3972.07        1.08586500e+00       -3.19792755e-08  40.0036  39.5441
0202-03-12_19:13:02.110000      3972.29        1.09577400e+00       -3.25990555e-08  40.0121  39.5504
0202-03-12_19:13:02.310000      3972.48        1.10573200e+00       -2.96240955e-08  40.0121  39.5504
0202-03-12_19:13:02.510000      3972.69        1.11557700e+00       -2.94381555e-08  40.0121  39.5504
0202-03-12_19:13:02.703000      3972.88        1.12518600e+00       -3.29709255e-08  40.0121  39.5504
0202-03-12_19:13:02.895000      3973.07        1.13529000e+00       -3.41485155e-08  40.0121  39.5504
0202-03-12_19:13:03.090000      3973.27        1.14542400e+00       -3.71854555e-08  40.0029  39.5464
0202-03-12_19:13:03.300000      3973.48        1.15480300e+00       -4.17718555e-08  40.0029  39.5464
0202-03-12_19:13:03.496000      3973.67        1.16493700e+00       -4.47468155e-08  40.0029  39.5464
0202-03-12_19:13:03.688000      3973.86        1.17480000e+00       -4.51806655e-08  40.0029  39.5464
0202-03-12_19:13:03.890000      3974.07        1.18494700e+00       -4.54285855e-08  40.0029  39.5464
0202-03-12_19:13:04.094000      3974.27        1.19477500e+00       -4.58624355e-08  40.0088  39.5453
0202-03-12_19:13:04.300000      3974.48        1.20483000e+00       -5.21222455e-08  40.0088  39.5453
0202-03-12_19:13:04.504000      3974.68        1.21424000e+00       -5.53451255e-08  40.0088  39.5453
0202-03-12_19:13:04.703000      3974.88        1.22462600e+00       -5.90638255e-08  40.0088  39.5453
0202-03-12_19:13:04.900000      3975.07        1.23462000e+00       -5.42295155e-08  40.0088  39.5453
0202-03-12_19:13:05.117000      3975.29        1.24346000e+00       -5.61508455e-08  39.9985  39.5453
0202-03-12_19:13:05.312000      3975.49        1.25441200e+00       -5.30519255e-08  39.9985  39.5453
0202-03-12_19:13:05.520000      3975.70        1.26425600e+00       -5.78242555e-08  39.9985  39.5453
0202-03-12_19:13:05.710000      3975.89        1.27381000e+00       -6.36502255e-08  39.9985  39.5453
0202-03-12_19:13:05.914000      3976.09        1.28418000e+00       -6.57574955e-08  39.9985  39.5453
0202-03-12_19:13:06.120000      3976.30        1.29401400e+00       -6.23486855e-08  39.9930  39.5268
