# Ic = 8.42 A, n = 27.63 , Tavg = 19.95 K, f28-anneal3007h-20k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-14_11:13:13.254000      841.98       -4.25771000e-01        9.57544515e-08  19.9588  19.8218
0202-03-14_11:13:13.652000      842.38       -4.26165800e-01        1.00898701e-07  19.9588  19.8218
0202-03-14_11:13:14.047000      842.77       -4.26684300e-01        1.00340892e-07  19.9588  19.8218
0202-03-14_11:13:14.445000      843.17       -4.26777800e-01        8.23655315e-08  20.0019  19.6772
0202-03-14_11:13:14.850000      843.58       -4.26898000e-01        9.09784115e-08  20.0019  19.6772
0202-03-14_11:13:15.270000      843.99       -4.26720200e-01        1.35851181e-07  19.9426  19.7911
0202-03-14_11:13:15.664000      844.39       -4.26895400e-01        1.30520992e-07  19.9426  19.7911
0202-03-14_11:13:16.070000      844.79       -4.26945800e-01        1.20790292e-07  19.9426  19.7911
0202-03-14_11:13:16.473000      845.20       -4.27514500e-01        1.27546001e-07  20.0151  19.7497
0202-03-14_11:13:16.867000      845.59       -4.27005400e-01        1.14096562e-07  20.0151  19.7497
0202-03-14_11:13:17.270000      845.99       -4.27179600e-01        9.59987115e-08  19.9378  19.6947
0202-03-14_11:13:17.676000      846.40       -4.27213800e-01        7.90164715e-08  19.9378  19.6947
0202-03-14_11:13:18.066000      846.79       -4.27749500e-01        9.73002715e-08  19.9378  19.6947
0202-03-14_11:13:18.465000      847.19       -4.27623200e-01        6.99055715e-08  19.9994  19.8271
0202-03-14_11:13:18.855000      847.58       -4.27939300e-01        7.71571115e-08  19.9994  19.8271
0202-03-14_11:13:19.266000      847.99       -4.28237600e-01        7.84586615e-08  19.9588  19.6441
0202-03-14_11:13:19.676000      848.40       -4.28280700e-01        1.01019002e-07  19.9588  19.6441
0202-03-14_11:13:20.082000      848.81       -4.28506300e-01        1.08146582e-07  19.9588  19.6441
0202-03-14_11:13:20.490000      849.22       -4.28358600e-01        8.13728815e-08  19.9788  19.8388
0202-03-14_11:13:20.890000      849.62       -4.28290400e-01        1.02818412e-07  19.9788  19.8388
0202-03-14_11:13:21.290000      850.01       -4.28947800e-01        9.94095615e-08  19.9759  19.6980
0202-03-14_11:13:21.684000      850.41       -4.29304400e-01        9.42033315e-08  19.9759  19.6980
0202-03-14_11:13:22.080000      850.80       -4.33394700e-01        7.63533815e-08  19.9759  19.6980
0202-03-14_11:13:22.484000      851.21       -1.50008000e-01        7.80268215e-08  19.9837  19.7367
0202-03-14_11:13:22.887000      851.61        4.97897300e-02        6.93497615e-08  19.9837  19.7367
0202-03-14_11:13:23.290000      852.01        4.40285100e-01        1.01888722e-07  19.9600  19.7981
0202-03-14_11:13:23.695000      852.42        6.25525600e-01        1.16267851e-07  19.9600  19.7981
0202-03-14_11:13:24.098000      852.82        1.04084800e+00        1.13788692e-07  19.9600  19.7981
0202-03-14_11:13:24.508000      853.23        1.22585900e+00        9.50710415e-08  19.9944  19.6676
0202-03-14_11:13:24.902000      853.63        1.63285300e+00        1.14656391e-07  19.9944  19.6676
0202-03-14_11:13:25.320000      854.05        1.81771000e+00        1.17073572e-07  19.9519  19.8234
0202-03-14_11:13:25.715000      854.44        2.20686500e+00        9.23439615e-08  19.9519  19.8234
0202-03-14_11:13:26.105000      854.83        2.41028600e+00        8.55875815e-08  19.9519  19.8234
0202-03-14_11:13:26.508000      855.24        2.79938700e+00        8.73826115e-08  20.0097  19.7110
0202-03-14_11:13:26.914000      855.64        3.00540800e+00        8.86838315e-08  20.0097  19.7110
0202-03-14_11:13:27.332000      856.06        3.39222400e+00        9.88483815e-08  19.9414  19.7078
0202-03-14_11:13:27.727000      856.45        3.80312700e+00        1.07339501e-07  19.9414  19.7078
0202-03-14_11:13:28.130000      856.85        3.98993500e+00        1.11368132e-07  19.9414  19.7078
0202-03-14_11:13:28.535000      857.26        4.37475200e+00        1.28350362e-07  20.0015  19.8402
0202-03-14_11:13:28.938000      857.66        4.58116400e+00        1.12111871e-07  20.0015  19.8402
0202-03-14_11:13:29.344000      858.07        4.96634900e+00        8.80640415e-08  19.9542  19.6278
0202-03-14_11:13:29.746000      858.47        5.17498800e+00        1.01389522e-07  19.9542  19.6278
0202-03-14_11:13:30.140000      858.87        5.56140100e+00        1.16946232e-07  19.9542  19.6278
0202-03-14_11:13:30.535000      859.26        5.76936300e+00        1.03434821e-07  19.9887  19.8336
0202-03-14_11:13:30.930000      859.66        6.16005300e+00        1.16822272e-07  19.9887  19.8336
0202-03-14_11:13:31.336000      860.06        6.36378000e+00        1.26119121e-07  19.9729  19.7028
0202-03-14_11:13:31.740000      860.47        6.75172000e+00        1.30333682e-07  19.9729  19.7028
0202-03-14_11:13:32.145000      860.87        7.14256100e+00        1.37832472e-07  19.9729  19.7028
0202-03-14_11:13:32.543000      861.27        7.34647400e+00        1.38575202e-07  19.9820  19.7264
0202-03-14_11:13:32.934000      861.66        7.73276000e+00        1.52272552e-07  19.9820  19.7264
0202-03-14_11:13:33.332000      862.06        7.93988900e+00        1.50413181e-07  19.9626  19.7950
0202-03-14_11:13:33.723000      862.45        8.33294300e+00        2.49331542e-07  19.9626  19.7950
0202-03-14_11:13:34.117000      862.84        8.53023800e+00        4.34896451e-07  19.9626  19.7950
0202-03-14_11:13:34.508000      863.24        8.92217300e+00        9.72749571e-07  20.0061  19.6638
