# Tc = 0.00 K, f28-0e0pm2
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-08_02:17:36.380000      11001.12        2.96406900e-03        1.95251375e-06  91.6586  89.2811
0202-03-08_02:17:37.652000      11002.40        3.09482100e-03        1.95610845e-06  91.5966  89.2933
0202-03-08_02:17:38.945000      11003.69        3.36122400e-03        1.95431170e-06  91.4750  89.2172
0202-03-08_02:17:40.230000      11004.97        3.22260500e-03        1.95651195e-06  91.5900  89.2778
0202-03-08_02:17:41.496000      11006.24        3.01222900e-03        1.92784675e-06  91.5071  89.2286
0202-03-08_02:17:42.766000      11007.51        3.03211600e-03        1.91077165e-06  91.5183  89.2919
0202-03-08_02:17:44.047000      11008.79        2.94395900e-03        1.95490160e-06  91.4006  89.2052
0202-03-08_02:17:45.336000      11010.08        2.88860000e-03        1.95232865e-06  91.4912  89.2665
0202-03-08_02:17:46.617000      11011.36        3.08613900e-03        1.95263855e-06  91.3687  89.2219
0202-03-08_02:17:47.900000      11012.64        3.16776600e-03        1.95527260e-06  91.3854  89.2736
0202-03-08_02:17:49.176000      11013.92        2.56802700e-03        1.94451935e-06  91.3664  89.2445
0202-03-08_02:17:50.465000      11015.21        2.60943500e-03        1.94609950e-06  91.3517  89.2717
0202-03-08_02:17:51.740000      11016.48        2.67050700e-03        1.94885760e-06  91.3367  89.2419
0202-03-08_02:17:53.016000      11017.76        2.84333400e-03        1.91210425e-06  91.2536  89.1873
0202-03-08_02:17:54.305000      11019.05        2.75413800e-03        1.89642360e-06  91.2928  89.2532
0202-03-08_02:17:55.580000      11020.32        3.06231800e-03        1.90361840e-06  91.2844  89.2363
0202-03-08_02:17:56.870000      11021.61        3.06120500e-03        1.94594590e-06  91.2723  89.2325
0202-03-08_02:17:58.140000      11022.88        2.97468100e-03        1.93497565e-06  91.3163  89.2545
0202-03-08_02:17:59.410000      11024.15        2.99167400e-03        1.91384090e-06  91.2044  89.2105
0202-03-08_02:18:00.700000      11025.44        3.12517200e-03        1.89298510e-06  91.1664  89.1758
0202-03-08_02:18:01.984000      11026.73        3.10639700e-03        1.94414785e-06  91.0960  89.1888
0202-03-08_02:18:03.290000      11028.03        3.20984200e-03        1.89673415e-06  91.1545  89.2494
0202-03-08_02:18:04.560000      11029.30        3.25265900e-03        1.93891060e-06  91.1755  89.2253
0202-03-08_02:18:05.830000      11030.57        3.39973600e-03        1.94706080e-06  91.1500  89.2373
0202-03-08_02:18:07.117000      11031.86        3.02239500e-03        1.93807680e-06  91.1558  89.2547
0202-03-08_02:18:08.406000      11033.15        3.49153100e-03        1.85170730e-06  91.1072  89.1937
0202-03-08_02:18:09.676000      11034.42        3.02462100e-03        1.94042985e-06  91.0808  89.1662
0202-03-08_02:18:10.953000      11035.70        3.51112100e-03        1.94046085e-06  91.0766  89.2130
0202-03-08_02:18:12.305000      11037.05        3.04844200e-03        1.94027495e-06  91.0309  89.1924
0202-03-08_02:18:13.580000      11038.32        3.03085500e-03        1.93937635e-06  91.0277  89.2072
0202-03-08_02:18:14.844000      11039.59        2.80096300e-03        1.93878750e-06  91.0648  89.2492
0202-03-08_02:18:16.125000      11040.87        2.93928400e-03        1.93175290e-06  91.0100  89.1952
0202-03-08_02:18:17.395000      11042.14        2.85342700e-03        1.94117370e-06  91.0736  89.2220
0202-03-08_02:18:18.684000      11043.43        2.96013600e-03        1.93614860e-06  90.9892  89.1847
0202-03-08_02:18:19.984000      11044.73        2.72720100e-03        1.94362050e-06  90.9911  89.2286
0202-03-08_02:18:21.305000      11046.05        3.10105400e-03        1.93432375e-06  91.0164  89.2440
0202-03-08_02:18:22.598000      11047.34        2.88125400e-03        1.93599715e-06  90.9318  89.1916
0202-03-08_02:18:23.875000      11048.62        2.96629500e-03        1.89409960e-06  90.9478  89.1832
0202-03-08_02:18:25.145000      11049.89        2.98766600e-03        1.94445825e-06  90.9338  89.1545
0202-03-08_02:18:26.414000      11051.16        3.18446200e-03        1.93977885e-06  90.9277  89.1206
0202-03-08_02:18:27.684000      11052.43        2.75072400e-03        1.91631990e-06  90.8988  89.1281
0202-03-08_02:18:28.960000      11053.70        2.84526300e-03        1.93770260e-06  90.8745  89.1319
0202-03-08_02:18:30.250000      11054.99        3.01297100e-03        1.93807760e-06  90.9229  89.1620
0202-03-08_02:18:31.543000      11056.29        3.08821600e-03        1.94074044e-06  90.9018  89.1532
0202-03-08_02:18:32.810000      11057.55        2.90062200e-03        1.93568915e-06  90.8746  89.1910
0202-03-08_02:18:34.100000      11058.84        2.66753800e-03        1.93869510e-06  90.8206  89.1960
0202-03-08_02:18:35.370000      11060.12        2.89579800e-03        1.93788939e-06  90.8969  89.2104
0202-03-08_02:18:36.645000      11061.39        2.60431500e-03        1.89279842e-06  90.8630  89.1882
0202-03-08_02:18:37.918000      11062.66        2.71221100e-03        1.89859345e-06  90.8578  89.1695
0202-03-08_02:18:39.207000      11063.95        2.82129500e-03        1.94331104e-06  90.8419  89.1402
0202-03-08_02:18:40.492000      11065.24        2.89194000e-03        1.94309414e-06  90.7619  89.1239
0202-03-08_02:18:41.766000      11066.51        2.91026900e-03        1.94343482e-06  90.7745  89.1319
0202-03-08_02:18:43.035000      11067.78        2.98351100e-03        1.90352068e-06  90.7811  89.1453
0202-03-08_02:18:44.312000      11069.06        2.88170000e-03        1.93553269e-06  90.7969  89.1918
0202-03-08_02:18:45.594000      11070.34        3.41888300e-03        1.90541104e-06  90.8191  89.2070
0202-03-08_02:18:46.918000      11071.66        3.31358300e-03        1.94238130e-06  90.8102  89.1705
0202-03-08_02:18:48.188000      11072.93        2.85877000e-03        1.90277706e-06  90.7500  89.1505
0202-03-08_02:18:49.457000      11074.20        3.08057300e-03        1.91802376e-06  90.7806  89.1327
0202-03-08_02:18:50.742000      11075.49        2.94091600e-03        1.91675323e-06  90.6931  89.1066
0202-03-08_02:18:52.010000      11076.76        3.12205500e-03        1.94300115e-06  90.7289  89.1034
0202-03-08_02:18:53.285000      11078.03        3.04176300e-03        1.89790631e-06  90.7143  89.1363
0202-03-08_02:18:54.570000      11079.31        3.18223700e-03        1.94628370e-06  90.7278  89.1069
0202-03-08_02:18:55.860000      11080.60        3.29332400e-03        1.90974730e-06  90.6209  89.0992
0202-03-08_02:18:57.152000      11081.90        3.23811300e-03        1.88690820e-06  90.6448  89.0280
0202-03-08_02:18:58.434000      11083.18        3.15299700e-03        1.93986894e-06  90.6584  89.0695
0202-03-08_02:18:59.703000      11084.45        3.15366500e-03        1.92031668e-06  90.6825  89.1029
0202-03-08_02:19:00.973000      11085.71        3.23269400e-03        1.94129565e-06  90.6424  89.0230
0202-03-08_02:19:02.277000      11087.02        3.05786400e-03        1.93748397e-06  90.6494  89.0827
0202-03-08_02:19:03.562000      11088.31        3.24352800e-03        1.91548155e-06  90.6938  89.1368
0202-03-08_02:19:04.840000      11089.58        3.36077400e-03        1.92425128e-06  90.5931  89.0330
0202-03-08_02:19:06.110000      11090.85        3.33984900e-03        1.93931224e-06  90.6339  89.0611
0202-03-08_02:19:07.380000      11092.12        3.30638300e-03        1.93528362e-06  90.6328  89.0801
0202-03-08_02:19:08.668000      11093.41        3.21496000e-03        1.94340281e-06  90.6470  89.0814
0202-03-08_02:19:09.950000      11094.69        3.43802500e-03        1.89186758e-06  90.6010  89.0846
0202-03-08_02:19:11.220000      11095.96        3.08079400e-03        1.93140738e-06  90.5608  89.0509
0202-03-08_02:19:12.484000      11097.23        3.21599800e-03        1.94479594e-06  90.5618  89.0150
0202-03-08_02:19:13.766000      11098.51        2.92829900e-03        1.91653370e-06  90.5863  89.0783
0202-03-08_02:19:15.035000      11099.78        3.05964500e-03        1.93695564e-06  90.5827  89.0217
0202-03-08_02:19:16.312000      11101.06        3.42199600e-03        1.93825814e-06  90.5502  89.0075
0202-03-08_02:19:17.586000      11102.33        3.23885600e-03        1.92449855e-06  90.5638  88.9848
0202-03-08_02:19:18.870000      11103.62        3.45390700e-03        1.94024113e-06  90.5679  89.0549
0202-03-08_02:19:20.140000      11104.88        3.18372100e-03        1.93512792e-06  90.5482  89.0094
0202-03-08_02:19:21.410000      11106.15        3.16153300e-03        1.93788596e-06  90.5384  88.9738
0202-03-08_02:19:22.700000      11107.44        3.11597100e-03        1.93426274e-06  90.5198  89.0048
0202-03-08_02:19:23.977000      11108.72        3.22119500e-03        1.88787045e-06  90.4761  88.9581
0202-03-08_02:19:25.300000      11110.04        2.78352300e-03        1.94055232e-06  90.4922  89.0230
0202-03-08_02:19:26.594000      11111.34        3.21666700e-03        1.93890987e-06  90.5079  88.9914
0202-03-08_02:19:27.938000      11112.68        3.26987400e-03        1.94163705e-06  90.4462  88.9492
0202-03-08_02:19:29.220000      11113.96        3.28560600e-03        1.93698860e-06  90.4733  88.8996
0202-03-08_02:19:30.492000      11115.23        3.27187700e-03        1.91876684e-06  90.5072  89.0070
0202-03-08_02:19:31.777000      11116.52        3.17288600e-03        1.93060477e-06  90.4473  88.9207
0202-03-08_02:19:33.047000      11117.79        3.14231200e-03        1.94148203e-06  90.3656  88.9526
0202-03-08_02:19:34.332000      11119.08        3.15270100e-03        1.90504006e-06  90.4653  88.9138
0202-03-08_02:19:35.620000      11120.36        3.06498900e-03        1.93829097e-06  90.4657  88.9271
0202-03-08_02:19:36.926000      11121.67        2.90247600e-03        1.94151387e-06  90.4453  88.9195
0202-03-08_02:19:38.190000      11122.94        2.99545800e-03        1.91817889e-06  90.4471  88.9130
0202-03-08_02:19:39.460000      11124.21        2.80682400e-03        1.93631011e-06  90.4549  88.9186
