# Ic = 11.90 A, n = 19.33 , Tavg = 29.99 K, 30k-15e19pm2-03T-0nA-afterTc
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-27_08:55:15.633000      46302.69        8.96549900e-03        6.35838889e-09  29.9915  28.8032  28.9999  0.0000
0202-03-27_08:55:15.977000      46303.04        3.10758800e-01        2.09848889e-08  29.9915  28.8032  28.9999  0.0000
0202-03-27_08:55:16.330000      46303.39        6.08761500e-01        2.62529889e-08  29.9914  28.8035  28.9978  0.0000
0202-03-27_08:55:16.676000      46303.74        9.06526700e-01        4.31105889e-08  29.9914  28.8035  28.9978  0.0000
0202-03-27_08:55:17.023000      46304.09        1.20507300e+00        2.78023889e-08  29.9914  28.8035  28.9978  0.0000
0202-03-27_08:55:17.370000      46304.43        1.50367300e+00        2.55711889e-08  29.9906  28.8059  28.9985  0.0000
0202-03-27_08:55:17.720000      46304.78        1.80173300e+00        2.27822889e-08  29.9906  28.8059  28.9985  0.0000
0202-03-27_08:55:18.066000      46305.13        2.09970300e+00        2.11088889e-08  29.9906  28.8059  28.9985  0.0000
0202-03-27_08:55:18.414000      46305.48        2.39820600e+00        1.70183889e-08  29.9869  28.8046  29.0015  0.0000
0202-03-27_08:55:18.760000      46305.82        2.69656600e+00        2.01791889e-08  29.9869  28.8046  29.0015  0.0000
0202-03-27_08:55:19.117000      46306.18        2.99650000e+00        2.09229889e-08  29.9869  28.8046  29.0015  0.0000
0202-03-27_08:55:19.465000      46306.53        3.29329100e+00        3.61691889e-08  29.9888  28.8063  29.0024  0.0000
0202-03-27_08:55:19.812000      46306.87        3.59110400e+00        3.22026889e-08  29.9888  28.8063  29.0024  0.0000
0202-03-27_08:55:20.160000      46307.22        3.88946300e+00        3.64171889e-08  29.9888  28.8063  29.0024  0.0000
0202-03-27_08:55:20.508000      46307.57        4.18743600e+00        3.63574889e-08  29.9911  28.8067  29.0025  0.0000
0202-03-27_08:55:20.863000      46307.93        4.48527300e+00        3.15255889e-08  29.9911  28.8067  29.0025  0.0000
0202-03-27_08:55:21.227000      46308.29        4.78354100e+00        4.30532889e-08  29.9911  28.8067  29.0025  0.0000
0202-03-27_08:55:21.605000      46308.67        5.08210900e+00        4.08840889e-08  29.9909  28.8061  29.0025  0.0000
0202-03-27_08:55:21.953000      46309.02        5.37980500e+00        2.87366889e-08  29.9909  28.8061  29.0025  0.0000
0202-03-27_08:55:22.312000      46309.38        5.67781600e+00        1.92541889e-08  29.9909  28.8061  29.0025  0.0000
0202-03-27_08:55:22.660000      46309.72        5.97639900e+00        3.53681889e-08  29.9914  28.8080  29.0001  0.0000
0202-03-27_08:55:23.008000      46310.07        6.27398600e+00        3.17735889e-08  29.9914  28.8080  29.0001  0.0000
0202-03-27_08:55:23.363000      46310.43        6.57259800e+00        4.18137889e-08  29.9889  28.8064  28.9993  0.0000
0202-03-27_08:55:23.723000      46310.79        6.87017500e+00        3.25172889e-08  29.9889  28.8064  28.9993  0.0000
0202-03-27_08:55:24.082000      46311.15        7.16822800e+00        3.33229889e-08  29.9889  28.8064  28.9993  0.0000
0202-03-27_08:55:24.430000      46311.49        7.46691800e+00        4.19996889e-08  29.9855  28.8079  29.0016  0.0000
0202-03-27_08:55:24.777000      46311.84        7.76466200e+00        3.91487889e-08  29.9855  28.8079  29.0016  0.0000
0202-03-27_08:55:25.125000      46312.19        8.06291700e+00        3.36328889e-08  29.9855  28.8079  29.0016  0.0000
0202-03-27_08:55:25.473000      46312.54        8.36084200e+00        3.30130889e-08  29.9916  28.8073  29.0050  0.0000
0202-03-27_08:55:25.832000      46312.89        8.65900100e+00        2.75590889e-08  29.9916  28.8073  29.0050  0.0000
0202-03-27_08:55:26.195000      46313.26        8.95710000e+00        3.36309889e-08  29.9916  28.8073  29.0050  0.0000
0202-03-27_08:55:26.580000      46313.64        9.25562600e+00        3.81487889e-08  29.9948  28.8073  29.0053  0.0000
0202-03-27_08:55:26.926000      46313.99        9.55359500e+00        3.42432889e-08  29.9948  28.8073  29.0053  0.0000
0202-03-27_08:55:27.293000      46314.36        9.85111100e+00        3.62265889e-08  29.9948  28.8073  29.0053  0.0000
0202-03-27_08:55:27.664000      46314.73        1.01498500e+01        4.68865889e-08  29.9923  28.8092  29.0039  0.0000
0202-03-27_08:55:28.023000      46315.08        1.04477400e+01        6.27526889e-08  29.9923  28.8092  29.0039  0.0000
0202-03-27_08:55:28.370000      46315.43        1.07459400e+01        8.20274889e-08  29.9894  28.8075  28.9997  0.0000
0202-03-27_08:55:28.720000      46315.78        1.10440300e+01        9.47946889e-08  29.9894  28.8075  28.9997  0.0000
0202-03-27_08:55:29.066000      46316.13        1.13420600e+01        1.32786489e-07  29.9894  28.8075  28.9997  0.0000
0202-03-27_08:55:29.414000      46316.48        1.16399200e+01        1.88813489e-07  29.9893  28.8089  29.0006  0.0000
