# Ic =  nan A, n =  nan , Tavg = 22.33 K, ffj51-15e19pm2-03T-anneal300k-720min-22k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-28_22:34:27.020000      15610.88        9.85560000e-03        1.59407143e-10  22.3147  19.1895  19.3921  0.0000
0202-03-28_22:34:27.375000      15611.23        3.11758100e-01       -5.72829286e-09  22.3147  19.1895  19.3921  0.0000
0202-03-28_22:34:27.758000      15611.62        6.09546300e-01        3.56800714e-09  22.3068  19.1767  19.3580  0.0000
0202-03-28_22:34:28.160000      15612.02        9.08470800e-01        6.38083071e-08  22.3068  19.1767  19.3580  0.0000
0202-03-28_22:34:28.566000      15612.43        1.20665400e+00       -9.56192857e-10  22.3068  19.1767  19.3580  0.0000
0202-03-28_22:34:28.950000      15612.81        1.50423700e+00       -3.01466929e-08  22.3143  19.1915  19.3820  0.0000
0202-03-28_22:34:29.324000      15613.18        1.80321200e+00       -1.31653929e-08  22.3143  19.1915  19.3820  0.0000
0202-03-28_22:34:29.688000      15613.55        2.10144100e+00       -1.98587929e-08  22.3151  19.1802  19.3812  0.0000
0202-03-28_22:34:30.050000      15613.91        2.39937200e+00       -1.94248929e-08  22.3151  19.1802  19.3812  0.0000
0202-03-28_22:34:30.402000      15614.26        2.69752300e+00       -9.94149286e-09  22.3151  19.1802  19.3812  0.0000
0202-03-28_22:34:30.790000      15614.65        2.99589600e+00       -1.70027929e-08  22.3032  19.1831  19.3573  0.0000
0202-03-28_22:34:31.190000      15615.05        3.29436400e+00       -1.17342929e-08  22.3032  19.1831  19.3573  0.0000
0202-03-28_22:34:31.633000      15615.49        3.59205100e+00       -1.06806929e-08  22.3032  19.1831  19.3573  0.0000
0202-03-28_22:34:31.996000      15615.85        3.89082500e+00       -9.44119286e-09  22.3172  19.1885  19.3906  0.0000
0202-03-28_22:34:32.395000      15616.25        4.18875700e+00       -2.00409286e-09  22.3172  19.1885  19.3906  0.0000
0202-03-28_22:34:32.800000      15616.66        4.48627300e+00       -2.93379286e-09  22.3010  19.1752  19.3476  0.0000
0202-03-28_22:34:33.180000      15617.04        4.78484100e+00       -4.91699286e-09  22.3010  19.1752  19.3476  0.0000
0202-03-28_22:34:33.586000      15617.45        5.08290100e+00       -2.80979286e-09  22.3010  19.1752  19.3476  0.0000
0202-03-28_22:34:33.990000      15617.85        5.38145200e+00        9.58530714e-09  22.3043  19.1897  19.3741  0.0000
0202-03-28_22:34:34.395000      15618.25        5.67947700e+00        3.01590714e-09  22.3043  19.1897  19.3741  0.0000
0202-03-28_22:34:34.824000      15618.68        5.97771500e+00       -1.44629286e-09  22.3132  19.1789  19.3753  0.0000
0202-03-28_22:34:35.200000      15619.06        6.27586800e+00        5.55690714e-09  22.3132  19.1789  19.3753  0.0000
0202-03-28_22:34:35.613000      15619.47        6.57332800e+00        6.92040714e-09  22.3132  19.1789  19.3753  0.0000
0202-03-28_22:34:35.960000      15619.82        6.87137000e+00       -2.87179286e-09  22.2959  19.1818  19.3550  0.0000
0202-03-28_22:34:36.355000      15620.21        7.16975400e+00       -9.31779286e-09  22.2959  19.1818  19.3550  0.0000
0202-03-28_22:34:36.740000      15620.60        7.46836500e+00       -2.22928571e-11  22.3122  19.1870  19.3914  0.0000
0202-03-28_22:34:37.105000      15620.97        7.76644000e+00        2.70460714e-09  22.3122  19.1870  19.3914  0.0000
