# Ic = 12.82 A, n = 23.32 , Tavg = 22.07 K, ffj51-30p3e19pm2-anneal300k-60min-22k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-31_10:20:32.020000      45106.08        7.29693700e-03       -5.55382333e-09  22.0389  18.9434  19.1110  0.0000
0202-03-31_10:20:32.426000      45106.48        3.10231900e-01        1.73776567e-08  22.0389  18.9434  19.1110  0.0000
0202-03-31_10:20:32.785000      45106.84        6.08057900e-01        3.64665567e-08  22.0590  18.9525  19.1529  0.0000
0202-03-31_10:20:33.133000      45107.19        9.05970300e-01        3.73962167e-08  22.0590  18.9525  19.1529  0.0000
0202-03-31_10:20:33.480000      45107.54        1.20381100e+00        1.07461167e-08  22.0447  18.9384  19.1128  0.0000
0202-03-31_10:20:33.840000      45107.90        1.50170400e+00        3.55678667e-09  22.0447  18.9384  19.1128  0.0000
0202-03-31_10:20:34.188000      45108.24        1.80038100e+00        2.08146667e-10  22.0447  18.9384  19.1128  0.0000
0202-03-31_10:20:34.535000      45108.59        2.09847900e+00       -4.13589333e-09  22.0473  18.9526  19.1323  0.0000
0202-03-31_10:20:34.883000      45108.94        2.39655000e+00        3.85726667e-09  22.0473  18.9526  19.1323  0.0000
0202-03-31_10:20:35.230000      45109.29        2.69453100e+00        1.35876567e-08  22.0473  18.9526  19.1323  0.0000
0202-03-31_10:20:35.590000      45109.65        2.99283700e+00        9.68310667e-09  22.0597  18.9437  19.1421  0.0000
0202-03-31_10:20:35.938000      45110.00        3.29122400e+00        4.72494667e-09  22.0597  18.9437  19.1421  0.0000
0202-03-31_10:20:36.285000      45110.34        3.58905300e+00        5.65459667e-09  22.0597  18.9437  19.1421  0.0000
0202-03-31_10:20:36.637000      45110.69        3.88733700e+00        1.30298667e-08  22.0526  18.9536  19.1372  0.0000
0202-03-31_10:20:36.980000      45111.04        4.18630600e+00        2.01572267e-08  22.0526  18.9536  19.1372  0.0000
0202-03-31_10:20:37.360000      45111.41        4.48324000e+00        2.04051267e-08  22.0526  18.9536  19.1372  0.0000
0202-03-31_10:20:37.760000      45111.82        4.78236200e+00        7.57588667e-09  22.0596  18.9527  19.1529  0.0000
0202-03-31_10:20:38.120000      45112.18        5.08051400e+00        1.62608667e-09  22.0596  18.9527  19.1529  0.0000
0202-03-31_10:20:38.473000      45112.53        5.37824600e+00        8.93937667e-09  22.0448  18.9381  19.1128  0.0000
0202-03-31_10:20:38.830000      45112.89        5.67683000e+00        7.82379667e-09  22.0448  18.9381  19.1128  0.0000
0202-03-31_10:20:39.176000      45113.23        5.97406100e+00        2.03431567e-08  22.0448  18.9381  19.1128  0.0000
0202-03-31_10:20:39.527000      45113.58        6.27265400e+00        1.40834767e-08  22.0479  18.9526  19.1295  0.0000
0202-03-31_10:20:39.875000      45113.93        6.57089800e+00        3.42342667e-09  22.0479  18.9526  19.1295  0.0000
0202-03-31_10:20:40.223000      45114.28        6.86890700e+00        5.34077667e-09  22.0479  18.9526  19.1295  0.0000
0202-03-31_10:20:40.582000      45114.64        7.16671900e+00        1.48193267e-08  22.0579  18.9435  19.1401  0.0000
0202-03-31_10:20:40.926000      45114.98        7.46449800e+00        6.82428667e-09  22.0579  18.9435  19.1401  0.0000
0202-03-31_10:20:41.277000      45115.33        7.76333000e+00        3.78740667e-09  22.0579  18.9435  19.1401  0.0000
0202-03-31_10:20:41.625000      45115.68        8.06149200e+00        9.36534667e-09  22.0514  18.9528  19.1397  0.0000
0202-03-31_10:20:41.973000      45116.03        8.35925300e+00        9.55127667e-09  22.0514  18.9528  19.1397  0.0000
0202-03-31_10:20:42.387000      45116.44        8.65655700e+00       -5.51733333e-11  22.0514  18.9528  19.1397  0.0000
0202-03-31_10:20:42.770000      45116.83        8.95461700e+00       -1.10878333e-09  22.0617  18.9516  19.1537  0.0000
0202-03-31_10:20:43.117000      45117.18        9.25304500e+00        5.21287667e-09  22.0617  18.9516  19.1537  0.0000
0202-03-31_10:20:43.470000      45117.52        9.55120800e+00        3.78666667e-10  22.0480  18.9373  19.1138  0.0000
0202-03-31_10:20:43.824000      45117.88        9.85006500e+00        7.50526667e-10  22.0480  18.9373  19.1138  0.0000
0202-03-31_10:20:44.170000      45118.23        1.01472400e+01        1.15345467e-08  22.0480  18.9373  19.1138  0.0000
0202-03-31_10:20:44.520000      45118.58        1.04447800e+01        6.39044667e-09  22.0495  18.9518  19.1317  0.0000
0202-03-31_10:20:44.867000      45118.93        1.07438600e+01        5.08892667e-09  22.0495  18.9518  19.1317  0.0000
0202-03-31_10:20:45.220000      45119.28        1.10413800e+01        7.69196667e-09  22.0495  18.9518  19.1317  0.0000
0202-03-31_10:20:45.580000      45119.63        1.13401700e+01        1.71744567e-08  22.0595  18.9421  19.1355  0.0000
0202-03-31_10:20:45.920000      45119.98        1.16374300e+01        3.23579167e-08  22.0595  18.9421  19.1355  0.0000
0202-03-31_10:20:46.270000      45120.33        1.19362100e+01        4.54323067e-08  22.0595  18.9421  19.1355  0.0000
0202-03-31_10:20:46.620000      45120.68        1.22330500e+01        7.98906567e-08  22.0537  18.9520  19.1351  0.0000
0202-03-31_10:20:46.970000      45121.02        1.25324200e+01        1.36289837e-07  22.0537  18.9520  19.1351  0.0000
0202-03-31_10:20:47.344000      45121.40        1.28300100e+01        2.25784807e-07  22.0537  18.9520  19.1351  0.0000
0202-03-31_10:20:47.723000      45121.78        1.31282700e+01        3.75273617e-07  22.0627  18.9503  19.1499  0.0000
0202-03-31_10:20:48.070000      45122.13        1.34257800e+01        5.99444867e-07  22.0627  18.9503  19.1499  0.0000
0202-03-31_10:20:48.426000      45122.48        1.37238200e+01        9.52652487e-07  22.0484  18.9369  19.1109  0.0000
0202-03-31_10:20:48.777000      45122.84        1.40224300e+01        1.43904894e-06  22.0484  18.9369  19.1109  0.0000
0202-03-31_10:20:49.125000      45123.18        1.43202900e+01        2.93678806e-06  22.0484  18.9369  19.1109  0.0000
0202-03-31_10:20:49.492000      45123.55        1.46181500e+01        4.48280736e-06  22.0581  18.9525  19.1375  0.0000
0202-03-31_10:20:49.848000      45123.91        1.49166400e+01        6.94986866e-06  22.0581  18.9525  19.1375  0.0000
0202-03-31_10:20:50.195000      45124.25        1.52151600e+01        1.08195472e-05  22.0581  18.9525  19.1375  0.0000
0202-03-31_10:20:50.560000      45124.62        1.55133600e+01        1.65706868e-05  22.0661  18.9428  19.1393  0.0000
0202-03-31_10:20:50.906000      45124.96        1.58106900e+01        2.67285497e-05  22.0661  18.9428  19.1393  0.0000
