# Ic = 6.15 A, n = 20.01 , Tavg = 21.99 K, ffj51-45e19pm2-0nA-03T-22k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-04-02_05:10:16.570000      69935.70        8.18001300e-03        1.02935583e-08  21.9798  19.1057  19.2968  0.0000
0202-04-02_05:10:16.920000      69936.05        2.10846000e-01        1.10372583e-08  21.9798  19.1057  19.2968  0.0000
0202-04-02_05:10:17.273000      69936.40        4.09464200e-01        1.59335583e-08  21.9798  19.1057  19.2968  0.0000
0202-04-02_05:10:17.620000      69936.75        6.08599400e-01        2.95687583e-08  21.9707  19.0921  19.2680  0.0000
0202-04-02_05:10:17.970000      69937.10        8.06948900e-01        1.86605583e-08  21.9707  19.0921  19.2680  0.0000
0202-04-02_05:10:18.363000      69937.49        1.00570100e+00        3.35353583e-08  21.9707  19.0921  19.2680  0.0000
0202-04-02_05:10:18.740000      69937.86        1.20456100e+00        2.27511583e-08  21.9815  19.1079  19.2903  0.0000
0202-04-02_05:10:19.086000      69938.21        1.40291200e+00        3.24197583e-08  21.9815  19.1079  19.2903  0.0000
0202-04-02_05:10:19.438000      69938.56        1.60158200e+00        3.48988583e-08  21.9815  19.1079  19.2903  0.0000
0202-04-02_05:10:19.790000      69938.91        1.80062000e+00        3.99190583e-08  21.9973  19.0986  19.2971  0.0000
0202-04-02_05:10:20.137000      69939.26        1.99966900e+00        3.70077583e-08  21.9973  19.0986  19.2971  0.0000
0202-04-02_05:10:20.492000      69939.62        2.19788400e+00        2.92621583e-08  21.9793  19.0996  19.2691  0.0000
0202-04-02_05:10:20.840000      69939.97        2.39687000e+00        3.09975583e-08  21.9793  19.0996  19.2691  0.0000
0202-04-02_05:10:21.188000      69940.31        2.59565000e+00        4.02942583e-08  21.9793  19.0996  19.2691  0.0000
0202-04-02_05:10:21.535000      69940.66        2.79426400e+00        4.69259583e-08  21.9886  19.1064  19.3062  0.0000
0202-04-02_05:10:21.883000      69941.01        2.99333700e+00        4.47567583e-08  21.9886  19.1064  19.3062  0.0000
0202-04-02_05:10:22.242000      69941.37        3.19187300e+00        3.89307583e-08  21.9886  19.1064  19.3062  0.0000
0202-04-02_05:10:22.590000      69941.72        3.39093400e+00        4.28973583e-08  21.9686  19.0917  19.2573  0.0000
0202-04-02_05:10:22.938000      69942.06        3.58953700e+00        3.47782583e-08  21.9686  19.0917  19.2573  0.0000
0202-04-02_05:10:23.285000      69942.41        3.78822300e+00        3.72573583e-08  21.9686  19.0917  19.2573  0.0000
0202-04-02_05:10:23.633000      69942.76        3.98670400e+00        3.82490583e-08  21.9736  19.1071  19.2836  0.0000
0202-04-02_05:10:23.980000      69943.11        4.18550500e+00        4.23395583e-08  21.9736  19.1071  19.2836  0.0000
0202-04-02_05:10:24.410000      69943.54        4.38371000e+00        3.54599583e-08  21.9736  19.1071  19.2836  0.0000
0202-04-02_05:10:24.773000      69943.90        4.58274800e+00        4.43848583e-08  21.9902  19.0963  19.2910  0.0000
0202-04-02_05:10:25.130000      69944.26        4.78141400e+00        4.30213583e-08  21.9902  19.0963  19.2910  0.0000
0202-04-02_05:10:25.492000      69944.62        4.98064500e+00        3.99224583e-08  21.9713  19.0982  19.2685  0.0000
0202-04-02_05:10:25.840000      69944.96        5.17908400e+00        4.56246583e-08  21.9713  19.0982  19.2685  0.0000
0202-04-02_05:10:26.188000      69945.31        5.37793400e+00        5.59758583e-08  21.9713  19.0982  19.2685  0.0000
0202-04-02_05:10:26.535000      69945.66        5.57642600e+00        7.81643583e-08  21.9921  19.1053  19.3051  0.0000
0202-04-02_05:10:26.883000      69946.01        5.77546700e+00        1.04381158e-07  21.9921  19.1053  19.3051  0.0000
0202-04-02_05:10:27.240000      69946.37        5.97391000e+00        1.56938558e-07  21.9921  19.1053  19.3051  0.0000
0202-04-02_05:10:27.590000      69946.71        6.17226100e+00        2.81700658e-07  21.9794  19.0910  19.2702  0.0000
0202-04-02_05:10:27.938000      69947.06        6.37148300e+00        4.72593358e-07  21.9794  19.0910  19.2702  0.0000
0202-04-02_05:10:28.285000      69947.41        6.56968300e+00        8.17253858e-07  21.9794  19.0910  19.2702  0.0000
0202-04-02_05:10:28.630000      69947.76        6.76868500e+00        1.32733416e-06  21.9698  19.1061  19.2808  0.0000
0202-04-02_05:10:28.977000      69948.10        6.96743000e+00        2.70281536e-06  21.9698  19.1061  19.2808  0.0000
0202-04-02_05:10:29.336000      69948.46        7.16656300e+00        4.77592278e-06  21.9698  19.1061  19.2808  0.0000
0202-04-02_05:10:29.758000      69948.88        7.36380700e+00        7.81415404e-06  21.9879  19.0956  19.2980  0.0000
0202-04-02_05:10:30.105000      69949.23        7.56382500e+00        1.24940627e-05  21.9879  19.0956  19.2980  0.0000
0202-04-02_05:10:30.457000      69949.58        7.76250400e+00        2.00051063e-05  21.9879  19.0956  19.2980  0.0000
