# Ic = 0.10 A, n = 6.69 , Tavg = 69.97 K, 45e19pm2-anneal300-720min-0nA-03T-70k-
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-04-03_15:36:37.992000      193917.12        8.73623500e-03       -1.05982750e-08  69.9710  68.7661  69.2858  0.0000
0202-04-03_15:36:38.406000      193917.53        1.59167000e-02       -9.85457500e-09  69.9710  68.7661  69.2858  0.0000
0202-04-03_15:36:38.758000      193917.88        1.88479600e-02       -1.84075750e-08  69.9621  68.7678  69.2935  0.0000
0202-04-03_15:36:39.105000      193918.23        2.18523900e-02       -1.87174750e-08  69.9621  68.7678  69.2935  0.0000
0202-04-03_15:36:39.473000      193918.60        2.49320600e-02       -1.04742750e-08  69.9309  68.7689  69.2591  0.0000
0202-04-03_15:36:39.830000      193918.95        2.83499900e-02       -5.20617500e-09  69.9309  68.7689  69.2591  0.0000
0202-04-03_15:36:40.190000      193919.32        3.08701300e-02       -1.30773750e-08  69.9309  68.7689  69.2591  0.0000
0202-04-03_15:36:40.540000      193919.66        3.39631600e-02       -2.02668750e-08  69.9094  68.7678  69.2804  0.0000
0202-04-03_15:36:40.887000      193920.01        3.67889000e-02       -2.20642750e-08  69.9094  68.7678  69.2804  0.0000
0202-04-03_15:36:41.234000      193920.36        3.98893600e-02       -2.54730750e-08  69.9094  68.7678  69.2804  0.0000
0202-04-03_15:36:41.582000      193920.71        4.29601300e-02       -1.99571750e-08  69.9605  68.7676  69.3167  0.0000
0202-04-03_15:36:41.940000      193921.07        4.56972700e-02       -1.63626750e-08  69.9605  68.7676  69.3167  0.0000
0202-04-03_15:36:42.290000      193921.42        4.87858500e-02       -2.18167750e-08  69.9605  68.7676  69.3167  0.0000
0202-04-03_15:36:42.640000      193921.76        5.18521100e-02       -2.77046750e-08  69.9677  68.7683  69.2842  0.0000
0202-04-03_15:36:42.990000      193922.11        5.48590600e-02       -2.36760750e-08  69.9677  68.7683  69.2842  0.0000
0202-04-03_15:36:43.387000      193922.51        5.76240900e-02       -2.70848750e-08  69.9677  68.7683  69.2842  0.0000
0202-04-03_15:36:43.754000      193922.88        6.06600000e-02       -3.58238750e-08  69.9725  68.7669  69.3198  0.0000
0202-04-03_15:36:44.113000      193923.24        6.37129600e-02       -3.30347750e-08  69.9725  68.7669  69.3198  0.0000
0202-04-03_15:36:44.473000      193923.60        6.68342000e-02       -1.64865750e-08  69.9425  68.7683  69.2688  0.0000
0202-04-03_15:36:44.820000      193923.95        6.95102000e-02       -1.54329750e-08  69.9425  68.7683  69.2688  0.0000
0202-04-03_15:36:45.180000      193924.30        7.26492500e-02       -1.73542750e-08  69.9425  68.7683  69.2688  0.0000
0202-04-03_15:36:45.527000      193924.65        7.56698500e-02       -2.00193750e-08  69.9504  68.7695  69.2931  0.0000
0202-04-03_15:36:45.875000      193925.00        7.83295100e-02       -1.73542750e-08  69.9504  68.7695  69.2931  0.0000
0202-04-03_15:36:46.223000      193925.35        8.13780200e-02       -1.11564750e-08  69.9504  68.7695  69.2931  0.0000
0202-04-03_15:36:46.570000      193925.70        8.45144000e-02        1.67302500e-09  69.9199  68.7685  69.2762  0.0000
0202-04-03_15:36:46.930000      193926.06        8.74872200e-02        1.38827250e-08  69.9199  68.7685  69.2762  0.0000
0202-04-03_15:36:47.277000      193926.40        9.06277500e-02        3.18568250e-08  69.9199  68.7685  69.2762  0.0000
0202-04-03_15:36:47.625000      193926.75        9.35095200e-02        4.66089250e-08  69.9728  68.7705  69.2815  0.0000
0202-04-03_15:36:47.973000      193927.10        9.66708300e-02        7.47475250e-08  69.9728  68.7705  69.2815  0.0000
0202-04-03_15:36:48.332000      193927.46        9.96292000e-02        1.13112025e-07  69.9728  68.7705  69.2815  0.0000
0202-04-03_15:36:48.730000      193927.86        1.02839500e-01        1.68148725e-07  69.9477  68.7706  69.3009  0.0000
0202-04-03_15:36:49.080000      193928.21        1.05800400e-01        2.22193725e-07  69.9477  68.7706  69.3009  0.0000
0202-04-03_15:36:49.438000      193928.56        1.08606200e-01        2.87952725e-07  69.9773  68.7686  69.3262  0.0000
0202-04-03_15:36:49.790000      193928.92        1.11430600e-01        3.62140625e-07  69.9773  68.7686  69.3262  0.0000
