# Ic =  nan A, n =  nan , Tavg = 22.02 K, ffj51-30p3e10pm2-03T-22k-30nA
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-29_02:38:11.824000      2769.59        7.35199900e-03        4.80547059e-09  22.0053  19.4043  19.5851  0.0000
0202-03-29_02:38:12.190000      2769.96        3.09524100e-01        1.05691706e-08  22.0053  19.4043  19.5851  0.0000
0202-03-29_02:38:12.586000      2770.35        6.07432900e-01        1.01973706e-08  22.0053  19.4043  19.5851  0.0000
0202-03-29_02:38:12.938000      2770.71        9.05600000e-01        1.20566706e-08  22.0170  19.4002  19.6029  0.0000
0202-03-29_02:38:13.293000      2771.06        1.20376700e+00       -3.56028294e-08  22.0170  19.4002  19.6029  0.0000
0202-03-29_02:38:13.656000      2771.42        1.50178000e+00       -3.41773294e-08  21.9989  19.3963  19.5689  0.0000
0202-03-29_02:38:14.020000      2771.79        1.79982400e+00        8.64797059e-09  21.9989  19.3963  19.5689  0.0000
0202-03-29_02:38:14.380000      2772.15        2.09769300e+00        1.79443706e-08  21.9989  19.3963  19.5689  0.0000
0202-03-29_02:38:14.754000      2772.52        2.39618500e+00        1.73245706e-08  22.0127  19.4084  19.5999  0.0000
0202-03-29_02:38:15.113000      2772.88        2.69427400e+00        9.57757059e-09  22.0127  19.4084  19.5999  0.0000
0202-03-29_02:38:15.473000      2773.24        2.99251500e+00        1.20566706e-08  22.0127  19.4084  19.5999  0.0000
0202-03-29_02:38:15.832000      2773.60        3.29063000e+00        1.92458706e-08  22.0115  19.3947  19.5856  0.0000
0202-03-29_02:38:16.180000      2773.95        3.58887000e+00        1.72006706e-08  22.0115  19.3947  19.5856  0.0000
0202-03-29_02:38:16.598000      2774.36        3.88681700e+00        2.76745706e-08  22.0115  19.3947  19.5856  0.0000
0202-03-29_02:38:16.957000      2774.72        4.18500800e+00        2.66209706e-08  22.0047  19.4059  19.5844  0.0000
0202-03-29_02:38:17.312000      2775.08        4.48343600e+00        3.31889706e-08  22.0047  19.4059  19.5844  0.0000
0202-03-29_02:38:17.670000      2775.44        4.78185900e+00        1.58942706e-08  22.0222  19.4022  19.6086  0.0000
0202-03-29_02:38:18.035000      2775.80        5.07976500e+00        2.08522706e-08  22.0222  19.4022  19.6086  0.0000
0202-03-29_02:38:18.390000      2776.16        5.37779300e+00        1.66379706e-08  22.0222  19.4022  19.6086  0.0000
0202-03-29_02:38:18.754000      2776.52        5.67590800e+00        3.61603706e-08  22.0029  19.3977  19.5759  0.0000
0202-03-29_02:38:19.113000      2776.88        5.97394500e+00        3.77097706e-08  22.0029  19.3977  19.5759  0.0000
0202-03-29_02:38:19.477000      2777.25        6.27216400e+00        2.58103706e-08  22.0029  19.3977  19.5759  0.0000
0202-03-29_02:38:19.848000      2777.62        6.57056700e+00        2.74836706e-08  22.0139  19.4083  19.6052  0.0000
0202-03-29_02:38:20.215000      2777.98        6.86845700e+00        4.02507706e-08  22.0139  19.4083  19.6052  0.0000
0202-03-29_02:38:20.605000      2778.37        7.16665300e+00        4.88034706e-08  22.0139  19.4083  19.6052  0.0000
0202-03-29_02:38:20.965000      2778.73        7.46455400e+00        4.54567706e-08  22.0096  19.3937  19.5825  0.0000
0202-03-29_02:38:21.312000      2779.08        7.76258100e+00        4.79357706e-08  22.0096  19.3937  19.5825  0.0000
0202-03-29_02:38:21.670000      2779.44        8.06086800e+00        6.00210706e-08  22.0060  19.4045  19.5855  0.0000
0202-03-29_02:38:22.020000      2779.79        8.35910800e+00        1.00739271e-07  22.0060  19.4045  19.5855  0.0000
0202-03-29_02:38:22.367000      2780.13        8.65695400e+00        1.87443471e-07  22.0060  19.4045  19.5855  0.0000
0202-03-29_02:38:22.715000      2780.48        8.95544700e+00        3.42755101e-07  22.0192  19.4003  19.6049  0.0000
0202-03-29_02:38:23.062000      2780.83        9.25291900e+00        6.41293951e-07  22.0192  19.4003  19.6049  0.0000
0202-03-29_02:38:23.414000      2781.18        9.55134700e+00        1.16053074e-06  22.0192  19.4003  19.6049  0.0000
0202-03-29_02:38:23.760000      2781.53        9.84991100e+00        2.61795608e-06  22.0023  19.3953  19.5685  0.0000
0202-03-29_02:38:24.113000      2781.88        1.01476400e+01        4.55972182e-06  22.0023  19.3953  19.5685  0.0000
0202-03-29_02:38:24.460000      2782.23        1.04463500e+01        7.91844169e-06  22.0023  19.3953  19.5685  0.0000
0202-03-29_02:38:24.810000      2782.58        1.07445200e+01        1.37402908e-05  22.0190  19.4074  19.6069  0.0000
0202-03-29_02:38:25.156000      2782.93        1.10420300e+01        2.42398704e-05  22.0190  19.4074  19.6069  0.0000
