# Ic =  nan A, n =  nan , Tavg = 22.09 K, ffj51-22k-5e19pm2-03T-0nA
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-27_02:01:39.336000      21486.40        7.74010300e-03        3.12203125e-09  22.0668  19.7089  19.9025  0.0000
0202-03-27_02:01:39.690000      21486.76        3.08937100e-01        9.13373125e-09  22.0668  19.7089  19.9025  0.0000
0202-03-27_02:01:40.040000      21487.10        6.07806800e-01        4.68773313e-08  22.0668  19.7089  19.9025  0.0000
0202-03-27_02:01:40.390000      21487.46        9.05705200e-01        4.70012313e-08  22.0777  19.7121  19.9217  0.0000
0202-03-27_02:01:40.740000      21487.80        1.20398600e+00       -7.22796875e-09  22.0777  19.7121  19.9217  0.0000
0202-03-27_02:01:41.090000      21488.15        1.50192900e+00        2.68823125e-09  22.0777  19.7121  19.9217  0.0000
0202-03-27_02:01:41.440000      21488.50        1.80016900e+00        2.22107313e-08  22.0675  19.7021  19.8988  0.0000
0202-03-27_02:01:41.793000      21488.86        2.09816600e+00        2.35742313e-08  22.0675  19.7021  19.8988  0.0000
0202-03-27_02:01:42.140000      21489.20        2.39646700e+00        1.78724313e-08  22.0675  19.7021  19.8988  0.0000
0202-03-27_02:01:42.492000      21489.56        2.69466100e+00        1.57031313e-08  22.0739  19.7141  19.9179  0.0000
0202-03-27_02:01:42.840000      21489.90        2.99263400e+00        1.37817313e-08  22.0739  19.7141  19.9179  0.0000
0202-03-27_02:01:43.203000      21490.27        3.29083100e+00        1.17365313e-08  22.0739  19.7141  19.9179  0.0000
0202-03-27_02:01:43.582000      21490.64        3.58927600e+00        2.28302313e-08  22.0735  19.7033  19.9125  0.0000
0202-03-27_02:01:43.930000      21490.99        3.88735600e+00        1.60128313e-08  22.0735  19.7033  19.9125  0.0000
0202-03-27_02:01:44.293000      21491.36        4.18531500e+00        1.44634313e-08  22.0735  19.7033  19.9125  0.0000
0202-03-27_02:01:44.650000      21491.71        4.48344700e+00        1.47733313e-08  22.0649  19.7066  19.9014  0.0000
0202-03-27_02:01:45.008000      21492.07        4.78159400e+00        2.19006313e-08  22.0649  19.7066  19.9014  0.0000
0202-03-27_02:01:45.355000      21492.42        5.07965300e+00        2.02272313e-08  22.0773  19.7091  19.9226  0.0000
0202-03-27_02:01:45.703000      21492.77        5.37805700e+00        1.65086313e-08  22.0773  19.7091  19.9226  0.0000
0202-03-27_02:01:46.050000      21493.12        5.67609600e+00        2.68793125e-09  22.0773  19.7091  19.9226  0.0000
0202-03-27_02:01:46.410000      21493.47        5.97418200e+00       -1.52646875e-09  22.0627  19.6986  19.8960  0.0000
0202-03-27_02:01:46.758000      21493.82        6.27241000e+00        6.46853125e-09  22.0627  19.6986  19.8960  0.0000
0202-03-27_02:01:47.105000      21494.17        6.57047100e+00        7.66731250e-10  22.0627  19.6986  19.8960  0.0000
0202-03-27_02:01:47.457000      21494.52        6.86870700e+00       -4.43936875e-09  22.0691  19.7106  19.9102  0.0000
0202-03-27_02:01:47.805000      21494.87        7.16657700e+00       -3.26176875e-09  22.0691  19.7106  19.9102  0.0000
0202-03-27_02:01:48.164000      21495.23        7.46486100e+00       -4.31566875e-09  22.0691  19.7106  19.9102  0.0000
0202-03-27_02:01:48.510000      21495.58        7.76285200e+00        4.29743125e-09  22.0646  19.6982  19.8973  0.0000
0202-03-27_02:01:48.860000      21495.92        8.06115500e+00       -4.62796875e-09  22.0646  19.6982  19.8973  0.0000
0202-03-27_02:01:49.246000      21496.31        8.35965500e+00       -1.43582687e-08  22.0646  19.6982  19.8973  0.0000
0202-03-27_02:01:49.620000      21496.68        8.65731900e+00       -1.63414687e-08  22.0602  19.7024  19.8932  0.0000
0202-03-27_02:01:49.973000      21497.03        8.95583100e+00       -7.47886875e-09  22.0602  19.7024  19.8932  0.0000
0202-03-27_02:01:50.336000      21497.40        9.25373100e+00       -8.59446875e-09  22.0721  19.7052  19.9160  0.0000
0202-03-27_02:01:50.695000      21497.76        9.55197600e+00       -7.10696875e-09  22.0721  19.7052  19.9160  0.0000
