# Ic = 8.84 A, n = 21.30 , Tavg = 22.02 K, ffj51-30e10pm2-03T-22k-0nA
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-29_02:33:23.254000      2481.02        7.01702100e-03        5.17186111e-09  22.0199  19.3994  19.6043  0.0000
0202-03-29_02:33:23.617000      2481.39        3.08629600e-01        8.70446111e-09  22.0028  19.3920  19.5655  0.0000
0202-03-29_02:33:23.970000      2481.74        6.07390700e-01        4.05636111e-09  22.0028  19.3920  19.5655  0.0000
0202-03-29_02:33:24.316000      2482.08        9.05022500e-01        5.54376111e-09  22.0028  19.3920  19.5655  0.0000
0202-03-29_02:33:24.664000      2482.43        1.20317500e+00        1.69472611e-08  22.0130  19.4057  19.5997  0.0000
0202-03-29_02:33:25.010000      2482.78        1.50103200e+00        2.85987611e-08  22.0130  19.4057  19.5997  0.0000
0202-03-29_02:33:25.360000      2483.13        1.79983600e+00        3.53541611e-08  22.0130  19.4057  19.5997  0.0000
0202-03-29_02:33:25.707000      2483.48        2.09756800e+00        2.68634611e-08  22.0136  19.3932  19.5860  0.0000
0202-03-29_02:33:26.060000      2483.82        2.39539000e+00        3.07059611e-08  22.0136  19.3932  19.5860  0.0000
0202-03-29_02:33:26.414000      2484.18        2.69438400e+00        2.57478611e-08  22.0136  19.3932  19.5860  0.0000
0202-03-29_02:33:26.760000      2484.53        2.99203100e+00        4.13038611e-08  22.0035  19.4003  19.5764  0.0000
0202-03-29_02:33:27.113000      2484.88        3.29002800e+00        3.43005611e-08  22.0035  19.4003  19.5764  0.0000
0202-03-29_02:33:27.460000      2485.23        3.58858800e+00        1.51499611e-08  22.0035  19.4003  19.5764  0.0000
0202-03-29_02:33:27.810000      2485.58        3.88640200e+00        8.89046111e-09  22.0191  19.4001  19.6069  0.0000
0202-03-29_02:33:28.156000      2485.92        4.18465800e+00        1.44681611e-08  22.0191  19.4001  19.6069  0.0000
0202-03-29_02:33:28.520000      2486.29        4.48274500e+00        1.22369611e-08  22.0191  19.4001  19.6069  0.0000
0202-03-29_02:33:28.914000      2486.68        4.78118700e+00        7.21686111e-09  22.0036  19.3923  19.5704  0.0000
0202-03-29_02:33:29.260000      2487.03        5.07904400e+00        2.87856111e-09  22.0036  19.3923  19.5704  0.0000
0202-03-29_02:33:29.617000      2487.39        5.37710500e+00        3.12646111e-09  22.0155  19.4045  19.6016  0.0000
0202-03-29_02:33:29.970000      2487.74        5.67539900e+00        3.62226111e-09  22.0155  19.4045  19.6016  0.0000
0202-03-29_02:33:30.316000      2488.09        5.97359900e+00        6.78296111e-09  22.0155  19.4045  19.6016  0.0000
0202-03-29_02:33:30.664000      2488.43        6.27142400e+00        6.03926111e-09  22.0161  19.3915  19.5904  0.0000
0202-03-29_02:33:31.023000      2488.79        6.56943900e+00        9.88176111e-09  22.0161  19.3915  19.5904  0.0000
0202-03-29_02:33:31.390000      2489.16        6.86790000e+00       -1.64573889e-09  22.0161  19.3915  19.5904  0.0000
0202-03-29_02:33:31.742000      2489.51        7.16617500e+00       -1.58238889e-10  22.0035  19.3996  19.5746  0.0000
0202-03-29_02:33:32.098000      2489.86        7.46425300e+00        1.67611611e-08  22.0035  19.3996  19.5746  0.0000
0202-03-29_02:33:32.445000      2490.21        7.76173400e+00        2.01697611e-08  22.0035  19.3996  19.5746  0.0000
0202-03-29_02:33:32.797000      2490.56        8.06054700e+00        4.25430611e-08  22.0187  19.3991  19.6050  0.0000
0202-03-29_02:33:33.140000      2490.91        8.35841400e+00        7.40887611e-08  22.0187  19.3991  19.6050  0.0000
0202-03-29_02:33:33.540000      2491.31        8.65680900e+00        1.45794861e-07  22.0187  19.3991  19.6050  0.0000
0202-03-29_02:33:33.938000      2491.70        8.95578600e+00        2.80840961e-07  21.9987  19.3914  19.5663  0.0000
0202-03-29_02:33:34.290000      2492.06        9.25355400e+00        5.20317631e-07  21.9987  19.3914  19.5663  0.0000
0202-03-29_02:33:34.640000      2492.41        9.55164900e+00        9.81852431e-07  22.0086  19.4043  19.5937  0.0000
0202-03-29_02:33:34.996000      2492.76        9.84944500e+00        2.27906892e-06  22.0086  19.4043  19.5937  0.0000
0202-03-29_02:33:35.344000      2493.11        1.01477400e+01        4.02561031e-06  22.0086  19.4043  19.5937  0.0000
0202-03-29_02:33:35.707000      2493.47        1.04458400e+01        6.89323283e-06  22.0151  19.3922  19.5878  0.0000
0202-03-29_02:33:36.062000      2493.83        1.07437900e+01        1.23112998e-05  22.0151  19.3922  19.5878  0.0000
0202-03-29_02:33:36.414000      2494.18        1.10420600e+01        2.17156334e-05  22.0151  19.3922  19.5878  0.0000
