# Ic = 9.05 A, n = 21.38 , Tavg = 22.01 K, ffj51-30p4pm2-afterTc-0nA-22k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-29_15:03:53.590000       54.88        7.06516600e-03        1.29428750e-08  22.0002  19.8016  19.9728  0.0000
0202-03-29_15:03:53.940000       55.24        3.09315000e-01        1.96363950e-08  22.0115  19.8138  20.0025  0.0000
0202-03-29_15:03:54.290000       55.58        6.07254900e-01        1.79010450e-08  22.0115  19.8138  20.0025  0.0000
0202-03-29_15:03:54.650000       55.94        9.05399400e-01        3.53165950e-08  22.0079  19.8007  19.9833  0.0000
0202-03-29_15:03:54.992000       56.29        1.20339400e+00       -6.45594500e-09  22.0079  19.8007  19.9833  0.0000
0202-03-29_15:03:55.340000       56.64        1.50135600e+00        1.46782350e-08  22.0079  19.8007  19.9833  0.0000
0202-03-29_15:03:55.690000       56.98        1.79938500e+00        5.19574500e-09  22.0026  19.8105  19.9825  0.0000
0202-03-29_15:03:56.043000       57.34        2.09803900e+00        3.95620500e-09  22.0026  19.8105  19.9825  0.0000
0202-03-29_15:03:56.390000       57.69        2.39678300e+00        1.91405850e-08  22.0026  19.8105  19.9825  0.0000
0202-03-29_15:03:56.742000       58.04        2.69476100e+00        1.02141650e-08  22.0151  19.8074  20.0008  0.0000
0202-03-29_15:03:57.090000       58.38        2.99258800e+00        7.54571500e-09  22.0151  19.8074  20.0008  0.0000
0202-03-29_15:03:57.438000       58.73        3.29012600e+00        1.54162350e-08  22.0151  19.8074  20.0008  0.0000
0202-03-29_15:03:57.797000       59.09        3.58812200e+00        2.21717350e-08  21.9998  19.8031  19.9730  0.0000
0202-03-29_15:03:58.145000       59.44        3.88700000e+00        1.88249750e-08  21.9998  19.8031  19.9730  0.0000
0202-03-29_15:03:58.523000       59.82        4.18451400e+00        1.53542550e-08  21.9998  19.8031  19.9730  0.0000
0202-03-29_15:03:58.887000       60.18        4.48278600e+00        2.50226750e-08  22.0093  19.8130  19.9984  0.0000
0202-03-29_15:03:59.234000       60.53        4.78055900e+00        1.49823950e-08  22.0093  19.8130  19.9984  0.0000
0202-03-29_15:03:59.586000       60.88        5.07883500e+00        1.29371450e-08  22.0093  19.8130  19.9984  0.0000
0202-03-29_15:03:59.957000       61.25        5.37686800e+00        2.29774350e-08  22.0075  19.7994  19.9840  0.0000
0202-03-29_15:04:00.316000       61.61        5.67560000e+00        2.31633650e-08  22.0075  19.7994  19.9840  0.0000
0202-03-29_15:04:00.664000       61.96        5.97366900e+00        3.32656350e-08  22.0002  19.8090  19.9807  0.0000
0202-03-29_15:04:01.023000       62.32        6.27056100e+00        2.45268650e-08  22.0002  19.8090  19.9807  0.0000
0202-03-29_15:04:01.367000       62.66        6.56898300e+00        3.38234250e-08  22.0002  19.8090  19.9807  0.0000
0202-03-29_15:04:01.723000       63.02        6.86652100e+00        2.13040550e-08  22.0142  19.8056  19.9994  0.0000
0202-03-29_15:04:02.070000       63.37        7.16555600e+00        1.71515850e-08  22.0142  19.8056  19.9994  0.0000
0202-03-29_15:04:02.418000       63.71        7.46386300e+00        2.17998750e-08  22.0142  19.8056  19.9994  0.0000
0202-03-29_15:04:02.777000       64.07        7.76177200e+00        2.33511050e-08  21.9972  19.8013  19.9677  0.0000
0202-03-29_15:04:03.125000       64.42        8.05934600e+00        3.97762350e-08  21.9972  19.8013  19.9677  0.0000
0202-03-29_15:04:03.477000       64.77        8.35721000e+00        5.19857150e-08  21.9972  19.8013  19.9677  0.0000
0202-03-29_15:04:03.870000       65.17        8.65480900e+00        9.98320150e-08  22.0102  19.8115  20.0001  0.0000
0202-03-29_15:04:04.230000       65.53        8.95273600e+00        1.89017025e-07  22.0102  19.8115  20.0001  0.0000
0202-03-29_15:04:04.590000       65.88        9.25208900e+00        3.66271445e-07  22.0102  19.8115  20.0001  0.0000
0202-03-29_15:04:04.957000       66.25        9.54975700e+00        6.55332505e-07  22.0063  19.7977  19.9802  0.0000
0202-03-29_15:04:05.305000       66.60        9.84778000e+00        1.15840040e-06  22.0063  19.7977  19.9802  0.0000
0202-03-29_15:04:05.652000       66.95        1.01463600e+01        2.70342681e-06  21.9967  19.8066  19.9805  0.0000
0202-03-29_15:04:06.008000       67.30        1.04444800e+01        4.67466954e-06  21.9967  19.8066  19.9805  0.0000
0202-03-29_15:04:06.360000       67.65        1.07423300e+01        7.99986337e-06  21.9967  19.8066  19.9805  0.0000
0202-03-29_15:04:06.707000       68.00        1.10403500e+01        1.37289278e-05  22.0114  19.8030  19.9928  0.0000
0202-03-29_15:04:07.055000       68.35        1.13380400e+01        2.39094045e-05  22.0114  19.8030  19.9928  0.0000
