# Ic = 2.28 A, n = 2.01 , Tavg = 50.00 K, 0nA-50k-ffj51-0e19pm2-0nA
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-07_13:24:12.957000      13613.52        8.92821000e-03        1.84690958e-08  49.9635  49.1737  49.4968  0.0000
0202-03-07_13:24:13.336000      13613.90        1.12480500e-01        8.73873583e-09  49.9635  49.1737  49.4968  0.0000
0202-03-07_13:24:13.734000      13614.30        2.11650200e-01        2.07622358e-08  49.9736  49.1767  49.5027  0.0000
0202-03-07_13:24:14.082000      13614.65        3.10797400e-01        3.04306158e-08  49.9736  49.1767  49.5027  0.0000
0202-03-07_13:24:14.430000      13615.00        4.10383900e-01        1.79113058e-08  49.9736  49.1767  49.5027  0.0000
0202-03-07_13:24:14.790000      13615.35        5.09632600e-01       -7.74710417e-09  49.9884  49.1761  49.5104  0.0000
0202-03-07_13:24:15.137000      13615.70        6.09084100e-01       -1.09079242e-08  49.9884  49.1761  49.5104  0.0000
0202-03-07_13:24:15.484000      13616.05        7.08899200e-01        2.11329758e-08  49.9819  49.1787  49.5209  0.0000
0202-03-07_13:24:15.832000      13616.40        8.07230400e-01        2.19984158e-08  49.9819  49.1787  49.5209  0.0000
0202-03-07_13:24:16.180000      13616.74        9.07024800e-01        1.94569958e-08  49.9819  49.1787  49.5209  0.0000
0202-03-07_13:24:16.535000      13617.10        1.00634500e+00        3.17283958e-08  49.9781  49.1790  49.5088  0.0000
0202-03-07_13:24:16.883000      13617.45        1.10532500e+00        7.86733583e-09  49.9781  49.1790  49.5088  0.0000
0202-03-07_13:24:17.230000      13617.80        1.20533900e+00        9.16885583e-09  49.9781  49.1790  49.5088  0.0000
0202-03-07_13:24:17.582000      13618.15        1.30422600e+00        1.57383858e-08  49.9523  49.1786  49.5004  0.0000
0202-03-07_13:24:17.930000      13618.49        1.40380300e+00        2.43531658e-08  49.9523  49.1786  49.5004  0.0000
0202-03-07_13:24:18.273000      13618.84        1.50337900e+00        1.19578058e-08  49.9523  49.1786  49.5004  0.0000
0202-03-07_13:24:18.625000      13619.19        1.60262900e+00       -7.56488417e-09  49.9579  49.1792  49.5032  0.0000
0202-03-07_13:24:18.970000      13619.54        1.70197000e+00       -2.15096542e-08  49.9579  49.1792  49.5032  0.0000
0202-03-07_13:24:19.340000      13619.91        1.80113500e+00       -1.85967442e-08  49.9579  49.1792  49.5032  0.0000
