# Ic =  nan A, n =  nan , Tavg = 21.70 K, ffj51-20k-ffj51-0e19pm2-0T-
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-26_10:41:00.800000      41362.14        8.16503300e-03       -1.31788714e-08  21.1732  19.0167  19.2001  0.0000
0202-03-26_10:41:01.150000      41362.49        3.09573500e-01       -5.49377143e-09  21.1732  19.0167  19.2001  0.0000
0202-03-26_10:41:01.523000      41362.86        6.07378700e-01        3.18212857e-09  21.1879  19.0263  19.2350  0.0000
0202-03-26_10:41:01.870000      41363.21        9.05746300e-01        1.38032857e-09  21.1879  19.0263  19.2350  0.0000
0202-03-26_10:41:02.230000      41363.57        1.20368800e+00        1.12943286e-08  21.1879  19.0263  19.2350  0.0000
0202-03-26_10:41:02.605000      41363.95        1.50171200e+00        1.67482286e-08  21.1660  19.0115  19.2029  0.0000
0202-03-26_10:41:02.977000      41364.32        1.79985200e+00       -5.62527143e-09  21.1660  19.0115  19.2029  0.0000
0202-03-26_10:41:03.380000      41364.72        2.09844700e+00       -4.19977143e-09  21.1618  19.0239  19.2144  0.0000
0202-03-26_10:41:03.754000      41365.10        2.39666800e+00       -3.02919714e-08  21.1618  19.0239  19.2144  0.0000
0202-03-26_10:41:04.133000      41365.48        2.69462100e+00       -5.62527143e-09  21.1618  19.0239  19.2144  0.0000
0202-03-26_10:41:04.523000      41365.86        2.99309000e+00       -5.99717143e-09  21.1707  19.0161  19.2259  0.0000
0202-03-26_10:41:04.883000      41366.23        3.29149100e+00       -1.25666714e-08  21.1707  19.0161  19.2259  0.0000
0202-03-26_10:41:05.270000      41366.61        3.58964000e+00       -1.10172714e-08  21.1707  19.0161  19.2259  0.0000
0202-03-26_10:41:05.640000      41366.98        3.88745900e+00       -5.68727143e-09  21.1529  19.0146  19.1933  0.0000
0202-03-26_10:41:06.016000      41367.36        4.18550500e+00       -1.47977714e-08  21.1529  19.0146  19.1933  0.0000
0202-03-26_10:41:06.383000      41367.72        4.48400100e+00       -1.17609714e-08  21.1796  19.0226  19.2327  0.0000
0202-03-26_10:41:06.760000      41368.10        4.78207600e+00       -1.21947714e-08  21.1796  19.0226  19.2327  0.0000
0202-03-26_10:41:07.145000      41368.49        5.08046300e+00       -2.62014714e-08  21.1796  19.0226  19.2327  0.0000
0202-03-26_10:41:07.527000      41368.87        5.37832100e+00       -2.53980714e-08  21.1521  19.0076  19.1958  0.0000
0202-03-26_10:41:07.883000      41369.22        5.67622600e+00       -3.54417714e-08  21.1521  19.0076  19.1958  0.0000
0202-03-26_10:41:08.290000      41369.63        5.97468100e+00       -5.85590714e-08  21.1521  19.0076  19.1958  0.0000
0202-03-26_10:41:08.664000      41370.01        6.27274300e+00       -5.27332714e-08  21.1546  19.0203  19.2126  0.0000
0202-03-26_10:41:09.030000      41370.37        6.57083100e+00       -5.22994714e-08  21.1546  19.0203  19.2126  0.0000
0202-03-26_10:41:09.400000      41370.74        6.86911800e+00       -5.98605714e-08  21.1500  19.0113  19.2147  0.0000
0202-03-26_10:41:09.780000      41371.12        7.16733600e+00       -7.17600714e-08  21.1500  19.0113  19.2147  0.0000
0202-03-26_10:41:10.168000      41371.51        7.46523500e+00       -6.55623714e-08  21.1500  19.0113  19.2147  0.0000
0202-03-26_10:41:10.527000      41371.87        7.76363600e+00       -6.27734714e-08  21.1385  19.0100  19.1860  0.0000
0202-03-26_10:41:10.883000      41372.22        8.06200800e+00       -6.48186714e-08  21.1385  19.0100  19.1860  0.0000
0202-03-26_10:41:11.285000      41372.63        8.35977000e+00       -6.72977714e-08  21.1385  19.0100  19.1860  0.0000
0202-03-26_10:41:11.664000      41373.01        8.65838700e+00       -7.62843714e-08  21.1676  19.0185  19.2315  0.0000
0202-03-26_10:41:12.040000      41373.38        8.95639300e+00       -9.04769714e-08  21.1676  19.0185  19.2315  0.0000
0202-03-26_10:41:12.406000      41373.75        9.25417900e+00       -7.24417714e-08  21.1486  19.0038  19.1958  0.0000
0202-03-26_10:41:12.760000      41374.10        9.55246200e+00       -7.10163714e-08  21.1486  19.0038  19.1958  0.0000
