# Ic = 20.87 A, n = 27.24 , Tavg = 22.41 K, 15e19pm2-0nA-anneal300k-720min-22k-
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-28_11:03:11.934000      88320.76        7.36495500e-03        5.63566667e-09  22.3947  19.3800  19.5715  0.0000
0202-03-28_11:03:12.277000      88321.11        3.09160900e-01        4.91666667e-10  22.3947  19.3800  19.5715  0.0000
0202-03-28_11:03:12.637000      88321.46        6.07223500e-01        9.41626667e-09  22.3947  19.3800  19.5715  0.0000
0202-03-28_11:03:12.984000      88321.81        9.05602700e-01        1.60476667e-08  22.4075  19.3879  19.6028  0.0000
0202-03-28_11:03:13.332000      88322.16        1.20311500e+00        2.27410667e-08  22.4075  19.3879  19.6028  0.0000
0202-03-28_11:03:13.680000      88322.51        1.50148800e+00        4.86471667e-08  22.4040  19.3749  19.5817  0.0000
0202-03-28_11:03:14.027000      88322.86        1.79994300e+00        2.11297667e-08  22.4040  19.3749  19.5817  0.0000
0202-03-28_11:03:14.383000      88323.21        2.09807700e+00        9.47816667e-09  22.4040  19.3749  19.5817  0.0000
0202-03-28_11:03:14.734000      88323.56        2.39614700e+00        2.11297667e-08  22.4029  19.3879  19.5882  0.0000
0202-03-28_11:03:15.082000      88323.91        2.69418900e+00        2.03240667e-08  22.4029  19.3879  19.5882  0.0000
0202-03-28_11:03:15.430000      88324.26        2.99228500e+00        2.44757667e-08  22.4029  19.3879  19.5882  0.0000
0202-03-28_11:03:15.777000      88324.61        3.29066200e+00        3.16020667e-08  22.4102  19.3793  19.5957  0.0000
0202-03-28_11:03:16.133000      88324.96        3.58849500e+00        3.10442667e-08  22.4102  19.3793  19.5957  0.0000
0202-03-28_11:03:16.480000      88325.31        3.88663300e+00        3.98448667e-08  22.4102  19.3793  19.5957  0.0000
0202-03-28_11:03:16.875000      88325.70        4.18493700e+00        4.41212667e-08  22.3980  19.3795  19.5694  0.0000
0202-03-28_11:03:17.220000      88326.05        4.48276600e+00        3.79856667e-08  22.3980  19.3795  19.5694  0.0000
0202-03-28_11:03:17.590000      88326.42        4.78091900e+00        3.87912667e-08  22.3980  19.3795  19.5694  0.0000
0202-03-28_11:03:17.965000      88326.80        5.07890300e+00        4.69101667e-08  22.4088  19.3867  19.5997  0.0000
0202-03-28_11:03:18.312000      88327.14        5.37728700e+00        4.40592667e-08  22.4088  19.3867  19.5997  0.0000
0202-03-28_11:03:18.664000      88327.49        5.67528800e+00        4.23239667e-08  22.3969  19.3737  19.5698  0.0000
0202-03-28_11:03:19.008000      88327.84        5.97345300e+00        4.67242667e-08  22.3969  19.3737  19.5698  0.0000
0202-03-28_11:03:19.363000      88328.19        6.27151100e+00        5.17443667e-08  22.3969  19.3737  19.5698  0.0000
0202-03-28_11:03:19.710000      88328.54        6.56961600e+00        5.70122667e-08  22.3964  19.3864  19.5831  0.0000
0202-03-28_11:03:20.060000      88328.89        6.86815500e+00        5.32317667e-08  22.3964  19.3864  19.5831  0.0000
0202-03-28_11:03:20.406000      88329.24        7.16577200e+00        5.29838667e-08  22.3964  19.3864  19.5831  0.0000
0202-03-28_11:03:20.754000      88329.58        7.46429300e+00        5.25500667e-08  22.4012  19.3772  19.5907  0.0000
0202-03-28_11:03:21.117000      88329.95        7.76213500e+00        5.29841667e-08  22.4012  19.3772  19.5907  0.0000
0202-03-28_11:03:21.460000      88330.29        8.06028600e+00        6.27780667e-08  22.4012  19.3772  19.5907  0.0000
0202-03-28_11:03:21.812000      88330.64        8.35876000e+00        6.17872667e-08  22.4005  19.3862  19.5867  0.0000
0202-03-28_11:03:22.160000      88330.99        8.65660000e+00        5.72010667e-08  22.4005  19.3862  19.5867  0.0000
0202-03-28_11:03:22.555000      88331.38        8.95477800e+00        5.19950667e-08  22.4005  19.3862  19.5867  0.0000
0202-03-28_11:03:22.920000      88331.75        9.25286200e+00        6.32747667e-08  22.4071  19.3845  19.5994  0.0000
0202-03-28_11:03:23.270000      88332.10        9.55117000e+00        5.51558667e-08  22.4071  19.3845  19.5994  0.0000
0202-03-28_11:03:23.620000      88332.45        9.84925000e+00        5.73249667e-08  22.4071  19.3845  19.5994  0.0000
0202-03-28_11:03:23.980000      88332.81        1.01474300e+01        4.92680667e-08  22.3933  19.3708  19.5704  0.0000
0202-03-28_11:03:24.324000      88333.15        1.04453500e+01        4.58594667e-08  22.3933  19.3708  19.5704  0.0000
0202-03-28_11:03:24.684000      88333.51        1.07431900e+01        4.98258667e-08  22.3970  19.3838  19.5812  0.0000
0202-03-28_11:03:25.040000      88333.87        1.10417100e+01        3.75545667e-08  22.3970  19.3838  19.5812  0.0000
0202-03-28_11:03:25.387000      88334.22        1.13397800e+01        4.35662667e-08  22.3970  19.3838  19.5812  0.0000
0202-03-28_11:03:25.734000      88334.56        1.16379200e+01        3.48276667e-08  22.4047  19.3751  19.5882  0.0000
0202-03-28_11:03:26.094000      88334.92        1.19357900e+01        3.84222667e-08  22.4047  19.3751  19.5882  0.0000
0202-03-28_11:03:26.440000      88335.27        1.22342100e+01        4.88962667e-08  22.4047  19.3751  19.5882  0.0000
0202-03-28_11:03:26.790000      88335.62        1.25320100e+01        4.36902667e-08  22.3891  19.3845  19.5808  0.0000
0202-03-28_11:03:27.137000      88335.96        1.28303500e+01        3.93514667e-08  22.3891  19.3845  19.5808  0.0000
0202-03-28_11:03:27.504000      88336.33        1.31285000e+01        3.37108667e-08  22.3891  19.3845  19.5808  0.0000
0202-03-28_11:03:27.880000      88336.71        1.34268800e+01        3.84829667e-08  22.4019  19.3832  19.5926  0.0000
0202-03-28_11:03:28.234000      88337.07        1.37243400e+01        3.32150667e-08  22.4019  19.3832  19.5926  0.0000
0202-03-28_11:03:28.594000      88337.42        1.40231000e+01        3.30910667e-08  22.4019  19.3832  19.5926  0.0000
0202-03-28_11:03:28.957000      88337.79        1.43212400e+01        3.82350667e-08  22.3932  19.3701  19.5677  0.0000
0202-03-28_11:03:29.305000      88338.14        1.46193700e+01        2.98683667e-08  22.3932  19.3701  19.5677  0.0000
0202-03-28_11:03:29.664000      88338.49        1.49177300e+01        3.50742667e-08  22.3879  19.3840  19.5784  0.0000
0202-03-28_11:03:30.023000      88338.85        1.52155200e+01        2.15015667e-08  22.3879  19.3840  19.5784  0.0000
0202-03-28_11:03:30.370000      88339.20        1.55137100e+01        2.13775667e-08  22.3879  19.3840  19.5784  0.0000
0202-03-28_11:03:30.720000      88339.55        1.58115400e+01        1.60476667e-08  22.4025  19.3753  19.5898  0.0000
0202-03-28_11:03:31.074000      88339.90        1.61097400e+01        1.32586667e-08  22.4025  19.3753  19.5898  0.0000
0202-03-28_11:03:31.418000      88340.25        1.64082100e+01        2.23691667e-08  22.4025  19.3753  19.5898  0.0000
0202-03-28_11:03:31.770000      88340.60        1.67062600e+01        1.48700667e-08  22.3838  19.3765  19.5604  0.0000
0202-03-28_11:03:32.117000      88340.95        1.70043200e+01        1.80308667e-08  22.3838  19.3765  19.5604  0.0000
0202-03-28_11:03:32.465000      88341.29        1.73023100e+01        1.27628667e-08  22.3838  19.3765  19.5604  0.0000
0202-03-28_11:03:32.824000      88341.65        1.76006200e+01        8.98156667e-09  22.3984  19.3741  19.5814  0.0000
0202-03-28_11:03:33.170000      88342.00        1.78987000e+01        1.23234667e-08  22.3984  19.3741  19.5814  0.0000
0202-03-28_11:03:33.540000      88342.37        1.81969700e+01        1.00899667e-08  22.3984  19.3741  19.5814  0.0000
0202-03-28_11:03:33.914000      88342.74        1.84948800e+01        1.38084667e-08  22.3948  19.3702  19.5667  0.0000
0202-03-28_11:03:34.273000      88343.10        1.87931900e+01        2.52886667e-09  22.3948  19.3702  19.5667  0.0000
0202-03-28_11:03:34.620000      88343.45        1.90911700e+01        2.02540667e-08  22.3951  19.3840  19.5785  0.0000
0202-03-28_11:03:34.973000      88343.80        1.93895600e+01        1.93243667e-08  22.3951  19.3840  19.5785  0.0000
0202-03-28_11:03:35.320000      88344.15        1.96876500e+01        3.35169667e-08  22.3951  19.3840  19.5785  0.0000
0202-03-28_11:03:35.680000      88344.51        1.99858100e+01        5.88032667e-08  22.4017  19.3758  19.5867  0.0000
0202-03-28_11:03:36.027000      88344.85        2.02839700e+01        9.74143667e-08  22.4017  19.3758  19.5867  0.0000
0202-03-28_11:03:36.383000      88345.21        2.05816000e+01        1.49412467e-07  22.4017  19.3758  19.5867  0.0000
0202-03-28_11:03:36.742000      88345.57        2.08800900e+01        2.16036867e-07  22.3896  19.3771  19.5636  0.0000
0202-03-28_11:03:37.090000      88345.92        2.11787000e+01        3.27470067e-07  22.3896  19.3771  19.5636  0.0000
0202-03-28_11:03:37.438000      88346.27        2.14766100e+01        4.62144367e-07  22.3896  19.3771  19.5636  0.0000
0202-03-28_11:03:37.793000      88346.62        2.17750200e+01        6.66913767e-07  22.4060  19.3850  19.5949  0.0000
0202-03-28_11:03:38.140000      88346.97        2.20728100e+01        9.57768067e-07  22.4060  19.3850  19.5949  0.0000
0202-03-28_11:03:38.508000      88347.34        2.23710500e+01        1.33743427e-06  22.4060  19.3850  19.5949  0.0000
0202-03-28_11:03:38.906000      88347.74        2.26691500e+01        1.85667317e-06  22.3998  19.3724  19.5740  0.0000
0202-03-28_11:03:39.254000      88348.08        2.29675900e+01        3.01463847e-06  22.3998  19.3724  19.5740  0.0000
0202-03-28_11:03:39.605000      88348.44        2.32653600e+01        4.13529177e-06  22.3998  19.3724  19.5740  0.0000
0202-03-28_11:03:39.953000      88348.78        2.35638500e+01        5.58770356e-06  22.4039  19.3864  19.5881  0.0000
0202-03-28_11:03:40.312000      88349.14        2.38616900e+01        7.42442962e-06  22.4039  19.3864  19.5881  0.0000
0202-03-28_11:03:40.670000      88349.50        2.41598400e+01        1.05906067e-05  22.4144  19.3785  19.5961  0.0000
0202-03-28_11:03:41.027000      88349.86        2.44579300e+01        1.47725125e-05  22.4144  19.3785  19.5961  0.0000
0202-03-28_11:03:41.375000      88350.20        2.47561700e+01        2.08253905e-05  22.4144  19.3785  19.5961  0.0000
