# Ic =  nan A, n =  nan , Tavg = 50.09 K, 50k-30p4pm2-anneal300k-720min-0T
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-04-01_02:26:41.926000      46575.73        1.16149100e-02       -3.19176667e-09  50.0832  48.8418  49.1593  0.0000
0202-04-01_02:26:42.280000      46576.08        1.15006300e-01       -6.41456667e-09  50.0957  48.8437  49.1728  0.0000
0202-04-01_02:26:42.630000      46576.43        2.14087600e-01        6.91043333e-09  50.0957  48.8437  49.1728  0.0000
0202-04-01_02:26:42.977000      46576.78        3.13670500e-01        1.08150333e-08  50.0836  48.8444  49.1672  0.0000
0202-04-01_02:26:43.324000      46577.13        4.12670100e-01       -2.51006667e-09  50.0836  48.8444  49.1672  0.0000
0202-04-01_02:26:43.670000      46577.47        5.11779600e-01       -1.54966667e-10  50.0836  48.8444  49.1672  0.0000
0202-04-01_02:26:44.020000      46577.82        6.11238200e-01       -5.67086667e-09  50.0859  48.8449  49.1727  0.0000
0202-04-01_02:26:44.375000      46578.18        7.10877500e-01        1.02263333e-09  50.0859  48.8449  49.1727  0.0000
0202-04-01_02:26:44.723000      46578.52        8.09731800e-01       -7.22026667e-09  50.0859  48.8449  49.1727  0.0000
0202-04-01_02:26:45.070000      46578.87        9.09509200e-01       -3.91384667e-08  50.0694  48.8448  49.1652  0.0000
0202-04-01_02:26:45.418000      46579.22        1.00944800e+00       -2.57513667e-08  50.0694  48.8448  49.1652  0.0000
0202-04-01_02:26:45.766000      46579.57        1.10834000e+00       -6.04276667e-09  50.0694  48.8448  49.1652  0.0000
0202-04-01_02:26:46.125000      46579.93        1.20769300e+00       -9.81796667e-09  50.0899  48.8442  49.1623  0.0000
0202-04-01_02:26:46.473000      46580.27        1.30745700e+00       -1.94207667e-08  50.0899  48.8442  49.1623  0.0000
0202-04-01_02:26:46.840000      46580.64        1.40655000e+00       -2.27055667e-08  50.0899  48.8442  49.1623  0.0000
0202-04-01_02:26:47.210000      46581.01        1.50593000e+00       -2.05982667e-08  50.0804  48.8443  49.1627  0.0000
0202-04-01_02:26:47.570000      46581.37        1.60514600e+00       -2.86552667e-08  50.0804  48.8443  49.1627  0.0000
0202-04-01_02:26:47.934000      46581.73        1.70446100e+00       -3.24358667e-08  50.0804  48.8443  49.1627  0.0000
0202-04-01_02:26:48.280000      46582.08        1.80391600e+00       -3.04526667e-08  50.0968  48.8441  49.1695  0.0000
0202-04-01_02:26:48.637000      46582.44        1.90311200e+00       -3.22499667e-08  50.0968  48.8441  49.1695  0.0000
0202-04-01_02:26:48.996000      46582.80        2.00276400e+00       -2.85313667e-08  50.1008  48.8441  49.1800  0.0000
0202-04-01_02:26:49.355000      46583.16        2.10212600e+00       -3.13203667e-08  50.1008  48.8441  49.1800  0.0000
0202-04-01_02:26:49.703000      46583.51        2.20139800e+00       -3.78278667e-08  50.1008  48.8441  49.1800  0.0000
0202-04-01_02:26:50.055000      46583.85        2.30111300e+00       -4.12985667e-08  50.0815  48.8436  49.1695  0.0000
