# Ic = 5.86 A, n = 17.92 , Tavg = 40.19 K, 45e19pm2-anneal300k-720min-0nA-0T-40k-
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-04-04_01:29:23.540000      229482.67        9.74294600e-03       -3.78416667e-09  40.1806  38.6688  38.8762  0.0000
0202-04-04_01:29:23.887000      229483.01        4.45767100e-02       -2.66846667e-09  40.1806  38.6688  38.8762  0.0000
0202-04-04_01:29:24.240000      229483.36        7.43048200e-02       -4.52786667e-09  40.1806  38.6688  38.8762  0.0000
0202-04-04_01:29:24.586000      229483.71        1.04059900e-01        2.28973333e-09  40.1656  38.6683  38.8778  0.0000
0202-04-04_01:29:24.934000      229484.06        1.34022500e-01        7.12413333e-09  40.1656  38.6683  38.8778  0.0000
0202-04-04_01:29:25.280000      229484.41        1.63732800e-01        2.28973333e-09  40.1656  38.6683  38.8778  0.0000
0202-04-04_01:29:25.630000      229484.76        1.93516200e-01       -3.22636667e-09  40.1810  38.6684  38.8895  0.0000
0202-04-04_01:29:25.980000      229485.11        2.23579700e-01       -1.73886667e-09  40.1810  38.6684  38.8895  0.0000
0202-04-04_01:29:26.367000      229485.49        2.53177200e-01        6.56633333e-09  40.1810  38.6684  38.8895  0.0000
0202-04-04_01:29:26.746000      229485.87        2.82607900e-01        6.93813333e-09  40.1819  38.6685  38.8852  0.0000
0202-04-04_01:29:27.094000      229486.22        3.12469600e-01        5.69863333e-09  40.1819  38.6685  38.8852  0.0000
0202-04-04_01:29:27.445000      229486.57        3.42094900e-01        1.51813333e-08  40.1714  38.6688  38.8817  0.0000
0202-04-04_01:29:27.800000      229486.93        3.72090100e-01       -3.47790667e-08  40.1714  38.6688  38.8817  0.0000
0202-04-04_01:29:28.152000      229487.28        4.02152200e-01       -2.07756667e-08  40.1714  38.6688  38.8817  0.0000
0202-04-04_01:29:28.500000      229487.62        4.31634600e-01        1.25687333e-08  40.1905  38.6684  38.8889  0.0000
0202-04-04_01:29:28.848000      229487.97        4.61450300e-01        4.26284333e-08  40.1905  38.6684  38.8889  0.0000
0202-04-04_01:29:29.195000      229488.32        4.91834500e-01        2.86832333e-08  40.1905  38.6684  38.8889  0.0000
0202-04-04_01:29:29.555000      229488.68        5.21434100e-01        1.05235333e-08  40.1914  38.6690  38.8793  0.0000
0202-04-04_01:29:29.900000      229489.03        5.51411500e-01        2.81873333e-08  40.1914  38.6690  38.8793  0.0000
0202-04-04_01:29:30.246000      229489.37        5.80656800e-01        2.45926333e-08  40.1914  38.6690  38.8793  0.0000
0202-04-04_01:29:30.605000      229489.73        6.10303200e-01       -3.23656667e-08  40.1695  38.6679  38.8759  0.0000
0202-04-04_01:29:30.965000      229490.09        6.40752700e-01       -1.74826667e-09  40.1695  38.6679  38.8759  0.0000
0202-04-04_01:29:31.330000      229490.45        6.70351100e-01        2.34233333e-09  40.1695  38.6679  38.8759  0.0000
0202-04-04_01:29:31.715000      229490.84        6.99585000e-01       -2.44324667e-08  40.1617  38.6680  38.8729  0.0000
0202-04-04_01:29:32.074000      229491.20        7.29605500e-01       -2.50521667e-08  40.1617  38.6680  38.8729  0.0000
0202-04-04_01:29:32.430000      229491.55        7.59703100e-01       -3.40390667e-08  40.1658  38.6683  38.8712  0.0000
0202-04-04_01:29:32.785000      229491.91        7.89272400e-01       -3.42166667e-09  40.1658  38.6683  38.8712  0.0000
0202-04-04_01:29:33.133000      229492.26        8.19767700e-01       -2.61596667e-09  40.1658  38.6683  38.8712  0.0000
0202-04-04_01:29:33.484000      229492.61        8.48897600e-01       -1.55734667e-08  40.1704  38.6677  38.8718  0.0000
