# Ic = 14.01 A, n = 39.95 , Tavg = 20.03 K, f28-30e19pm2-1200keV-0nA-20k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-08_17:58:42.883000      20832.01       -4.37584900e-01       -1.68764791e-07  20.0357  19.7027
0202-03-08_17:58:43.297000      20832.42       -4.38418200e-01       -2.02419331e-07  20.0357  19.7027
0202-03-08_17:58:43.695000      20832.82       -3.30285400e-01       -1.66657511e-07  20.0357  19.7027
0202-03-08_17:58:44.098000      20833.22        6.46483600e-01       -1.03067151e-07  20.0398  19.7234
0202-03-08_17:58:44.504000      20833.63        1.63171700e+00       -9.23448005e-08  20.0398  19.7234
0202-03-08_17:58:44.902000      20834.03        2.42888900e+00       -6.14793105e-08  20.0157  19.7812
0202-03-08_17:58:45.300000      20834.43        3.41540900e+00       -1.21784780e-07  20.0157  19.7812
0202-03-08_17:58:45.703000      20834.83        4.19478900e+00       -1.52588290e-07  20.0157  19.7812
0202-03-08_17:58:46.105000      20835.23        5.19887700e+00       -7.31313405e-08  20.0592  19.6353
0202-03-08_17:58:46.500000      20835.63        6.18333600e+00       -7.20777005e-08  20.0592  19.6353
0202-03-08_17:58:46.900000      20836.02        6.96184900e+00       -9.56296805e-08  20.0090  19.7892
0202-03-08_17:58:47.293000      20836.42        7.94713000e+00       -1.18251981e-07  20.0090  19.7892
0202-03-08_17:58:47.700000      20836.82        8.94888300e+00       -1.37714451e-07  20.0090  19.7892
0202-03-08_17:58:48.100000      20837.23        9.72931900e+00       -9.44542805e-08  20.0656  19.7036
0202-03-08_17:58:48.504000      20837.63        1.07156600e+01       -1.10692741e-07  20.0656  19.7036
0202-03-08_17:58:48.900000      20838.02        1.15115400e+01       -1.31083791e-07  20.0078  19.6786
0202-03-08_17:58:49.300000      20838.43        1.24970000e+01       -1.91451210e-07  20.0078  19.6786
0202-03-08_17:58:49.690000      20838.82        1.34835100e+01       -1.11498471e-07  20.0078  19.6786
0202-03-08_17:58:50.100000      20839.23        1.42806600e+01        3.20804169e-07  20.0736  19.8263
0202-03-08_17:58:50.492000      20839.62        1.52642700e+01        6.10188349e-06  20.0736  19.8263
0202-03-08_17:58:50.900000      20840.03        1.62478600e+01        4.82301580e-05  20.0270  19.6162
