# Ic = 3.78 A, n = 25.79 , Tavg = 19.95 K, f28-60e19-1200keV-0nA-20k-after30kAnneal
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-09_00:17:09.630000      718.09        1.70916800e-02        2.85412700e-09  19.9751  19.5961
0202-03-09_00:17:09.840000      718.30        5.04513500e-02        3.04006700e-09  19.9751  19.5961
0202-03-09_00:17:10.035000      718.50        9.85788100e-02        7.68848700e-09  19.9382  19.7583
0202-03-09_00:17:10.242000      718.70        1.49416300e-01        1.27087870e-08  19.9382  19.7583
0202-03-09_00:17:10.434000      718.90        1.99228300e-01        7.75046700e-09  19.9382  19.7583
0202-03-09_00:17:10.630000      719.09        2.44345900e-01        3.41193700e-09  19.9382  19.7583
0202-03-09_00:17:10.855000      719.32        3.00296200e-01        4.89943700e-09  19.9952  19.6191
0202-03-09_00:17:11.062000      719.52        3.46699100e-01        9.85774700e-09  19.9952  19.6191
0202-03-09_00:17:11.266000      719.73        3.95727500e-01        3.16429700e-09  19.9952  19.6191
0202-03-09_00:17:11.457000      719.92        4.46543800e-01       -4.92043000e-10  19.9952  19.6191
0202-03-09_00:17:11.668000      720.13        4.94813800e-01       -2.66089300e-09  19.9952  19.6191
0202-03-09_00:17:11.867000      720.33        5.44628700e-01        9.30131700e-09  19.9180  19.6782
0202-03-09_00:17:12.082000      720.54        5.95826900e-01        9.17735700e-09  19.9180  19.6782
0202-03-09_00:17:12.273000      720.74        6.42845700e-01        9.48725700e-09  19.9180  19.6782
0202-03-09_00:17:12.470000      720.93        6.94171500e-01        3.41331700e-09  19.9180  19.6782
0202-03-09_00:17:12.660000      721.12        7.43806800e-01        4.77685700e-09  19.9180  19.6782
0202-03-09_00:17:12.867000      721.33        7.92171800e-01        5.02476700e-09  19.9938  19.7166
0202-03-09_00:17:13.060000      721.52        8.41099800e-01        5.83049700e-09  19.9938  19.7166
0202-03-09_00:17:13.250000      721.71        8.92173300e-01        9.17735700e-09  19.9938  19.7166
0202-03-09_00:17:13.450000      721.91        9.41921400e-01        1.14705870e-08  19.9938  19.7166
0202-03-09_00:17:13.645000      722.11        9.88259100e-01        7.93778700e-09  19.9938  19.7166
0202-03-09_00:17:13.850000      722.31        1.04113700e+00        6.76018700e-09  19.9244  19.5528
0202-03-09_00:17:14.062000      722.52        1.09102200e+00        6.32632700e-09  19.9244  19.5528
0202-03-09_00:17:14.260000      722.72        1.13807900e+00        6.94611700e-09  19.9244  19.5528
0202-03-09_00:17:14.457000      722.92        1.18983000e+00        3.66123700e-09  19.9244  19.5528
0202-03-09_00:17:14.656000      723.12        1.23931600e+00        2.91748700e-09  19.9244  19.5528
0202-03-09_00:17:14.867000      723.33        1.28715000e+00        3.04144700e-09  19.9736  19.7771
0202-03-09_00:17:15.060000      723.52        1.33775900e+00        5.95445700e-09  19.9736  19.7771
0202-03-09_00:17:15.270000      723.73        1.38807000e+00        9.23933700e-09  19.9736  19.7771
0202-03-09_00:17:15.460000      723.92        1.43311900e+00        9.98308700e-09  19.9736  19.7771
0202-03-09_00:17:15.656000      724.12        1.48704200e+00        1.33919270e-08  19.9736  19.7771
0202-03-09_00:17:15.867000      724.33        1.53714000e+00        1.74205670e-08  19.9547  19.5895
0202-03-09_00:17:16.066000      724.53        1.58340800e+00        1.85981670e-08  19.9547  19.5895
0202-03-09_00:17:16.258000      724.72        1.63605900e+00        1.91559770e-08  19.9547  19.5895
0202-03-09_00:17:16.457000      724.92        1.68595800e+00        1.73585870e-08  19.9547  19.5895
0202-03-09_00:17:16.660000      725.12        1.73397600e+00        1.74205670e-08  19.9547  19.5895
0202-03-09_00:17:16.875000      725.34        1.78504400e+00        1.42596370e-08  19.9567  19.7066
0202-03-09_00:17:17.086000      725.55        1.83323100e+00        1.54992170e-08  19.9567  19.7066
0202-03-09_00:17:17.293000      725.75        1.88377600e+00        2.49821470e-08  19.9567  19.7066
0202-03-09_00:17:17.484000      725.95        1.93385600e+00        2.83911470e-08  19.9567  19.7066
0202-03-09_00:17:17.688000      726.15        1.97878800e+00        2.60360970e-08  19.9567  19.7066
0202-03-09_00:17:17.895000      726.36        2.03377100e+00        1.69872170e-08  19.9515  19.6758
0202-03-09_00:17:18.090000      726.55        2.08316600e+00        1.54377470e-08  19.9515  19.6758
0202-03-09_00:17:18.293000      726.76        2.12839300e+00        1.22148370e-08  19.9515  19.6758
0202-03-09_00:17:18.492000      726.96        2.18270400e+00        2.26892870e-08  19.9515  19.6758
0202-03-09_00:17:18.684000      727.15        2.23145100e+00        1.74830570e-08  19.9515  19.6758
0202-03-09_00:17:18.895000      727.35        2.27678600e+00        2.30611570e-08  19.9625  19.5815
0202-03-09_00:17:19.086000      727.55        2.33049400e+00        1.82267970e-08  19.9625  19.5815
0202-03-09_00:17:19.280000      727.74        2.38084000e+00        2.11398170e-08  19.9625  19.5815
0202-03-09_00:17:19.484000      727.95        2.42724600e+00        1.71111770e-08  19.9625  19.5815
0202-03-09_00:17:19.680000      728.14        2.48000400e+00        1.78549270e-08  19.9625  19.5815
0202-03-09_00:17:19.890000      728.35        2.52945600e+00        1.37023370e-08  19.9261  19.7387
0202-03-09_00:17:20.100000      728.56        2.57760300e+00        1.71731570e-08  19.9261  19.7387
0202-03-09_00:17:20.300000      728.76        2.62855900e+00        1.54377470e-08  19.9261  19.7387
0202-03-09_00:17:20.496000      728.96        2.67686000e+00        1.88465870e-08  19.9261  19.7387
0202-03-09_00:17:20.715000      729.18        2.72500200e+00        1.48799370e-08  19.9261  19.7387
0202-03-09_00:17:20.914000      729.37        2.77790300e+00        1.66153470e-08  19.9841  19.6021
0202-03-09_00:17:21.125000      729.59        2.82182700e+00        1.25247370e-08  19.9841  19.6021
0202-03-09_00:17:21.324000      729.79        2.87535800e+00        1.24627570e-08  19.9841  19.6021
0202-03-09_00:17:21.516000      729.98        2.92617200e+00        8.99193700e-09  19.9841  19.6021
0202-03-09_00:17:21.720000      730.18        2.97400700e+00        1.25247370e-08  19.9841  19.6021
0202-03-09_00:17:21.914000      730.38        3.02404300e+00        7.07058700e-09  19.9172  19.6791
0202-03-09_00:17:22.105000      730.57        3.07529800e+00        5.64506700e-09  19.9172  19.6791
0202-03-09_00:17:22.300000      730.76        3.12494700e+00        3.41382700e-09  19.9172  19.6791
0202-03-09_00:17:22.504000      730.97        3.17002600e+00        9.05391700e-09  19.9172  19.6791
0202-03-09_00:17:22.695000      731.16        3.22393100e+00        1.30825470e-08  19.9172  19.6791
0202-03-09_00:17:22.890000      731.35        3.27358300e+00        1.03554670e-08  19.9895  19.7146
0202-03-09_00:17:23.098000      731.56        3.32020100e+00        9.98359700e-09  19.9895  19.7146
0202-03-09_00:17:23.290000      731.75        3.37281300e+00        6.26430700e-09  19.9895  19.7146
0202-03-09_00:17:23.484000      731.94        3.42273900e+00        1.46309170e-08  19.9895  19.7146
0202-03-09_00:17:23.688000      732.15        3.47068700e+00        2.97530370e-08  19.9895  19.7146
0202-03-09_00:17:23.890000      732.35        3.52103900e+00        4.68592270e-08  19.9233  19.5671
0202-03-09_00:17:24.100000      732.56        3.57313700e+00        6.42133370e-08  19.9233  19.5671
0202-03-09_00:17:24.297000      732.76        3.61779000e+00        8.62158670e-08  19.9233  19.5671
0202-03-09_00:17:24.490000      732.95        3.67099200e+00        1.11689207e-07  19.9233  19.5671
0202-03-09_00:17:24.680000      733.14        3.72072100e+00        1.46769297e-07  19.9233  19.5671
0202-03-09_00:17:24.890000      733.35        3.76667400e+00        2.15689887e-07  19.9680  19.7768
0202-03-09_00:17:25.086000      733.55        3.81979700e+00        2.82751107e-07  19.9680  19.7768
0202-03-09_00:17:25.285000      733.75        3.86966700e+00        3.79376287e-07  19.9680  19.7768
0202-03-09_00:17:25.477000      733.94        3.91571200e+00        5.45107997e-07  19.9680  19.7768
0202-03-09_00:17:25.680000      734.14        3.97030600e+00        7.35073467e-07  19.9680  19.7768
0202-03-09_00:17:25.887000      734.35        4.01869600e+00        9.50822187e-07  19.9404  19.5673
0202-03-09_00:17:26.090000      734.55        4.06600500e+00        1.26393983e-06  19.9404  19.5673
0202-03-09_00:17:26.293000      734.76        4.11908100e+00        1.79237234e-06  19.9404  19.5673
0202-03-09_00:17:26.484000      734.95        4.16769400e+00        3.31507111e-06  19.9404  19.5673
0202-03-09_00:17:26.690000      735.15        4.21353300e+00        3.53559221e-06  19.9404  19.5673
0202-03-09_00:17:26.895000      735.36        4.26679100e+00        5.78307279e-06  19.9580  19.7052
0202-03-09_00:17:27.100000      735.56        4.31614500e+00        5.92605819e-06  19.9580  19.7052
0202-03-09_00:17:27.310000      735.77        4.36329600e+00        9.09212869e-06  19.9580  19.7052
0202-03-09_00:17:27.520000      735.98        4.41580900e+00        1.11526187e-05  19.9580  19.7052
0202-03-09_00:17:27.730000      736.19        4.46572400e+00        1.49764097e-05  19.9580  19.7052
0202-03-09_00:17:27.926000      736.39        4.51390600e+00        1.80332112e-05  19.9474  19.7052
0202-03-09_00:17:28.133000      736.59        4.56537000e+00        2.40730591e-05  19.9474  19.7052
