# Ic = 0.24 A, n = 14.64 , Tavg = 60.02 K, f28-60e19pm2-1200keV-0nA-60k-Afteranneal90k_peak
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-10_16:13:16.220000      79133.53        5.37209000e-02       -2.20612989e-08  60.0222  59.1940
0202-03-10_16:13:16.426000      79133.74        8.76792900e-03       -1.21447159e-08  60.0462  59.1988
0202-03-10_16:13:16.630000      79133.94        1.13814900e-02       -1.28884959e-08  60.0462  59.1988
0202-03-10_16:13:16.820000      79134.14        1.43141400e-02       -1.80948579e-08  60.0462  59.1988
0202-03-10_16:13:17.020000      79134.33        1.72438200e-02       -1.82189319e-08  60.0462  59.1988
0202-03-10_16:13:17.210000      79134.52        2.01974100e-02       -1.66075649e-08  60.0462  59.1988
0202-03-10_16:13:17.418000      79134.73        2.30083600e-02       -1.85908829e-08  60.0117  59.1661
0202-03-10_16:13:17.620000      79134.93        2.62230000e-02       -1.81570319e-08  60.0117  59.1661
0202-03-10_16:13:17.848000      79135.16        2.90918300e-02       -2.08221149e-08  60.0117  59.1661
0202-03-10_16:13:18.062000      79135.38        3.21194700e-02       -2.10700299e-08  60.0117  59.1661
0202-03-10_16:13:18.280000      79135.59        3.52584100e-02       -1.98924349e-08  60.0117  59.1661
0202-03-10_16:13:18.490000      79135.80        3.81554500e-02       -2.03882639e-08  60.0319  59.1981
0202-03-10_16:13:18.684000      79136.00        4.09568400e-02       -2.41689639e-08  60.0319  59.1981
0202-03-10_16:13:18.887000      79136.20        4.33908200e-02       -2.64621749e-08  60.0319  59.1981
0202-03-10_16:13:19.080000      79136.39        4.70863200e-02       -2.92512159e-08  60.0319  59.1981
0202-03-10_16:13:19.305000      79136.62        5.00338100e-02       -2.26814759e-08  60.0319  59.1981
0202-03-10_16:13:19.516000      79136.83        5.30199000e-02       -2.54705159e-08  60.0008  59.2016
0202-03-10_16:13:19.707000      79137.02        5.60416000e-02       -1.82809889e-08  60.0008  59.2016
0202-03-10_16:13:19.902000      79137.21        5.84919100e-02       -2.90652799e-08  60.0008  59.2016
0202-03-10_16:13:20.105000      79137.42        6.18000400e-02       -2.91272579e-08  60.0008  59.2016
