# Ic = 3.73 A, n = 25.61 , Tavg = 20.11 K, f28-6e20pm2-1200keV-0p5nA-20k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-12_21:45:51.914000      13142.09        4.99108200e-02        3.49250400e-09  20.0642  19.6235
0202-03-12_21:45:52.110000      13142.29        4.82203800e-02        5.97165400e-09  20.0915  19.8138
0202-03-12_21:45:52.316000      13142.49        9.72013600e-02        5.17524000e-10  20.0915  19.8138
0202-03-12_21:45:52.508000      13142.69        1.48743200e-01       -2.70537600e-09  20.0915  19.8138
0202-03-12_21:45:52.703000      13142.88        1.98427700e-01       -9.52303600e-09  20.0915  19.8138
0202-03-12_21:45:52.900000      13143.08        2.46277800e-01       -9.27511600e-09  20.0915  19.8138
0202-03-12_21:45:53.110000      13143.29        2.95793100e-01       -6.05222600e-09  20.0770  19.6684
0202-03-12_21:45:53.305000      13143.48        3.47580600e-01       -4.68869600e-09  20.0770  19.6684
0202-03-12_21:45:53.500000      13143.68        3.96264700e-01       -4.19286600e-09  20.0770  19.6684
0202-03-12_21:45:53.695000      13143.87        4.42589100e-01       -7.35377600e-09  20.0770  19.6684
0202-03-12_21:45:53.900000      13144.08        4.95218100e-01       -1.00808460e-08  20.0770  19.6684
0202-03-12_21:45:54.113000      13144.29        5.45375400e-01       -7.41575600e-09  20.0879  19.7345
0202-03-12_21:45:54.324000      13144.50        5.93880000e-01       -2.89130600e-09  20.0879  19.7345
0202-03-12_21:45:54.520000      13144.70        6.43983000e-01        2.31490400e-09  20.0879  19.7345
0202-03-12_21:45:54.730000      13144.91        6.89917100e-01       -5.55639600e-09  20.0879  19.7345
0202-03-12_21:45:54.934000      13145.11        7.43987100e-01       -1.05146960e-08  20.0879  19.7345
0202-03-12_21:45:55.137000      13145.31        7.92677200e-01       -1.81380760e-08  20.0732  19.7761
0202-03-12_21:45:55.336000      13145.51        8.40404100e-01       -9.95688600e-09  20.0732  19.7761
0202-03-12_21:45:55.527000      13145.71        8.91989800e-01       -6.05222600e-09  20.0732  19.7761
