# Ic = 3.75 A, n = 26.02 , Tavg = 20.03 K, f28-6e20pm2-1200keV-0nA-20k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-12_22:11:15.910000      14666.09        4.96849100e-02        1.21862240e-08  20.0404  19.8250
0202-03-12_22:11:16.130000      14666.31        4.89265100e-02        1.27450140e-08  20.0415  19.6340
0202-03-12_22:11:16.324000      14666.50        9.98836900e-02        9.77027400e-09  20.0415  19.6340
0202-03-12_22:11:16.527000      14666.71        1.49252000e-01        1.39228540e-08  20.0415  19.6340
0202-03-12_22:11:16.723000      14666.90        1.97400400e-01        1.51624340e-08  20.0415  19.6340
0202-03-12_22:11:16.914000      14667.09        2.45677900e-01        1.96249040e-08  20.0415  19.6340
0202-03-12_22:11:17.130000      14667.31        2.97980300e-01        1.51624340e-08  20.0250  19.7827
0202-03-12_22:11:17.336000      14667.51        3.46216300e-01        2.14222940e-08  20.0250  19.7827
0202-03-12_22:11:17.540000      14667.72        3.95804200e-01        2.26618740e-08  20.0250  19.7827
0202-03-12_22:11:17.730000      14667.91        4.46453400e-01        2.35915540e-08  20.0250  19.7827
0202-03-12_22:11:17.934000      14668.11        4.93799600e-01        1.77655440e-08  20.0250  19.7827
0202-03-12_22:11:18.145000      14668.32        5.44198000e-01        2.02446940e-08  20.0488  19.7109
0202-03-12_22:11:18.350000      14668.53        5.94856000e-01        2.17321840e-08  20.0488  19.7109
0202-03-12_22:11:18.543000      14668.72        6.42538400e-01        2.12363540e-08  20.0488  19.7109
0202-03-12_22:11:18.734000      14668.91        6.93957800e-01        2.28478040e-08  20.0488  19.7109
0202-03-12_22:11:18.930000      14669.10        7.43391400e-01        1.76415840e-08  20.0488  19.7109
0202-03-12_22:11:19.137000      14669.31        7.88817900e-01        1.87572040e-08  20.0206  19.6549
0202-03-12_22:11:19.344000      14669.52        8.42782600e-01        1.82613740e-08  20.0206  19.6549
0202-03-12_22:11:19.543000      14669.72        8.92388600e-01        1.52863940e-08  20.0206  19.6549
0202-03-12_22:11:19.746000      14669.92        9.38922200e-01        1.02041240e-08  20.0206  19.6549
0202-03-12_22:11:19.950000      14670.13        9.91361300e-01        1.11957840e-08  20.0206  19.6549
0202-03-12_22:11:20.150000      14670.33        1.04123600e+00        1.00801740e-08  20.0322  19.7961
0202-03-12_22:11:20.355000      14670.53        1.08883800e+00        1.00181940e-08  20.0322  19.7961
0202-03-12_22:11:20.547000      14670.73        1.13994100e+00        1.23733840e-08  20.0322  19.7961
0202-03-12_22:11:20.742000      14670.92        1.18993000e+00        1.11957840e-08  20.0322  19.7961
0202-03-12_22:11:20.945000      14671.12        1.23764700e+00        1.34890040e-08  20.0322  19.7961
0202-03-12_22:11:21.150000      14671.33        1.28741500e+00        1.05140240e-08  20.0457  19.6314
0202-03-12_22:11:21.355000      14671.53        1.33849000e+00        2.07405240e-08  20.0457  19.6314
0202-03-12_22:11:21.550000      14671.73        1.38520500e+00        1.93150140e-08  20.0457  19.6314
0202-03-12_22:11:21.742000      14671.92        1.43727600e+00        2.56993440e-08  20.0457  19.6314
0202-03-12_22:11:21.934000      14672.11        1.48703200e+00        2.22910140e-08  20.0457  19.6314
0202-03-12_22:11:22.137000      14672.31        1.53227000e+00        2.44609440e-08  20.0296  19.7921
0202-03-12_22:11:22.330000      14672.51        1.58659800e+00        2.28494940e-08  20.0296  19.7921
0202-03-12_22:11:22.523000      14672.70        1.63581800e+00        2.07422140e-08  20.0296  19.7921
0202-03-12_22:11:22.720000      14672.90        1.68128100e+00        2.20437740e-08  20.0296  19.7921
0202-03-12_22:11:22.914000      14673.09        1.73514900e+00        2.03703440e-08  20.0296  19.7921
0202-03-12_22:11:23.110000      14673.29        1.78519900e+00        2.04323240e-08  20.0559  19.7133
0202-03-12_22:11:23.316000      14673.49        1.83377600e+00        2.22916840e-08  20.0559  19.7133
0202-03-12_22:11:23.508000      14673.69        1.88291700e+00        2.65682240e-08  20.0559  19.7133
0202-03-12_22:11:23.703000      14673.88        1.93366100e+00        2.81796740e-08  20.0559  19.7133
0202-03-12_22:11:23.906000      14674.08        1.98164800e+00        3.01630040e-08  20.0559  19.7133
0202-03-12_22:11:24.113000      14674.29        2.03109200e+00        3.03489340e-08  20.0261  19.6538
0202-03-12_22:11:24.324000      14674.50        2.08302300e+00        3.10926840e-08  20.0261  19.6538
0202-03-12_22:11:24.523000      14674.70        2.13076400e+00        3.76624440e-08  20.0261  19.6538
0202-03-12_22:11:24.727000      14674.90        2.18047600e+00        2.84895740e-08  20.0261  19.6538
0202-03-12_22:11:24.920000      14675.10        2.23206200e+00        2.57005240e-08  20.0261  19.6538
0202-03-12_22:11:25.137000      14675.31        2.28051200e+00        2.30354340e-08  20.0457  19.8300
0202-03-12_22:11:25.340000      14675.52        2.33191600e+00        2.34692840e-08  20.0457  19.8300
0202-03-12_22:11:25.543000      14675.72        2.38124600e+00        2.47708440e-08  20.0457  19.8300
0202-03-12_22:11:25.740000      14675.91        2.42779600e+00        1.88828540e-08  20.0457  19.8300
0202-03-12_22:11:25.930000      14676.11        2.47984200e+00        1.78911940e-08  20.0457  19.8300
0202-03-12_22:11:26.137000      14676.31        2.52945700e+00        1.23130940e-08  20.0406  19.6262
0202-03-12_22:11:26.332000      14676.51        2.57734600e+00        1.80771240e-08  20.0406  19.6262
0202-03-12_22:11:26.523000      14676.70        2.62856800e+00        1.77672340e-08  20.0406  19.6262
0202-03-12_22:11:26.727000      14676.90        2.67831200e+00        1.98745140e-08  20.0406  19.6262
0202-03-12_22:11:26.920000      14677.10        2.72660800e+00        1.16933040e-08  20.0406  19.6262
0202-03-12_22:11:27.137000      14677.31        2.77582100e+00        8.96623400e-09  20.0277  19.7850
0202-03-12_22:11:27.336000      14677.51        2.82761700e+00        1.04537240e-08  20.0277  19.7850
0202-03-12_22:11:27.530000      14677.71        2.87526100e+00        2.24776240e-08  20.0277  19.7850
0202-03-12_22:11:27.734000      14677.91        2.92428500e+00        2.29114440e-08  20.0277  19.7850
0202-03-12_22:11:27.934000      14678.11        2.97578900e+00        1.86348640e-08  20.0277  19.7850
0202-03-12_22:11:28.137000      14678.31        3.02558000e+00        1.29327740e-08  20.0592  19.7316
0202-03-12_22:11:28.344000      14678.52        3.07362200e+00        1.47921440e-08  20.0592  19.7316
0202-03-12_22:11:28.535000      14678.71        3.12513800e+00        1.54739140e-08  20.0592  19.7316
0202-03-12_22:11:28.730000      14678.91        3.17508600e+00        2.18577340e-08  20.0592  19.7316
0202-03-12_22:11:28.938000      14679.11        3.21997700e+00        2.58863540e-08  20.0592  19.7316
0202-03-12_22:11:29.140000      14679.32        3.27383000e+00        3.01628940e-08  20.0331  19.6760
0202-03-12_22:11:29.336000      14679.51        3.32399600e+00        2.69399940e-08  20.0331  19.6760
0202-03-12_22:11:29.527000      14679.70        3.36962800e+00        2.88613440e-08  20.0331  19.6760
0202-03-12_22:11:29.720000      14679.90        3.42298600e+00        3.21462140e-08  20.0331  19.6760
0202-03-12_22:11:29.914000      14680.09        3.47270000e+00        3.75383740e-08  20.0331  19.6760
