# Ic =  nan A, n =  nan , Tavg = 21.65 K, f28-6e20pm2-1200keV-138nA-20k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-12_22:41:28.890000      16479.07        4.94462300e-02        1.20331254e-06  21.6460  19.8312
0202-03-12_22:41:29.100000      16479.28        7.37840800e-03       -1.64929245e-08  21.6504  19.6517
0202-03-12_22:41:29.305000      16479.48        7.80732300e-03       -1.40137745e-08  21.6504  19.6517
0202-03-12_22:41:29.510000      16479.69        8.68890000e-03       -1.61800450e-09  21.6504  19.6517
0202-03-12_22:41:29.703000      16479.88        9.78619600e-03        3.77414550e-09  21.6504  19.6517
0202-03-12_22:41:29.895000      16480.07        1.07434600e-02        1.51162755e-08  21.6504  19.6517
0202-03-12_22:41:30.113000      16480.29        1.15434100e-02        4.68494455e-08  21.6355  19.7995
0202-03-12_22:41:30.332000      16480.51        1.27782100e-02        7.79008355e-08  21.6355  19.7995
0202-03-12_22:41:30.523000      16480.70        1.37399300e-02        2.01424655e-07  21.6355  19.7995
0202-03-12_22:41:30.727000      16480.90        1.44345100e-02        3.18378716e-07  21.6355  19.7995
0202-03-12_22:41:30.930000      16481.11        1.55446400e-02        4.99728796e-07  21.6355  19.7995
0202-03-12_22:41:31.133000      16481.31        1.62852300e-02        7.00044385e-07  21.6603  19.7143
0202-03-12_22:41:31.336000      16481.51        1.74847100e-02        1.04898524e-06  21.6603  19.7143
0202-03-12_22:41:31.530000      16481.71        1.85057900e-02        1.43647691e-06  21.6603  19.7143
0202-03-12_22:41:31.723000      16481.90        1.94437700e-02        2.49507542e-06  21.6603  19.7143
0202-03-12_22:41:31.930000      16482.11        2.02170000e-02        3.68965548e-06  21.6603  19.7143
0202-03-12_22:41:32.130000      16482.31        2.13746300e-02        3.89059086e-06  21.6447  19.6980
0202-03-12_22:41:32.320000      16482.50        2.24877300e-02        5.71971021e-06  21.6447  19.6980
0202-03-12_22:41:32.516000      16482.69        2.35919300e-02        5.84992771e-06  21.6447  19.6980
0202-03-12_22:41:32.707000      16482.89        2.44883400e-02        7.11423401e-06  21.6447  19.6980
0202-03-12_22:41:32.902000      16483.08        2.53535200e-02        7.16580041e-06  21.6447  19.6980
0202-03-12_22:41:33.113000      16483.29        2.61237800e-02        8.40153431e-06  21.6546  19.8153
0202-03-12_22:41:33.312000      16483.49        2.75233200e-02        8.48409011e-06  21.6546  19.8153
0202-03-12_22:41:33.523000      16483.70        2.85102700e-02        9.85375941e-06  21.6546  19.8153
0202-03-12_22:41:33.727000      16483.90        2.93146700e-02        1.00186822e-05  21.6546  19.8153
0202-03-12_22:41:33.926000      16484.10        3.04366800e-02        1.12903575e-05  21.6546  19.8153
0202-03-12_22:41:34.130000      16484.31        3.13568500e-02        1.14990401e-05  21.6585  19.6519
0202-03-12_22:41:34.332000      16484.51        3.23571500e-02        1.27658247e-05  21.6585  19.6519
0202-03-12_22:41:34.527000      16484.70        3.33952400e-02        1.39478843e-05  21.6585  19.6519
0202-03-12_22:41:34.720000      16484.90        3.40289700e-02        1.53784788e-05  21.6585  19.6519
0202-03-12_22:41:34.920000      16485.10        3.51806600e-02        1.56728161e-05  21.6585  19.6519
0202-03-12_22:41:35.130000      16485.30        3.64347500e-02        1.69195195e-05  21.6503  19.8067
0202-03-12_22:41:35.336000      16485.51        3.73727300e-02        1.82753056e-05  21.6503  19.8067
0202-03-12_22:41:35.530000      16485.71        3.81489300e-02        1.84771086e-05  21.6503  19.8067
0202-03-12_22:41:35.734000      16485.91        3.89533300e-02        1.97537477e-05  21.6503  19.8067
0202-03-12_22:41:35.930000      16486.11        4.01629000e-02        2.11387878e-05  21.6503  19.8067
