# Ic = 1.09 A, n = 18.32 , Tavg = 40.03 K, f28-anneal40k-40k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-13_02:20:51.844000      12758.34        5.07693000e-02        1.71372800e-09  40.0105  39.5666
0202-03-13_02:20:52.047000      12758.55        9.84984700e-03       -8.36520000e-11  40.0105  39.5666
0202-03-13_02:20:52.246000      12758.75        1.49003500e-02       -2.99665200e-09  40.0105  39.5666
0202-03-13_02:20:52.450000      12758.95        1.98796100e-02        5.12259800e-09  40.0105  39.5666
0202-03-13_02:20:52.645000      12759.15        2.47060100e-02        3.94499800e-09  40.0071  39.5583
0202-03-13_02:20:52.855000      12759.36        2.98975000e-02        3.01530800e-09  40.0071  39.5583
0202-03-13_02:20:53.047000      12759.55        3.47209300e-02       -1.75707200e-09  40.0071  39.5583
0202-03-13_02:20:53.242000      12759.74        3.92430800e-02        1.09396800e-09  40.0071  39.5583
0202-03-13_02:20:53.450000      12759.95        4.46141600e-02       -7.95496200e-09  40.0071  39.5583
0202-03-13_02:20:53.650000      12760.15        4.92243200e-02       -8.94663200e-09  40.0031  39.5486
0202-03-13_02:20:53.840000      12760.34        5.42629500e-02       -1.27273420e-08  40.0031  39.5486
0202-03-13_02:20:54.043000      12760.54        5.94826500e-02       -5.59976200e-09  40.0031  39.5486
0202-03-13_02:20:54.246000      12760.75        6.44307400e-02       -4.85601200e-09  40.0031  39.5486
0202-03-13_02:20:54.438000      12760.94        6.94901500e-02       -7.45913200e-09  40.0031  39.5486
0202-03-13_02:20:54.645000      12761.14        7.43877900e-02       -7.83100200e-09  40.0068  39.5660
0202-03-13_02:20:54.836000      12761.34        7.93818900e-02       -1.08059920e-08  40.0068  39.5660
0202-03-13_02:20:55.040000      12761.54        8.38150000e-02       -9.50444200e-09  40.0068  39.5660
0202-03-13_02:20:55.230000      12761.73        8.94494900e-02       -5.66174200e-09  40.0068  39.5660
0202-03-13_02:20:55.426000      12761.92        9.44614000e-02       -2.06696200e-09  40.0068  39.5660
0202-03-13_02:20:55.637000      12762.14        9.89345800e-02       -5.79472000e-10  40.0055  39.5580
0202-03-13_02:20:55.836000      12762.34        1.04293800e-01       -5.90966200e-09  40.0055  39.5580
0202-03-13_02:20:56.040000      12762.54        1.09378400e-01       -4.97997200e-09  40.0055  39.5580
0202-03-13_02:20:56.242000      12762.74        1.14075700e-01       -5.35185200e-09  40.0055  39.5580
0202-03-13_02:20:56.445000      12762.94        1.18740300e-01        3.75905800e-09  40.0055  39.5580
0202-03-13_02:20:56.650000      12763.15        1.24280600e-01        8.28352800e-09  40.0049  39.5553
0202-03-13_02:20:56.844000      12763.34        1.29118600e-01        9.02726800e-09  40.0049  39.5553
0202-03-13_02:20:57.050000      12763.55        1.33645200e-01        5.61842800e-09  40.0049  39.5553
0202-03-13_02:20:57.250000      12763.75        1.39069700e-01        7.22088000e-10  40.0049  39.5553
0202-03-13_02:20:57.440000      12763.94        1.44179500e-01        4.81269800e-09  40.0049  39.5553
0202-03-13_02:20:57.652000      12764.15        1.48433000e-01        3.44916800e-09  40.0037  39.5703
0202-03-13_02:20:57.844000      12764.35        1.53762600e-01        9.46095800e-09  40.0037  39.5703
0202-03-13_02:20:58.040000      12764.54        1.59087600e-01        2.70508800e-09  40.0037  39.5703
0202-03-13_02:20:58.246000      12764.74        1.63456900e-01        1.01758000e-10  40.0037  39.5703
0202-03-13_02:20:58.438000      12764.94        1.68839900e-01       -5.91020200e-09  40.0037  39.5703
0202-03-13_02:20:58.633000      12765.13        1.74108500e-01       -6.15811200e-09  40.0085  39.5632
0202-03-13_02:20:58.840000      12765.34        1.78746400e-01       -1.63365200e-09  40.0085  39.5632
0202-03-13_02:20:59.030000      12765.53        1.83753900e-01        2.82882800e-09  40.0085  39.5632
0202-03-13_02:20:59.223000      12765.72        1.88848900e-01        9.07488000e-10  40.0085  39.5632
0202-03-13_02:20:59.430000      12765.93        1.93549200e-01        2.27101800e-09  40.0085  39.5632
0202-03-13_02:20:59.637000      12766.14        1.98022400e-01       -2.93521200e-09  40.0151  39.5723
0202-03-13_02:20:59.830000      12766.33        2.03587800e-01        1.34133800e-09  40.0151  39.5723
0202-03-13_02:21:00.035000      12766.53        2.08565800e-01       -5.10447200e-09  40.0151  39.5723
0202-03-13_02:21:00.227000      12766.73        2.13438200e-01       -2.68729200e-09  40.0151  39.5723
0202-03-13_02:21:00.430000      12766.93        2.18205300e-01        3.49678000e-10  40.0151  39.5723
0202-03-13_02:21:00.633000      12767.13        2.23612000e-01        6.29964800e-09  40.0102  39.5722
0202-03-13_02:21:00.840000      12767.34        2.28353800e-01        2.51893800e-09  40.0102  39.5722
0202-03-13_02:21:01.040000      12767.54        2.33195000e-01       -2.43938200e-09  40.0102  39.5722
0202-03-13_02:21:01.242000      12767.74        2.38126800e-01       -4.23677200e-09  40.0102  39.5722
0202-03-13_02:21:01.445000      12767.95        2.43368700e-01        7.21548000e-10  40.0102  39.5722
0202-03-13_02:21:01.645000      12768.15        2.48024700e-01       -4.60864200e-09  40.0068  39.5531
0202-03-13_02:21:01.855000      12768.36        2.53020300e-01       -8.51331200e-09  40.0068  39.5531
0202-03-13_02:21:02.047000      12768.55        2.58130200e-01       -4.17479200e-09  40.0068  39.5531
0202-03-13_02:21:02.240000      12768.74        2.62839300e-01        9.07488000e-10  40.0068  39.5531
0202-03-13_02:21:02.440000      12768.94        2.68122800e-01       -6.59197200e-09  40.0068  39.5531
0202-03-13_02:21:02.645000      12769.14        2.73247500e-01       -1.27278820e-08  40.0148  39.5708
0202-03-13_02:21:02.836000      12769.34        2.78001200e-01       -1.04966420e-08  40.0148  39.5708
0202-03-13_02:21:03.030000      12769.53        2.83072500e-01       -1.94355200e-09  40.0148  39.5708
0202-03-13_02:21:03.227000      12769.73        2.87811400e-01       -1.69563200e-09  40.0148  39.5708
0202-03-13_02:21:03.418000      12769.92        2.92550200e-01       -5.84822200e-09  40.0148  39.5708
0202-03-13_02:21:03.630000      12770.13        2.98121700e-01       -6.09613200e-09  40.0241  39.5760
