# Ic = 0.64 A, n = 18.25 , Tavg = 49.93 K, f28-anneal150k-unknownTime-50k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K
0202-03-13_14:16:02.870000      2203.92        5.00103500e-02       -9.81128500e-09  49.9535  49.3242
0202-03-13_14:16:03.062000      2204.12        1.51020000e-02       -6.03056500e-09  49.9535  49.3242
0202-03-13_14:16:03.270000      2204.32        2.38076500e-02       -2.80765500e-09  49.9535  49.3242
0202-03-13_14:16:03.460000      2204.52        3.43999300e-02       -4.23316500e-09  49.9535  49.3242
0202-03-13_14:16:03.670000      2204.73        4.44890800e-02       -3.48941500e-09  49.9149  49.3167
0202-03-13_14:16:03.880000      2204.94        5.37530600e-02       -6.03056500e-09  49.9149  49.3167
0202-03-13_14:16:04.082000      2205.14        6.41850500e-02       -6.34045500e-09  49.9149  49.3167
0202-03-13_14:16:04.290000      2205.34        7.42534300e-02       -1.13421500e-09  49.9149  49.3167
0202-03-13_14:16:04.496000      2205.55        8.36346600e-02       -1.87796500e-09  49.9149  49.3167
0202-03-13_14:16:04.695000      2205.75        9.39449500e-02        1.09703500e-09  49.9531  49.3356
0202-03-13_14:16:04.887000      2205.94        1.03532200e-01       -3.05556500e-09  49.9531  49.3356
0202-03-13_14:16:05.100000      2206.16        1.13205800e-01       -5.14425000e-10  49.9531  49.3356
0202-03-13_14:16:05.316000      2206.37        1.23832200e-01       -1.01025500e-09  49.9531  49.3356
0202-03-13_14:16:05.574000      2206.63        1.33565200e-01       -3.17952500e-09  49.9531  49.3356
0202-03-13_14:16:05.785000      2206.84        1.43600900e-01       -4.23316500e-09  49.9278  49.3211
0202-03-13_14:16:05.980000      2207.04        1.53466000e-01       -1.75400500e-09  49.9278  49.3211
0202-03-13_14:16:06.190000      2207.25        1.63242000e-01        7.97670500e-09  49.9278  49.3211
0202-03-13_14:16:06.390000      2207.45        1.73715100e-01        6.24129500e-09  49.9278  49.3211
0202-03-13_14:16:06.610000      2207.66        1.83231300e-01        2.21265500e-09  49.9549  49.3241
0202-03-13_14:16:06.805000      2207.86        1.93161700e-01        2.64635500e-09  49.9549  49.3241
0202-03-13_14:16:07.020000      2208.07        2.03283500e-01        5.18729500e-09  49.9549  49.3241
0202-03-13_14:16:07.220000      2208.27        2.13064000e-01        7.10848500e-09  49.9549  49.3241
0202-03-13_14:16:07.426000      2208.48        2.23454400e-01        4.07151500e-09  49.9549  49.3241
0202-03-13_14:16:07.637000      2208.69        2.33261600e-01        2.58402500e-09  49.9253  49.3063
0202-03-13_14:16:07.850000      2208.91        2.42826800e-01        2.33610500e-09  49.9253  49.3063
0202-03-13_14:16:08.066000      2209.12        2.53040900e-01        2.46006500e-09  49.9253  49.3063
0202-03-13_14:16:08.260000      2209.32        2.62316700e-01        1.03933750e-08  49.9253  49.3063
0202-03-13_14:16:08.453000      2209.51        2.72739800e-01        1.05793150e-08  49.9253  49.3063
0202-03-13_14:16:08.670000      2209.73        2.82778500e-01        1.31824350e-08  49.9576  49.3281
0202-03-13_14:16:08.867000      2209.92        2.92697000e-01        1.52897250e-08  49.9576  49.3281
0202-03-13_14:16:09.070000      2210.13        3.02493800e-01        1.43600350e-08  49.9576  49.3281
0202-03-13_14:16:09.273000      2210.33        3.12391500e-01        2.22933550e-08  49.9576  49.3281
0202-03-13_14:16:09.492000      2210.55        3.22100700e-01        2.13016850e-08  49.9576  49.3281
0202-03-13_14:16:09.700000      2210.76        3.32931000e-01        2.19214750e-08  49.9157  49.3020
0202-03-13_14:16:09.895000      2210.95        3.42040600e-01        1.61574250e-08  49.9157  49.3020
0202-03-13_14:16:10.086000      2211.14        3.52296000e-01        1.65293050e-08  49.9157  49.3020
0202-03-13_14:16:10.280000      2211.33        3.62257500e-01        2.01860650e-08  49.9157  49.3020
0202-03-13_14:16:10.560000      2211.61        3.71831600e-01        1.86985650e-08  49.9157  49.3020
0202-03-13_14:16:10.766000      2211.82        3.81916300e-01        1.23767050e-08  49.9475  49.3324
0202-03-13_14:16:10.970000      2212.02        3.91331700e-01        1.52897250e-08  49.9475  49.3324
0202-03-13_14:16:11.160000      2212.21        4.01824400e-01        1.64673250e-08  49.9475  49.3324
0202-03-13_14:16:11.375000      2212.43        4.11649400e-01        2.14256450e-08  49.9475  49.3324
0202-03-13_14:16:11.605000      2212.66        4.21680700e-01        2.40907450e-08  49.9340  49.3181
0202-03-13_14:16:11.812000      2212.87        4.31381000e-01        2.51443850e-08  49.9340  49.3181
0202-03-13_14:16:12.020000      2213.07        4.41250500e-01        2.03100250e-08  49.9340  49.3181
0202-03-13_14:16:12.220000      2213.27        4.51434600e-01        1.60954450e-08  49.9340  49.3181
0202-03-13_14:16:12.430000      2213.48        4.60695600e-01        1.08272350e-08  49.9340  49.3181
0202-03-13_14:16:12.650000      2213.70        4.71443700e-01        1.71490450e-08  49.9670  49.3426
0202-03-13_14:16:12.844000      2213.90        4.80894700e-01        1.92561450e-08  49.9670  49.3426
0202-03-13_14:16:13.040000      2214.09        4.90342700e-01        1.54752850e-08  49.9670  49.3426
0202-03-13_14:16:13.250000      2214.31        5.01251100e-01        1.11986350e-08  49.9670  49.3426
0202-03-13_14:16:13.445000      2214.50        5.10947000e-01        1.57231050e-08  49.9670  49.3426
0202-03-13_14:16:13.650000      2214.70        5.19667800e-01        2.05574650e-08  49.9285  49.3336
0202-03-13_14:16:13.863000      2214.92        5.30821000e-01        1.46074850e-08  49.9285  49.3336
0202-03-13_14:16:14.066000      2215.12        5.40493100e-01        1.65288350e-08  49.9285  49.3336
0202-03-13_14:16:14.277000      2215.33        5.49710800e-01        1.60329950e-08  49.9285  49.3336
0202-03-13_14:16:14.496000      2215.55        5.60335700e-01        2.57017250e-08  49.9285  49.3336
0202-03-13_14:16:14.690000      2215.75        5.69647200e-01        2.68793250e-08  49.9663  49.3354
0202-03-13_14:16:14.902000      2215.96        5.79953000e-01        2.74991150e-08  49.9663  49.3354
0202-03-13_14:16:15.098000      2216.15        5.90014000e-01        3.62381550e-08  49.9663  49.3354
0202-03-13_14:16:15.293000      2216.35        5.99289800e-01        3.82834650e-08  49.9663  49.3354
0202-03-13_14:16:15.510000      2216.56        6.10032000e-01        6.25792350e-08  49.9663  49.3354
0202-03-13_14:16:15.723000      2216.78        6.19511200e-01        8.63171950e-08  49.9231  49.3019
0202-03-13_14:16:15.918000      2216.97        6.29764900e-01        1.38751435e-07  49.9231  49.3019
0202-03-13_14:16:16.133000      2217.19        6.39886700e-01        1.81207055e-07  49.9231  49.3019
0202-03-13_14:16:16.332000      2217.39        6.49238300e-01        2.52296975e-07  49.9231  49.3019
0202-03-13_14:16:16.582000      2217.64        6.59609400e-01        3.19916075e-07  49.9231  49.3019
0202-03-13_14:16:16.805000      2217.86        6.69708900e-01        4.80627635e-07  49.9754  49.3437
0202-03-13_14:16:17.008000      2218.06        6.79297900e-01        6.05205435e-07  49.9754  49.3437
0202-03-13_14:16:17.210000      2218.27        6.89238700e-01        8.07133045e-07  49.9754  49.3437
0202-03-13_14:16:17.410000      2218.47        6.99543600e-01        1.00608566e-06  49.9754  49.3437
0202-03-13_14:16:17.625000      2218.68        7.09324000e-01        1.36853889e-06  49.9153  49.3082
0202-03-13_14:16:17.824000      2218.88        7.18893700e-01        1.69287503e-06  49.9153  49.3082
0202-03-13_14:16:18.040000      2219.09        7.29149100e-01        2.23395176e-06  49.9153  49.3082
0202-03-13_14:16:18.240000      2219.29        7.38479800e-01        2.67902301e-06  49.9153  49.3082
0202-03-13_14:16:18.445000      2219.50        7.48779700e-01        3.92734217e-06  49.9153  49.3082
0202-03-13_14:16:18.645000      2219.70        7.58702700e-01        5.66138581e-06  49.9656  49.3417
0202-03-13_14:16:18.855000      2219.91        7.68026000e-01        5.77474533e-06  49.9656  49.3417
0202-03-13_14:16:19.074000      2220.13        7.78734800e-01        8.25396578e-06  49.9656  49.3417
0202-03-13_14:16:19.270000      2220.33        7.87929000e-01        9.93359564e-06  49.9656  49.3417
0202-03-13_14:16:19.465000      2220.52        7.97792500e-01        1.14328666e-05  49.9656  49.3417
