# Ic = 4.59 A, n = 16.21 , Tavg = 50.04 K, 50k-15e19pm2-03T-0nA
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-27_04:52:17.830000      31724.89        9.42755800e-03        4.36756471e-09  50.0116  49.1716  49.5126  0.0000
0202-03-27_04:52:18.200000      31725.26        1.12267400e-01       -2.88373529e-09  50.0116  49.1716  49.5126  0.0000
0202-03-27_04:52:18.625000      31725.69        2.11768700e-01        3.49986471e-09  50.0249  49.1735  49.5227  0.0000
0202-03-27_04:52:18.980000      31726.04        3.11275700e-01       -3.75143529e-09  50.0249  49.1735  49.5227  0.0000
0202-03-27_04:52:19.340000      31726.40        4.11118400e-01        2.26036471e-09  50.0268  49.1742  49.5282  0.0000
0202-03-27_04:52:19.688000      31726.75        5.09601500e-01       -1.43494353e-08  50.0268  49.1742  49.5282  0.0000
0202-03-27_04:52:20.035000      31727.10        6.10072400e-01        2.03574647e-08  50.0268  49.1742  49.5282  0.0000
0202-03-27_04:52:20.387000      31727.45        7.08770800e-01        1.37259647e-08  50.0336  49.1750  49.5358  0.0000
0202-03-27_04:52:20.734000      31727.80        8.08268600e-01        1.42820647e-08  50.0336  49.1750  49.5358  0.0000
0202-03-27_04:52:21.082000      31728.15        9.07410700e-01        4.92938647e-08  50.0336  49.1750  49.5358  0.0000
0202-03-27_04:52:21.434000      31728.49        1.00752800e+00        6.09446471e-09  50.0323  49.1756  49.5315  0.0000
0202-03-27_04:52:21.780000      31728.84        1.10625700e+00       -3.45002353e-08  50.0323  49.1756  49.5315  0.0000
0202-03-27_04:52:22.137000      31729.20        1.20592600e+00       -1.88201353e-08  50.0323  49.1756  49.5315  0.0000
0202-03-27_04:52:22.484000      31729.55        1.30516600e+00       -1.46057353e-08  50.0288  49.1758  49.5189  0.0000
0202-03-27_04:52:22.832000      31729.90        1.40479200e+00       -2.43980353e-08  50.0288  49.1758  49.5189  0.0000
0202-03-27_04:52:23.195000      31730.26        1.50401800e+00       -1.29324353e-08  50.0288  49.1758  49.5189  0.0000
0202-03-27_04:52:23.613000      31730.68        1.60350300e+00       -1.87582353e-08  50.0260  49.1758  49.5280  0.0000
0202-03-27_04:52:23.973000      31731.03        1.70300000e+00       -1.12590353e-08  50.0260  49.1758  49.5280  0.0000
0202-03-27_04:52:24.320000      31731.38        1.80211500e+00       -8.96583529e-09  50.0244  49.1758  49.5220  0.0000
0202-03-27_04:52:24.676000      31731.74        1.90176300e+00       -1.00195353e-08  50.0244  49.1758  49.5220  0.0000
0202-03-27_04:52:25.023000      31732.09        2.00127900e+00       -1.56593353e-08  50.0244  49.1758  49.5220  0.0000
0202-03-27_04:52:25.370000      31732.43        2.10067600e+00       -2.35304353e-08  50.0262  49.1760  49.5301  0.0000
0202-03-27_04:52:25.720000      31732.78        2.19942400e+00       -2.66912353e-08  50.0262  49.1760  49.5301  0.0000
0202-03-27_04:52:26.066000      31733.13        2.29912300e+00       -2.75588353e-08  50.0262  49.1760  49.5301  0.0000
0202-03-27_04:52:26.414000      31733.48        2.39912200e+00       -2.63813353e-08  50.0352  49.1761  49.5352  0.0000
0202-03-27_04:52:26.760000      31733.82        2.49842400e+00       -2.59441353e-08  50.0352  49.1761  49.5352  0.0000
0202-03-27_04:52:27.120000      31734.18        2.59720700e+00       -3.02791353e-08  50.0352  49.1761  49.5352  0.0000
0202-03-27_04:52:27.470000      31734.53        2.69672800e+00       -3.01552353e-08  50.0370  49.1767  49.5300  0.0000
0202-03-27_04:52:27.816000      31734.88        2.79607600e+00       -3.35639353e-08  50.0370  49.1767  49.5300  0.0000
0202-03-27_04:52:28.164000      31735.23        2.89548700e+00       -3.40597353e-08  50.0370  49.1767  49.5300  0.0000
0202-03-27_04:52:28.510000      31735.58        2.99488700e+00       -3.77163353e-08  50.0301  49.1769  49.5301  0.0000
0202-03-27_04:52:28.870000      31735.93        3.09384900e+00       -3.66627353e-08  50.0301  49.1769  49.5301  0.0000
0202-03-27_04:52:29.285000      31736.35        3.19337900e+00       -3.44935353e-08  50.0301  49.1769  49.5301  0.0000
0202-03-27_04:52:29.652000      31736.71        3.29286100e+00       -3.28202353e-08  50.0358  49.1767  49.5259  0.0000
0202-03-27_04:52:30             31737.06        3.39212200e+00       -3.99475353e-08  50.0358  49.1767  49.5259  0.0000
0202-03-27_04:52:30.355000      31737.42        3.49172300e+00       -4.52775353e-08  50.0361  49.1767  49.5291  0.0000
0202-03-27_04:52:30.703000      31737.77        3.59088100e+00       -3.95756353e-08  50.0361  49.1767  49.5291  0.0000
0202-03-27_04:52:31.050000      31738.11        3.69079500e+00       -4.28604353e-08  50.0361  49.1767  49.5291  0.0000
0202-03-27_04:52:31.400000      31738.46        3.78985600e+00       -4.14349353e-08  50.0342  49.1768  49.5287  0.0000
0202-03-27_04:52:31.746000      31738.81        3.88902900e+00       -3.58570353e-08  50.0342  49.1768  49.5287  0.0000
0202-03-27_04:52:32.105000      31739.17        3.98828400e+00       -3.80882353e-08  50.0342  49.1768  49.5287  0.0000
0202-03-27_04:52:32.453000      31739.52        4.08809000e+00       -3.28829353e-08  50.0310  49.1769  49.5324  0.0000
0202-03-27_04:52:32.800000      31739.86        4.18745700e+00       -2.24730353e-08  50.0310  49.1769  49.5324  0.0000
0202-03-27_04:52:33.150000      31740.21        4.28688500e+00       -4.10035294e-10  50.0310  49.1769  49.5324  0.0000
0202-03-27_04:52:33.496000      31740.56        4.38638900e+00        2.36368647e-08  50.0321  49.1774  49.5288  0.0000
0202-03-27_04:52:33.855000      31740.92        4.48579600e+00        6.84460647e-08  50.0321  49.1774  49.5288  0.0000
0202-03-27_04:52:34.242000      31741.31        4.58498900e+00        1.28315465e-07  50.0321  49.1774  49.5288  0.0000
0202-03-27_04:52:34.613000      31741.68        4.68436500e+00        2.14586965e-07  50.0298  49.1774  49.5252  0.0000
0202-03-27_04:52:34.960000      31742.02        4.78352500e+00        3.26826665e-07  50.0298  49.1774  49.5252  0.0000
0202-03-27_04:52:35.310000      31742.37        4.88339800e+00        4.71604065e-07  50.0298  49.1774  49.5252  0.0000
0202-03-27_04:52:35.670000      31742.73        4.98273400e+00        7.25088565e-07  50.0326  49.1773  49.5220  0.0000
0202-03-27_04:52:36.020000      31743.08        5.08173000e+00        1.00925136e-06  50.0326  49.1773  49.5220  0.0000
0202-03-27_04:52:36.367000      31743.43        5.18106000e+00        1.40081986e-06  50.0332  49.1775  49.5270  0.0000
0202-03-27_04:52:36.715000      31743.78        5.28054500e+00        1.90183896e-06  50.0332  49.1775  49.5270  0.0000
0202-03-27_04:52:37.074000      31744.13        5.38019500e+00        2.96647366e-06  50.0332  49.1775  49.5270  0.0000
0202-03-27_04:52:37.418000      31744.48        5.47839400e+00        3.45044926e-06  50.0311  49.1775  49.5286  0.0000
0202-03-27_04:52:37.770000      31744.83        5.57878100e+00        5.12666946e-06  50.0311  49.1775  49.5286  0.0000
0202-03-27_04:52:38.117000      31745.18        5.67801400e+00        6.69281912e-06  50.0311  49.1775  49.5286  0.0000
0202-03-27_04:52:38.465000      31745.53        5.77742900e+00        8.62339611e-06  50.0443  49.1776  49.5403  0.0000
0202-03-27_04:52:38.820000      31745.88        5.87709100e+00        1.10934734e-05  50.0443  49.1776  49.5403  0.0000
0202-03-27_04:52:39.168000      31746.23        5.97637500e+00        1.41280954e-05  50.0443  49.1776  49.5403  0.0000
0202-03-27_04:52:39.516000      31746.58        6.07553200e+00        1.79182895e-05  50.0447  49.1778  49.5360  0.0000
0202-03-27_04:52:39.863000      31746.92        6.17514300e+00        2.24067236e-05  50.0447  49.1778  49.5360  0.0000
