# Ic = 8.69 A, n = 21.14 , Tavg = 22.30 K, 22k-30p4pm2-03T-0nA-anneal30k-6min
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-29_03:23:16.820000      5474.59        7.35451000e-03       -3.15636429e-09  22.2914  19.7737  19.9534  0.0000
0202-03-29_03:23:17.168000      5474.94        3.08925800e-01        1.49183571e-09  22.2914  19.7737  19.9534  0.0000
0202-03-29_03:23:17.555000      5475.32        6.07000600e-01       -1.27625643e-08  22.2914  19.7737  19.9534  0.0000
0202-03-29_03:23:17.918000      5475.69        9.05747500e-01        2.48343571e-09  22.2940  19.7807  19.9628  0.0000
0202-03-29_03:23:18.266000      5476.03        1.20363200e+00       -6.37906429e-09  22.2940  19.7807  19.9628  0.0000
0202-03-29_03:23:18.617000      5476.39        1.50198200e+00        1.42983571e-09  22.3064  19.7760  19.9805  0.0000
0202-03-29_03:23:18.980000      5476.75        1.80024500e+00       -1.07793643e-08  22.3064  19.7760  19.9805  0.0000
0202-03-29_03:23:19.330000      5477.09        2.09823000e+00       -7.43266429e-09  22.3064  19.7760  19.9805  0.0000
0202-03-29_03:23:19.676000      5477.44        2.39654500e+00        4.38235714e-10  22.2888  19.7739  19.9476  0.0000
0202-03-29_03:23:20.023000      5477.79        2.69510100e+00       -4.91364286e-10  22.2888  19.7739  19.9476  0.0000
0202-03-29_03:23:20.370000      5478.14        2.99310300e+00       -1.54166429e-09  22.2888  19.7739  19.9476  0.0000
0202-03-29_03:23:20.727000      5478.50        3.29123000e+00        5.06835714e-10  22.3046  19.7844  19.9833  0.0000
0202-03-29_03:23:21.074000      5478.84        3.58941000e+00        2.30413571e-09  22.3046  19.7844  19.9833  0.0000
0202-03-29_03:23:21.420000      5479.19        3.88719600e+00        6.27053571e-09  22.3046  19.7844  19.9833  0.0000
0202-03-29_03:23:21.770000      5479.54        4.18553200e+00        1.68433571e-09  22.2994  19.7711  19.9620  0.0000
0202-03-29_03:23:22.117000      5479.88        4.48382600e+00        4.78313571e-09  22.2994  19.7711  19.9620  0.0000
0202-03-29_03:23:22.477000      5480.24        4.78171200e+00        1.29639357e-08  22.2994  19.7711  19.9620  0.0000
0202-03-29_03:23:22.855000      5480.63        5.08011100e+00        1.71163357e-08  22.2948  19.7833  19.9665  0.0000
0202-03-29_03:23:23.203000      5480.97        5.37780100e+00        2.05250357e-08  22.2948  19.7833  19.9665  0.0000
0202-03-29_03:23:23.590000      5481.36        5.67638700e+00        1.75501357e-08  22.2948  19.7833  19.9665  0.0000
0202-03-29_03:23:23.957000      5481.72        5.97406300e+00        1.99052357e-08  22.3086  19.7775  19.9850  0.0000
0202-03-29_03:23:24.305000      5482.07        6.27278400e+00        2.17645357e-08  22.3086  19.7775  19.9850  0.0000
0202-03-29_03:23:24.652000      5482.42        6.57085200e+00        1.66205357e-08  22.2934  19.7750  19.9555  0.0000
0202-03-29_03:23:25             5482.77        6.86853300e+00        1.82318357e-08  22.2934  19.7750  19.9555  0.0000
0202-03-29_03:23:25.348000      5483.12        7.16726000e+00        2.91396357e-08  22.2934  19.7750  19.9555  0.0000
0202-03-29_03:23:25.707000      5483.48        7.46505500e+00        3.43456357e-08  22.3054  19.7852  19.9841  0.0000
0202-03-29_03:23:26.055000      5483.82        7.76313400e+00        5.67805357e-08  22.3054  19.7852  19.9841  0.0000
0202-03-29_03:23:26.402000      5484.17        8.06189600e+00        8.11981357e-08  22.3054  19.7852  19.9841  0.0000
0202-03-29_03:23:26.750000      5484.52        8.35947700e+00        1.31212236e-07  22.2999  19.7713  19.9633  0.0000
0202-03-29_03:23:27.098000      5484.87        8.65725600e+00        2.34277936e-07  22.2999  19.7713  19.9633  0.0000
0202-03-29_03:23:27.457000      5485.22        8.95565700e+00        4.23923886e-07  22.2999  19.7713  19.9633  0.0000
0202-03-29_03:23:27.805000      5485.57        9.25384600e+00        8.04331266e-07  22.2951  19.7830  19.9624  0.0000
0202-03-29_03:23:28.152000      5485.92        9.55225900e+00        1.44578066e-06  22.2951  19.7830  19.9624  0.0000
0202-03-29_03:23:28.523000      5486.29        9.85018500e+00        3.28596572e-06  22.2951  19.7830  19.9624  0.0000
0202-03-29_03:23:28.906000      5486.67        1.01481900e+01        5.77745432e-06  22.3056  19.7779  19.9783  0.0000
0202-03-29_03:23:29.254000      5487.02        1.04465800e+01        9.79385714e-06  22.3056  19.7779  19.9783  0.0000
0202-03-29_03:23:29.605000      5487.37        1.07444900e+01        1.69209279e-05  22.3056  19.7779  19.9783  0.0000
0202-03-29_03:23:29.973000      5487.74        1.10432600e+01        3.08457926e-05  22.2952  19.7754  19.9510  0.0000
