# Ic = 8.45 A, n = 21.20 , Tavg = 22.02 K, ffj51-45e19pm2-anneal300k-60min-0nA-03T-22k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-04-02_21:58:16.990000      130416.11        6.63208900e-03       -1.07414154e-08  22.0173  18.7501  18.9091  0.0000
0202-04-02_21:58:17.355000      130416.48        2.09837800e-01        6.92248462e-09  22.0173  18.7501  18.9091  0.0000
0202-04-02_21:58:17.758000      130416.88        4.08065500e-01       -3.56568154e-08  22.0176  18.7449  18.9228  0.0000
0202-04-02_21:58:18.117000      130417.24        6.07104300e-01       -2.42527154e-08  22.0176  18.7449  18.9228  0.0000
0202-04-02_21:58:18.473000      130417.60        8.05677900e-01       -3.73781538e-09  22.0041  18.7421  18.8913  0.0000
0202-04-02_21:58:18.840000      130417.97        1.00459700e+00       -1.87986154e-08  22.0041  18.7421  18.8913  0.0000
0202-04-02_21:58:19.203000      130418.33        1.20357300e+00       -2.36329154e-08  22.0041  18.7421  18.8913  0.0000
0202-04-02_21:58:19.570000      130418.70        1.40259700e+00       -1.50179154e-08  22.0188  18.7526  18.9251  0.0000
0202-04-02_21:58:19.920000      130419.05        1.60150400e+00       -7.27061538e-09  22.0188  18.7526  18.9251  0.0000
0202-04-02_21:58:20.273000      130419.40        1.79983200e+00       -7.02261538e-09  22.0188  18.7526  18.9251  0.0000
0202-04-02_21:58:20.637000      130419.76        1.99851900e+00       -9.37781538e-09  22.0251  18.7385  18.9109  0.0000
0202-04-02_21:58:20.984000      130420.11        2.19725100e+00       -7.14241538e-09  22.0251  18.7385  18.9109  0.0000
0202-04-02_21:58:21.360000      130420.49        2.39676400e+00       -2.79541538e-09  22.0251  18.7385  18.9109  0.0000
0202-04-02_21:58:21.777000      130420.90        2.59452700e+00       -1.57475154e-08  22.0118  18.7509  18.9121  0.0000
0202-04-02_21:58:22.145000      130421.27        2.79452400e+00       -1.29584154e-08  22.0118  18.7509  18.9121  0.0000
0202-04-02_21:58:22.504000      130421.63        2.99295800e+00       -7.50431538e-09  22.0183  18.7455  18.9242  0.0000
0202-04-02_21:58:22.880000      130422.00        3.19179500e+00       -1.61193154e-08  22.0183  18.7455  18.9242  0.0000
0202-04-02_21:58:23.242000      130422.37        3.39027000e+00       -1.73589154e-08  22.0183  18.7455  18.9242  0.0000
0202-04-02_21:58:23.600000      130422.73        3.58777500e+00       -1.42600154e-08  22.0078  18.7430  18.8891  0.0000
0202-04-02_21:58:23.965000      130423.09        3.78734400e+00       -1.13470154e-08  22.0078  18.7430  18.8891  0.0000
0202-04-02_21:58:24.320000      130423.44        3.98613000e+00       -1.06033154e-08  22.0078  18.7430  18.8891  0.0000
0202-04-02_21:58:24.688000      130423.81        4.18458700e+00       -9.98351538e-09  22.0258  18.7536  18.9287  0.0000
0202-04-02_21:58:25.043000      130424.17        4.38386800e+00       -9.05381538e-09  22.0258  18.7536  18.9287  0.0000
0202-04-02_21:58:25.445000      130424.57        4.58207900e+00       -1.74031538e-09  22.0258  18.7536  18.9287  0.0000
0202-04-02_21:58:25.816000      130424.94        4.77881300e+00       -1.67831538e-09  22.0117  18.7395  18.8921  0.0000
