# Ic =  nan A, n =  nan , Tavg = 22.02 K, ffj51-30p3e10pm2-03T-22k-30nA
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-29_02:37:19.652000      2717.42        7.24016400e-03       -7.02543333e-09  22.0067  19.4075  19.6024  0.0000
0202-03-29_02:37:20.016000      2717.78        3.09396900e-01        3.13856667e-09  22.0067  19.4075  19.6024  0.0000
0202-03-29_02:37:20.363000      2718.13        6.07296900e-01       -1.97304333e-08  22.0067  19.4075  19.6024  0.0000
0202-03-29_02:37:20.715000      2718.48        9.05449200e-01       -1.48343333e-08  22.0039  19.3936  19.5840  0.0000
0202-03-29_02:37:21.062000      2718.83        1.20370100e+00        1.16912667e-08  22.0039  19.3936  19.5840  0.0000
0202-03-29_02:37:21.414000      2719.18        1.50163600e+00        4.31616667e-09  22.0039  19.3936  19.5840  0.0000
0202-03-29_02:37:21.760000      2719.53        1.79987400e+00       -2.31523333e-09  21.9980  19.4034  19.5838  0.0000
0202-03-29_02:37:22.113000      2719.88        2.09785700e+00       -1.07439333e-08  21.9980  19.4034  19.5838  0.0000
0202-03-29_02:37:22.460000      2720.23        2.39664600e+00       -9.44243333e-09  21.9980  19.4034  19.5838  0.0000
0202-03-29_02:37:22.812000      2720.58        2.69442700e+00       -1.16116333e-08  22.0121  19.4011  19.6067  0.0000
0202-03-29_02:37:23.160000      2720.93        2.99256900e+00       -1.32849333e-08  22.0121  19.4011  19.6067  0.0000
0202-03-29_02:37:23.605000      2721.37        3.29023400e+00       -1.71274333e-08  22.0121  19.4011  19.6067  0.0000
0202-03-29_02:37:23.965000      2721.73        3.58857800e+00       -7.52123333e-09  21.9952  19.3959  19.5689  0.0000
0202-03-29_02:37:24.312000      2722.08        3.88654200e+00       -1.30370333e-08  21.9952  19.3959  19.5689  0.0000
0202-03-29_02:37:24.688000      2722.45        4.18487900e+00       -1.88015333e-08  22.0095  19.4077  19.6088  0.0000
0202-03-29_02:37:25.047000      2722.82        4.48303600e+00       -1.19267333e-08  22.0095  19.4077  19.6088  0.0000
0202-03-29_02:37:25.414000      2723.18        4.78115800e+00       -3.74813333e-09  22.0095  19.4077  19.6088  0.0000
0202-03-29_02:37:25.760000      2723.53        5.07937700e+00       -2.02336333e-08  22.0056  19.3944  19.5873  0.0000
0202-03-29_02:37:26.117000      2723.89        5.37747300e+00       -2.46339333e-08  22.0056  19.3944  19.5873  0.0000
0202-03-29_02:37:26.465000      2724.23        5.67569000e+00       -2.11013333e-08  22.0056  19.3944  19.5873  0.0000
0202-03-29_02:37:26.812000      2724.58        5.97356800e+00       -2.96540333e-08  22.0020  19.4044  19.5852  0.0000
0202-03-29_02:37:27.160000      2724.93        6.27180600e+00       -2.66791333e-08  22.0020  19.4044  19.5852  0.0000
0202-03-29_02:37:27.582000      2725.35        6.56969300e+00       -1.52756333e-08  22.0020  19.4044  19.5852  0.0000
0202-03-29_02:37:27.950000      2725.72        6.86793100e+00       -2.63253333e-09  22.0157  19.4018  19.6109  0.0000
0202-03-29_02:37:28.312000      2726.08        7.16639800e+00       -1.01316333e-08  22.0157  19.4018  19.6109  0.0000
0202-03-29_02:37:28.670000      2726.44        7.46407500e+00       -1.14950333e-08  21.9965  19.3962  19.5726  0.0000
0202-03-29_02:37:29.020000      2726.79        7.76275100e+00       -6.72293333e-09  21.9965  19.3962  19.5726  0.0000
0202-03-29_02:37:29.375000      2727.14        8.06064500e+00        2.01125667e-08  21.9965  19.3962  19.5726  0.0000
0202-03-29_02:37:29.746000      2727.51        8.35990900e+00        5.67402667e-08  22.0056  19.4081  19.6016  0.0000
0202-03-29_02:37:30.098000      2727.86        8.65755500e+00        1.31359167e-07  22.0056  19.4081  19.6016  0.0000
0202-03-29_02:37:30.445000      2728.21        8.95605800e+00        2.86174777e-07  22.0056  19.4081  19.6016  0.0000
0202-03-29_02:37:30.812000      2728.58        9.25319900e+00        5.70522497e-07  22.0034  19.3941  19.5846  0.0000
0202-03-29_02:37:31.160000      2728.93        9.55190500e+00        1.08479944e-06  22.0034  19.3941  19.5846  0.0000
0202-03-29_02:37:31.566000      2729.33        9.84953100e+00        2.53366945e-06  22.0034  19.3941  19.5846  0.0000
0202-03-29_02:37:31.938000      2729.71        1.01485700e+01        4.53722277e-06  21.9981  19.4035  19.5809  0.0000
0202-03-29_02:37:32.297000      2730.07        1.04462100e+01        7.26359972e-06  21.9981  19.4035  19.5809  0.0000
0202-03-29_02:37:32.656000      2730.42        1.07442400e+01        1.37369312e-05  22.0157  19.4011  19.6056  0.0000
0202-03-29_02:37:33.016000      2730.78        1.10425500e+01        2.41138477e-05  22.0157  19.4011  19.6056  0.0000
