# Ic =  nan A, n =  nan , Tavg = 22.01 K, ffj51-22k-0e19pm2-03T-
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-26_23:33:25.290000      12592.35        9.50543600e-03       -2.09289231e-09  21.9635  19.6858  19.8944  0.0000
0202-03-26_23:33:25.656000      12592.72        3.10771500e-01       -1.41162923e-08  21.9455  19.6761  19.8633  0.0000
0202-03-26_23:33:26.004000      12593.07        6.08988600e-01       -2.08716923e-08  21.9455  19.6761  19.8633  0.0000
0202-03-26_23:33:26.350000      12593.41        9.06849600e-01       -3.59318923e-08  21.9559  19.6895  19.8838  0.0000
0202-03-26_23:33:26.700000      12593.76        1.20615400e+00        1.59422077e-08  21.9559  19.6895  19.8838  0.0000
0202-03-26_23:33:27.050000      12594.11        1.50381600e+00        1.19137077e-08  21.9559  19.6895  19.8838  0.0000
0202-03-26_23:33:27.410000      12594.47        1.80200000e+00       -9.09709231e-09  21.9664  19.6799  19.8903  0.0000
0202-03-26_23:33:27.760000      12594.82        2.10009200e+00       -9.47419231e-09  21.9664  19.6799  19.8903  0.0000
0202-03-26_23:33:28.110000      12595.17        2.39792400e+00       -1.14600923e-08  21.9664  19.6799  19.8903  0.0000
0202-03-26_23:33:28.457000      12595.52        2.69628100e+00       -7.86539231e-09  21.9640  19.6838  19.8839  0.0000
0202-03-26_23:33:28.805000      12595.87        2.99414500e+00       -8.11329231e-09  21.9640  19.6838  19.8839  0.0000
0202-03-26_23:33:29.160000      12596.22        3.29282200e+00       -1.65420923e-08  21.9640  19.6838  19.8839  0.0000
0202-03-26_23:33:29.510000      12596.57        3.59091900e+00       -1.14600923e-08  21.9791  19.6879  19.9119  0.0000
0202-03-26_23:33:29.860000      12596.92        3.88890300e+00       -1.93309923e-08  21.9791  19.6879  19.9119  0.0000
0202-03-26_23:33:30.273000      12597.34        4.18698800e+00       -1.82154923e-08  21.9791  19.6879  19.9119  0.0000
0202-03-26_23:33:30.637000      12597.70        4.48565100e+00       -1.67279923e-08  21.9703  19.6785  19.8859  0.0000
0202-03-26_23:33:30.996000      12598.06        4.78349100e+00       -2.15621923e-08  21.9703  19.6785  19.8859  0.0000
0202-03-26_23:33:31.344000      12598.41        5.08173100e+00       -1.38150923e-08  21.9655  19.6909  19.8912  0.0000
0202-03-26_23:33:31.690000      12598.76        5.37991000e+00       -2.32974923e-08  21.9655  19.6909  19.8912  0.0000
0202-03-26_23:33:32.040000      12599.10        5.67785200e+00       -2.37932923e-08  21.9655  19.6909  19.8912  0.0000
0202-03-26_23:33:32.400000      12599.46        5.97625300e+00       -2.62723923e-08  21.9568  19.6804  19.8800  0.0000
0202-03-26_23:33:32.746000      12599.81        6.27470600e+00       -1.27615923e-08  21.9568  19.6804  19.8800  0.0000
0202-03-26_23:33:33.094000      12600.16        6.57239200e+00       -1.38770923e-08  21.9568  19.6804  19.8800  0.0000
0202-03-26_23:33:33.440000      12600.50        6.87073200e+00       -1.32592923e-08  21.9456  19.6834  19.8681  0.0000
0202-03-26_23:33:33.790000      12600.85        7.16915600e+00       -1.88399923e-08  21.9456  19.6834  19.8681  0.0000
0202-03-26_23:33:34.150000      12601.21        7.46679100e+00       -2.37361923e-08  21.9456  19.6834  19.8681  0.0000
