# Ic = 19.48 A, n = 26.49 , Tavg = 22.02 K, ffj51-22k-10e19pm2-03T-0nA
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-27_02:44:28.254000      24055.32        7.91724000e-03        7.16517222e-09  22.0061  19.6958  19.9071  0.0000
0202-03-27_02:44:28.613000      24055.68        3.09255000e-01        1.56559722e-08  21.9975  19.7009  19.8904  0.0000
0202-03-27_02:44:28.977000      24056.04        6.07501200e-01        1.05738722e-08  21.9975  19.7009  19.8904  0.0000
0202-03-27_02:44:29.324000      24056.39        9.05610400e-01        3.18317722e-08  22.0081  19.7033  19.9148  0.0000
0202-03-27_02:44:29.676000      24056.74        1.20400300e+00       -1.84930278e-08  22.0081  19.7033  19.9148  0.0000
0202-03-27_02:44:30.030000      24057.10        1.50176300e+00       -2.11580278e-08  22.0081  19.7033  19.9148  0.0000
0202-03-27_02:44:30.380000      24057.44        1.80029100e+00        1.61492722e-08  22.0017  19.6938  19.8908  0.0000
0202-03-27_02:44:30.727000      24057.79        2.09838300e+00        1.91786722e-08  22.0017  19.6938  19.8908  0.0000
0202-03-27_02:44:31.080000      24058.14        2.39658900e+00        1.07473722e-08  22.0017  19.6938  19.8908  0.0000
0202-03-27_02:44:31.426000      24058.49        2.69490600e+00        1.18009722e-08  22.0052  19.7055  19.9085  0.0000
0202-03-27_02:44:31.785000      24058.85        2.99285100e+00        7.64857222e-09  22.0052  19.7055  19.9085  0.0000
0202-03-27_02:44:32.133000      24059.19        3.29115100e+00        1.56435722e-08  22.0052  19.7055  19.9085  0.0000
0202-03-27_02:44:32.480000      24059.54        3.58942100e+00        1.83704722e-08  22.0074  19.6939  19.9068  0.0000
0202-03-27_02:44:32.830000      24059.89        3.88772500e+00        1.50857722e-08  22.0074  19.6939  19.9068  0.0000
0202-03-27_02:44:33.207000      24060.27        4.18531000e+00        1.48378722e-08  22.0074  19.6939  19.9068  0.0000
0202-03-27_02:44:33.574000      24060.64        4.48379500e+00        1.37842722e-08  21.9960  19.6981  19.8899  0.0000
0202-03-27_02:44:33.926000      24060.99        4.78180000e+00        1.50237722e-08  21.9960  19.6981  19.8899  0.0000
0202-03-27_02:44:34.280000      24061.35        5.07991500e+00        1.83704722e-08  22.0068  19.6999  19.9167  0.0000
0202-03-27_02:44:34.650000      24061.71        5.37811200e+00        3.13855722e-08  22.0068  19.6999  19.9167  0.0000
0202-03-27_02:44:35.004000      24062.07        5.67607000e+00        3.60337722e-08  22.0068  19.6999  19.9167  0.0000
0202-03-27_02:44:35.363000      24062.43        5.97398900e+00        3.49182722e-08  21.9977  19.6907  19.8867  0.0000
0202-03-27_02:44:35.710000      24062.77        6.27255400e+00        3.18813722e-08  21.9977  19.6907  19.8867  0.0000
0202-03-27_02:44:36.060000      24063.12        6.57068000e+00        2.53118722e-08  21.9977  19.6907  19.8867  0.0000
