# Ic =  nan A, n =  nan , Tavg = 22.00 K, ffj51-15e19pm2-03T-22k-setup
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-28_23:51:59.785000      113.59        6.77078900e-03       -4.01360833e-09  22.0091  19.4039  19.6119  0.0000
0202-03-28_23:52:00.133000      113.94        6.70548400e-03       -1.78280833e-09  22.0091  19.4039  19.6119  0.0000
0202-03-28_23:52:00.490000      114.29        6.70748800e-03       -1.51696083e-08  22.0091  19.4039  19.6119  0.0000
0202-03-28_23:52:00.890000      114.70        6.95535300e-03       -2.63252083e-08  21.9947  19.3944  19.5726  0.0000
0202-03-28_23:52:01.240000      115.05        6.97019500e-03       -1.61612083e-08  21.9947  19.3944  19.5726  0.0000
0202-03-28_23:52:01.590000      115.40        6.73576300e-03       -7.73250833e-09  22.0003  19.4077  19.5981  0.0000
0202-03-28_23:52:01.938000      115.74        6.91683800e-03       -3.58010833e-09  22.0003  19.4077  19.5981  0.0000
0202-03-28_23:52:02.297000      116.10        7.07972900e-03       -9.28190833e-09  22.0003  19.4077  19.5981  0.0000
0202-03-28_23:52:02.650000      116.45        7.00106500e-03       -6.18310833e-09  22.0037  19.3954  19.5921  0.0000
0202-03-28_23:52:03.004000      116.81        7.02332900e-03       -5.56330833e-09  22.0037  19.3954  19.5921  0.0000
0202-03-28_23:52:03.363000      117.17        7.34206200e-03       -2.21660833e-09  22.0037  19.3954  19.5921  0.0000
