# Ic =  nan A, n =  nan , Tavg = 22.01 K, ffj51-25e19pm2-03T-0nA-22k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-29_01:36:51.430000      6163.30        6.89331200e-03       -5.92914615e-09  21.9900  19.3913  19.5763  0.0000
0202-03-29_01:36:51.777000      6163.65        3.08405000e-01        4.36045385e-09  21.9900  19.3913  19.5763  0.0000
0202-03-29_01:36:52.156000      6164.03        6.06653600e-01        4.34671538e-08  21.9900  19.3913  19.5763  0.0000
0202-03-29_01:36:52.516000      6164.38        9.04491900e-01        4.05543538e-08  21.9950  19.4055  19.5940  0.0000
0202-03-29_01:36:52.875000      6164.74        1.20286700e+00        4.79435385e-09  21.9950  19.4055  19.5940  0.0000
0202-03-29_01:36:53.234000      6165.10        1.50127200e+00       -3.38644615e-09  21.9986  19.3960  19.5956  0.0000
0202-03-29_01:36:53.590000      6165.46        1.79925800e+00        1.26165385e-09  21.9986  19.3960  19.5956  0.0000
0202-03-29_01:36:53.957000      6165.82        2.09727800e+00       -3.88224615e-09  21.9986  19.3960  19.5956  0.0000
0202-03-29_01:36:54.312000      6166.18        2.39554000e+00        1.12397538e-08  21.9971  19.4065  19.5993  0.0000
0202-03-29_01:36:54.656000      6166.53        2.69451600e+00       -1.63746154e-10  21.9971  19.4065  19.5993  0.0000
0202-03-29_01:36:55.023000      6166.89        2.99259300e+00        1.88145385e-09  21.9971  19.4065  19.5993  0.0000
0202-03-29_01:36:55.445000      6167.32        3.29028100e+00       -2.76674615e-09  22.0023  19.4049  19.6079  0.0000
0202-03-29_01:36:55.816000      6167.68        3.58858700e+00        8.45085385e-09  22.0023  19.4049  19.6079  0.0000
0202-03-29_01:36:56.164000      6168.03        3.88715600e+00        6.65355385e-09  21.9914  19.3918  19.5756  0.0000
0202-03-29_01:36:56.520000      6168.39        4.18438400e+00        6.09585385e-09  21.9914  19.3918  19.5756  0.0000
0202-03-29_01:36:56.867000      6168.74        4.48353100e+00        7.89265385e-09  21.9914  19.3918  19.5756  0.0000
0202-03-29_01:36:57.215000      6169.08        4.78113300e+00        1.42116538e-08  21.9958  19.4065  19.5956  0.0000
0202-03-29_01:36:57.562000      6169.43        5.07947900e+00        2.80675385e-09  21.9958  19.4065  19.5956  0.0000
0202-03-29_01:36:57.914000      6169.78        5.37822600e+00        6.99653846e-10  21.9958  19.4065  19.5956  0.0000
0202-03-29_01:36:58.260000      6170.13        5.67553600e+00        4.04635385e-09  22.0009  19.3972  19.5958  0.0000
0202-03-29_01:36:58.617000      6170.49        5.97446900e+00       -8.28684615e-09  22.0009  19.3972  19.5958  0.0000
0202-03-29_01:36:58.965000      6170.83        6.27189600e+00       -5.12614615e-09  22.0009  19.3972  19.5958  0.0000
0202-03-29_01:36:59.312000      6171.18        6.57046500e+00       -8.53474615e-09  21.9949  19.4069  19.5971  0.0000
0202-03-29_01:36:59.660000      6171.53        6.86857700e+00       -1.06046154e-10  21.9949  19.4069  19.5971  0.0000
0202-03-29_01:37:00.027000      6171.90        7.16683600e+00        4.66605385e-09  21.9949  19.4069  19.5971  0.0000
0202-03-29_01:37:00.410000      6172.28        7.46506000e+00       -1.88227462e-08  22.0034  19.4053  19.6088  0.0000
0202-03-29_01:37:00.754000      6172.62        7.76304200e+00       -1.37407462e-08  22.0034  19.4053  19.6088  0.0000
0202-03-29_01:37:01.105000      6172.97        8.06103100e+00       -1.15964615e-09  22.0034  19.4053  19.6088  0.0000
0202-03-29_01:37:01.477000      6173.34        8.35871300e+00        5.28585385e-09  21.9912  19.3922  19.5761  0.0000
0202-03-29_01:37:01.848000      6173.72        8.65702900e+00       -1.29970462e-08  21.9912  19.3922  19.5761  0.0000
0202-03-29_01:37:02.207000      6174.08        8.95519400e+00       -1.03940462e-08  21.9924  19.4062  19.5936  0.0000
0202-03-29_01:37:02.555000      6174.42        9.25342100e+00       -8.10094615e-09  21.9924  19.4062  19.5936  0.0000
0202-03-29_01:37:02.914000      6174.78        9.55170200e+00       -2.71094615e-09  21.9924  19.4062  19.5936  0.0000
0202-03-29_01:37:03.273000      6175.14        9.84938000e+00       -4.13914615e-09  21.9979  19.3962  19.5945  0.0000
0202-03-29_01:37:03.637000      6175.51        1.01480600e+01       -1.33115462e-08  21.9979  19.3962  19.5945  0.0000
0202-03-29_01:37:03.992000      6175.86        1.04461600e+01       -2.13684462e-08  21.9979  19.3962  19.5945  0.0000
0202-03-29_01:37:04.400000      6176.27        1.07445800e+01       -1.70301462e-08  21.9849  19.3977  19.5688  0.0000
0202-03-29_01:37:04.746000      6176.62        1.10421600e+01       -1.94471462e-08  21.9849  19.3977  19.5688  0.0000
0202-03-29_01:37:05.120000      6176.99        1.13411600e+01       -4.82546154e-10  21.9849  19.3977  19.5688  0.0000
0202-03-29_01:37:05.477000      6177.35        1.16385000e+01        2.28203538e-08  22.0044  19.4054  19.6122  0.0000
0202-03-29_01:37:05.855000      6177.72        1.19373900e+01        4.79825538e-08  22.0044  19.4054  19.6122  0.0000
0202-03-29_01:37:06.207000      6178.08        1.22348600e+01        9.91745538e-08  21.9923  19.3927  19.5770  0.0000
0202-03-29_01:37:06.562000      6178.43        1.25339100e+01        1.91642414e-07  21.9923  19.3927  19.5770  0.0000
0202-03-29_01:37:06.920000      6178.79        1.28322400e+01        3.39826564e-07  21.9923  19.3927  19.5770  0.0000
0202-03-29_01:37:07.270000      6179.14        1.31285500e+01        5.60894264e-07  21.9980  19.4074  19.5950  0.0000
0202-03-29_01:37:07.620000      6179.49        1.34270600e+01        9.06595294e-07  21.9980  19.4074  19.5950  0.0000
0202-03-29_01:37:07.980000      6179.85        1.37258500e+01        1.46481136e-06  21.9980  19.4074  19.5950  0.0000
0202-03-29_01:37:08.414000      6180.28        1.40239800e+01        2.80689739e-06  22.0047  19.3981  19.5967  0.0000
0202-03-29_01:37:08.760000      6180.63        1.43226100e+01        4.39620994e-06  22.0047  19.3981  19.5967  0.0000
0202-03-29_01:37:09.130000      6181.00        1.46207600e+01        6.79684053e-06  21.9902  19.4000  19.5736  0.0000
0202-03-29_01:37:09.492000      6181.36        1.49177300e+01        1.04346960e-05  21.9902  19.4000  19.5736  0.0000
0202-03-29_01:37:09.855000      6181.72        1.52156400e+01        1.66585240e-05  21.9902  19.4000  19.5736  0.0000
0202-03-29_01:37:10.203000      6182.07        1.55132400e+01        2.75322339e-05  22.0104  19.4073  19.6052  0.0000
