# Ic = 12.86 A, n = 23.65 , Tavg = 22.04 K, ffj51-30p3e19pm2-anneal300k-60min-22k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-31_10:19:49.973000      45064.03        7.89648700e-03        9.71489437e-09  22.0236  18.9483  19.1260  0.0000
0202-03-31_10:19:50.340000      45064.40        3.10081700e-01        1.10783944e-08  22.0236  18.9483  19.1260  0.0000
0202-03-31_10:19:50.730000      45064.79        6.08263200e-01        3.88905437e-09  22.0331  18.9416  19.1354  0.0000
0202-03-31_10:19:51.080000      45065.14        9.06015700e-01        1.72760944e-08  22.0331  18.9416  19.1354  0.0000
0202-03-31_10:19:51.434000      45065.49        1.20440600e+00        2.65726444e-08  22.0331  18.9416  19.1354  0.0000
0202-03-31_10:19:51.785000      45065.84        1.50243400e+00        2.08087844e-08  22.0188  18.9404  19.1072  0.0000
0202-03-31_10:19:52.133000      45066.19        1.80059200e+00        2.88038244e-08  22.0188  18.9404  19.1072  0.0000
0202-03-31_10:19:52.484000      45066.54        2.09883600e+00        2.01270344e-08  22.0386  18.9509  19.1469  0.0000
0202-03-31_10:19:52.832000      45066.89        2.39665300e+00        1.91973844e-08  22.0386  18.9509  19.1469  0.0000
0202-03-31_10:19:53.180000      45067.24        2.69472800e+00        3.07867644e-08  22.0386  18.9509  19.1469  0.0000
0202-03-31_10:19:53.527000      45067.59        2.99280100e+00        2.94226344e-08  22.0257  18.9363  19.1170  0.0000
0202-03-31_10:19:53.875000      45067.93        3.29125700e+00        2.44643644e-08  22.0257  18.9363  19.1170  0.0000
0202-03-31_10:19:54.234000      45068.29        3.58929600e+00        2.46502944e-08  22.0257  18.9363  19.1170  0.0000
0202-03-31_10:19:54.586000      45068.64        3.88739800e+00        2.90506644e-08  22.0422  18.9499  19.1518  0.0000
0202-03-31_10:19:54.934000      45068.99        4.18549400e+00        2.16134244e-08  22.0422  18.9499  19.1518  0.0000
0202-03-31_10:19:55.280000      45069.34        4.48376700e+00        2.97324144e-08  22.0422  18.9499  19.1518  0.0000
0202-03-31_10:19:55.630000      45069.69        4.78200000e+00        2.83069444e-08  22.0209  18.9355  19.1101  0.0000
0202-03-31_10:19:55.977000      45070.03        5.08023500e+00        3.18396344e-08  22.0209  18.9355  19.1101  0.0000
0202-03-31_10:19:56.336000      45070.39        5.37836700e+00        2.57658844e-08  22.0209  18.9355  19.1101  0.0000
0202-03-31_10:19:56.758000      45070.81        5.67650700e+00        3.00423044e-08  22.0222  18.9407  19.1056  0.0000
0202-03-31_10:19:57.113000      45071.17        5.97428900e+00        2.74392644e-08  22.0222  18.9407  19.1056  0.0000
0202-03-31_10:19:57.477000      45071.53        6.27277300e+00        2.14894744e-08  22.0343  18.9506  19.1417  0.0000
0202-03-31_10:19:57.824000      45071.88        6.57109300e+00        3.14057944e-08  22.0343  18.9506  19.1417  0.0000
0202-03-31_10:19:58.170000      45072.23        6.86919200e+00        3.51244144e-08  22.0343  18.9506  19.1417  0.0000
0202-03-31_10:19:58.520000      45072.58        7.16692400e+00        3.32651044e-08  22.0242  18.9356  19.1145  0.0000
0202-03-31_10:19:58.870000      45072.93        7.46566500e+00        3.12818444e-08  22.0242  18.9356  19.1145  0.0000
0202-03-31_10:19:59.230000      45073.29        7.76329800e+00        2.48983344e-08  22.0242  18.9356  19.1145  0.0000
0202-03-31_10:19:59.580000      45073.63        8.06117500e+00        3.58683544e-08  22.0295  18.9497  19.1263  0.0000
0202-03-31_10:19:59.926000      45073.98        8.35920600e+00        3.61162644e-08  22.0295  18.9497  19.1263  0.0000
0202-03-31_10:20:00.273000      45074.33        8.65725600e+00        3.81615044e-08  22.0295  18.9497  19.1263  0.0000
0202-03-31_10:20:00.620000      45074.68        8.95514900e+00        4.34295544e-08  22.0273  18.9361  19.1112  0.0000
0202-03-31_10:20:00.980000      45075.04        9.25320000e+00        4.35535044e-08  22.0273  18.9361  19.1112  0.0000
0202-03-31_10:20:01.402000      45075.46        9.55127000e+00        3.87812744e-08  22.0273  18.9361  19.1112  0.0000
0202-03-31_10:20:01.760000      45075.82        9.84960900e+00        4.07025644e-08  22.0225  18.9414  19.1069  0.0000
0202-03-31_10:20:02.110000      45076.17        1.01472700e+01        4.38633944e-08  22.0225  18.9414  19.1069  0.0000
0202-03-31_10:20:02.477000      45076.53        1.04453800e+01        3.06622844e-08  22.0384  18.9517  19.1482  0.0000
0202-03-31_10:20:02.824000      45076.88        1.07434700e+01        2.98565844e-08  22.0384  18.9517  19.1482  0.0000
0202-03-31_10:20:03.170000      45077.23        1.10416600e+01        3.52485844e-08  22.0384  18.9517  19.1482  0.0000
0202-03-31_10:20:03.520000      45077.58        1.13400200e+01        4.49170044e-08  22.0343  18.9360  19.1187  0.0000
0202-03-31_10:20:03.870000      45077.93        1.16373400e+01        5.68165944e-08  22.0343  18.9360  19.1187  0.0000
0202-03-31_10:20:04.227000      45078.28        1.19361100e+01        7.04515344e-08  22.0343  18.9360  19.1187  0.0000
0202-03-31_10:20:04.574000      45078.63        1.22339000e+01        1.04290994e-07  22.0302  18.9504  19.1295  0.0000
0202-03-31_10:20:04.920000      45078.98        1.25323700e+01        1.54614874e-07  22.0302  18.9504  19.1295  0.0000
0202-03-31_10:20:05.270000      45079.33        1.28298900e+01        2.37599214e-07  22.0302  18.9504  19.1295  0.0000
0202-03-31_10:20:05.617000      45079.68        1.31281900e+01        3.80331894e-07  22.0282  18.9369  19.1117  0.0000
0202-03-31_10:20:05.977000      45080.03        1.34261600e+01        6.15472884e-07  22.0282  18.9369  19.1117  0.0000
0202-03-31_10:20:06.363000      45080.42        1.37241000e+01        9.85042114e-07  22.0282  18.9369  19.1117  0.0000
0202-03-31_10:20:06.734000      45080.79        1.40220200e+01        1.53044027e-06  22.0237  18.9428  19.1070  0.0000
0202-03-31_10:20:07.082000      45081.14        1.43201100e+01        2.76725456e-06  22.0237  18.9428  19.1070  0.0000
0202-03-31_10:20:07.440000      45081.50        1.46182600e+01        4.50608307e-06  22.0237  18.9428  19.1070  0.0000
0202-03-31_10:20:07.800000      45081.86        1.49162100e+01        6.93236118e-06  22.0464  18.9531  19.1527  0.0000
0202-03-31_10:20:08.150000      45082.21        1.52143800e+01        1.07315677e-05  22.0464  18.9531  19.1527  0.0000
0202-03-31_10:20:08.496000      45082.55        1.55121400e+01        1.64263025e-05  22.0365  18.9373  19.1172  0.0000
0202-03-31_10:20:08.848000      45082.90        1.58107000e+01        2.63759118e-05  22.0365  18.9373  19.1172  0.0000
