# Ic =  nan A, n =  nan , Tavg = 20.44 K, ffj51-ffj51-0e19pm2-0nA-450um-20k
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-07_18:32:22.527000      11206.58        7.35996900e-03        9.96401308e-09  20.1282  19.1823  19.4212  0.0000
0202-03-07_18:32:22.895000      11206.95        3.09425200e-01       -6.33596692e-09  20.1282  19.1823  19.4212  0.0000
0202-03-07_18:32:23.260000      11207.31        6.07621000e-01       -7.14166692e-09  20.1479  19.1874  19.4599  0.0000
0202-03-07_18:32:23.617000      11207.67        9.05946000e-01        2.53343331e-08  20.1479  19.1874  19.4599  0.0000
0202-03-07_18:32:23.965000      11208.02        1.20366800e+00        1.96944131e-08  20.1231  19.1753  19.4187  0.0000
0202-03-07_18:32:24.316000      11208.37        1.50177400e+00       -3.17513692e-09  20.1231  19.1753  19.4187  0.0000
0202-03-07_18:32:24.670000      11208.73        1.80014700e+00       -5.65421692e-09  20.1231  19.1753  19.4187  0.0000
0202-03-07_18:32:25.020000      11209.07        2.09765000e+00       -7.45155692e-09  20.1415  19.1904  19.4463  0.0000
0202-03-07_18:32:25.370000      11209.42        2.39614000e+00        1.04598231e-08  20.1415  19.1904  19.4463  0.0000
0202-03-07_18:32:25.720000      11209.77        2.69442900e+00        1.40545031e-08  20.1415  19.1904  19.4463  0.0000
0202-03-07_18:32:26.066000      11210.12        2.99211600e+00        1.05837831e-08  20.1404  19.1801  19.4445  0.0000
0202-03-07_18:32:26.426000      11210.48        3.29033000e+00        1.50454031e-08  20.1404  19.1801  19.4445  0.0000
0202-03-07_18:32:26.773000      11210.83        3.58866400e+00        8.53732308e-09  20.1404  19.1801  19.4445  0.0000
0202-03-07_18:32:27.120000      11211.17        3.88636500e+00        1.46730531e-08  20.1252  19.1825  19.4206  0.0000
0202-03-07_18:32:27.470000      11211.52        4.18455900e+00        2.41555531e-08  20.1252  19.1825  19.4206  0.0000
0202-03-07_18:32:27.832000      11211.88        4.48259400e+00        1.76479531e-08  20.1252  19.1825  19.4206  0.0000
0202-03-07_18:32:28.227000      11212.28        4.78100700e+00        1.90577308e-09  20.1450  19.1848  19.4564  0.0000
0202-03-07_18:32:28.582000      11212.64        5.07917700e+00        2.46356308e-09  20.1450  19.1848  19.4564  0.0000
0202-03-07_18:32:28.934000      11212.99        5.37718000e+00        8.28941308e-09  20.1450  19.1848  19.4564  0.0000
0202-03-07_18:32:29.297000      11213.35        5.67516100e+00        2.52554308e-09  20.1284  19.1750  19.4187  0.0000
0202-03-07_18:32:29.645000      11213.70        5.97300900e+00        1.76479531e-08  20.1284  19.1750  19.4187  0.0000
0202-03-07_18:32:30             11214.06        6.27132400e+00       -2.30866692e-09  20.1414  19.1883  19.4447  0.0000
0202-03-07_18:32:30.360000      11214.41        6.56913100e+00        1.47193308e-09  20.1414  19.1883  19.4447  0.0000
0202-03-07_18:32:30.707000      11214.76        6.86758900e+00       -1.44098692e-09  20.1414  19.1883  19.4447  0.0000
