# Ic = 5.56 A, n = 29.26 , Tavg = 69.91 K, 0nA-70k-ffj51-0e19pm2-0T-0nA
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-06_19:55:50.300000      3207.05        7.86207900e-03       -1.84234933e-08  69.9457  68.1251  68.7149  0.0000
0202-03-06_19:55:50.650000      3207.40        1.11308200e-01       -4.97459333e-09  69.9457  68.1251  68.7149  0.0000
0202-03-06_19:55:50.996000      3207.75        2.10383400e-01       -1.62789333e-09  69.9777  68.1280  68.7358  0.0000
0202-03-06_19:55:51.344000      3208.09        3.09926000e-01        5.00350667e-09  69.9777  68.1280  68.7358  0.0000
0202-03-06_19:55:51.703000      3208.45        4.09465700e-01       -1.66881933e-08  69.9777  68.1280  68.7358  0.0000
0202-03-06_19:55:52.050000      3208.80        5.08703400e-01       -1.24117933e-08  69.8873  68.1277  68.6855  0.0000
0202-03-06_19:55:52.400000      3209.15        6.08180800e-01        1.70886067e-08  69.8873  68.1277  68.6855  0.0000
0202-03-06_19:55:52.746000      3209.50        7.07345000e-01        3.46891067e-08  69.8873  68.1277  68.6855  0.0000
0202-03-06_19:55:53.094000      3209.84        8.07042900e-01        3.99570067e-08  69.9233  68.1292  68.7115  0.0000
0202-03-06_19:55:53.453000      3210.20        9.06150700e-01        2.34093067e-08  69.9233  68.1292  68.7115  0.0000
0202-03-06_19:55:53.800000      3210.55        1.00546300e+00        1.64060067e-08  69.9233  68.1292  68.7115  0.0000
0202-03-06_19:55:54.190000      3210.94        1.10529100e+00        1.57242067e-08  69.9108  68.1288  68.6952  0.0000
0202-03-06_19:55:54.540000      3211.29        1.20458300e+00        8.96880667e-09  69.9108  68.1288  68.6952  0.0000
0202-03-06_19:55:54.890000      3211.64        1.30345600e+00        1.24395067e-08  69.9108  68.1288  68.6952  0.0000
0202-03-06_19:55:55.242000      3211.99        1.40305900e+00       -2.49322933e-08  69.9257  68.1293  68.7006  0.0000
0202-03-06_19:55:55.590000      3212.34        1.50248300e+00        1.34570667e-09  69.9257  68.1293  68.7006  0.0000
0202-03-06_19:55:55.938000      3212.69        1.60182400e+00       -7.39299333e-09  69.9567  68.1298  68.7326  0.0000
0202-03-06_19:55:56.280000      3213.03        1.70155800e+00       -7.51689333e-09  69.9567  68.1298  68.7326  0.0000
0202-03-06_19:55:56.630000      3213.38        1.80072500e+00        2.60743067e-08  69.9567  68.1298  68.7326  0.0000
0202-03-06_19:55:56.984000      3213.73        1.90007700e+00        1.18197067e-08  69.9485  68.1315  68.7386  0.0000
0202-03-06_19:55:57.332000      3214.08        1.99928200e+00        9.65050667e-09  69.9485  68.1315  68.7386  0.0000
0202-03-06_19:55:57.680000      3214.43        2.09896300e+00        1.19437067e-08  69.9485  68.1315  68.7386  0.0000
0202-03-06_19:55:58.027000      3214.78        2.19823500e+00        8.22510667e-09  69.9728  68.1312  68.7333  0.0000
0202-03-06_19:55:58.375000      3215.12        2.29769300e+00        2.45180667e-09  69.9728  68.1312  68.7333  0.0000
0202-03-06_19:55:58.730000      3215.48        2.39677900e+00        2.68611067e-08  69.9728  68.1312  68.7333  0.0000
0202-03-06_19:55:59.080000      3215.83        2.49540800e+00        4.29750067e-08  69.9048  68.1322  68.7019  0.0000
0202-03-06_19:55:59.426000      3216.18        2.59552000e+00        2.95881067e-08  69.9048  68.1322  68.7019  0.0000
0202-03-06_19:55:59.773000      3216.52        2.69506500e+00        2.82866067e-08  69.9048  68.1322  68.7019  0.0000
0202-03-06_19:56:00.120000      3216.87        2.79393100e+00        4.37187067e-08  69.9184  68.1301  68.7207  0.0000
0202-03-06_19:56:00.480000      3217.23        2.89383900e+00        4.45864067e-08  69.9184  68.1301  68.7207  0.0000
0202-03-06_19:56:00.883000      3217.63        2.99270200e+00        4.76852067e-08  69.9184  68.1301  68.7207  0.0000
0202-03-06_19:56:01.230000      3217.98        3.09230000e+00        4.31609067e-08  69.9205  68.1320  68.7147  0.0000
0202-03-06_19:56:01.590000      3218.34        3.19171500e+00        5.62380067e-08  69.9205  68.1320  68.7147  0.0000
0202-03-06_19:56:01.934000      3218.69        3.29072500e+00        5.95227067e-08  69.9200  68.1308  68.7029  0.0000
0202-03-06_19:56:02.293000      3219.04        3.39024200e+00        5.80972067e-08  69.9200  68.1308  68.7029  0.0000
0202-03-06_19:56:02.650000      3219.40        3.48979800e+00        6.87572067e-08  69.9200  68.1308  68.7029  0.0000
0202-03-06_19:56:02.996000      3219.75        3.58900900e+00        8.28878067e-08  69.9552  68.1333  68.7378  0.0000
0202-03-06_19:56:03.344000      3220.09        3.68850200e+00        7.86734067e-08  69.9552  68.1333  68.7378  0.0000
0202-03-06_19:56:03.700000      3220.45        3.78764200e+00        6.83853067e-08  69.9552  68.1333  68.7378  0.0000
0202-03-06_19:56:04.047000      3220.80        3.88714900e+00        8.01008067e-08  69.9618  68.1336  68.7301  0.0000
0202-03-06_19:56:04.395000      3221.15        3.98658400e+00        8.85355067e-08  69.9618  68.1336  68.7301  0.0000
0202-03-06_19:56:04.742000      3221.49        4.08590300e+00        9.94453067e-08  69.9618  68.1336  68.7301  0.0000
0202-03-06_19:56:05.090000      3221.84        4.18533000e+00        1.02172307e-07  69.9365  68.1343  68.7160  0.0000
0202-03-06_19:56:05.450000      3222.20        4.28478000e+00        9.39294067e-08  69.9365  68.1343  68.7160  0.0000
0202-03-06_19:56:05.800000      3222.55        4.38414400e+00        9.48591067e-08  69.9365  68.1343  68.7160  0.0000
0202-03-06_19:56:06.188000      3222.94        4.48327600e+00        8.84755067e-08  69.8886  68.1344  68.6956  0.0000
0202-03-06_19:56:06.530000      3223.28        4.58302500e+00        7.78775067e-08  69.8886  68.1344  68.6956  0.0000
0202-03-06_19:56:06.883000      3223.63        4.68203600e+00        8.56246067e-08  69.9280  68.1346  68.7133  0.0000
0202-03-06_19:56:07.230000      3223.98        4.78143600e+00        1.01676507e-07  69.9280  68.1346  68.7133  0.0000
0202-03-06_19:56:07.580000      3224.33        4.88095300e+00        9.98791067e-08  69.9280  68.1346  68.7133  0.0000
0202-03-06_19:56:07.930000      3224.68        4.98003700e+00        1.00127007e-07  69.8974  68.1339  68.7029  0.0000
0202-03-06_19:56:08.273000      3225.02        5.07974600e+00        1.10725007e-07  69.8974  68.1339  68.7029  0.0000
0202-03-06_19:56:08.620000      3225.37        5.17903400e+00        1.26652907e-07  69.8974  68.1339  68.7029  0.0000
0202-03-06_19:56:08.977000      3225.73        5.27841900e+00        1.44130307e-07  69.9437  68.1360  68.7187  0.0000
0202-03-06_19:56:09.320000      3226.07        5.37788300e+00        1.82741607e-07  69.9437  68.1360  68.7187  0.0000
0202-03-06_19:56:09.668000      3226.42        5.47714900e+00        2.38520307e-07  69.9437  68.1360  68.7187  0.0000
0202-03-06_19:56:10.016000      3226.77        5.57648000e+00        3.12404807e-07  69.9487  68.1350  68.7394  0.0000
