# Ic =  nan A, n =  nan , Tavg = 22.33 K, 22k-15e19pm2-0T-anneal300k-720min
#datetime                        t_s     iHTS_A                vHTS_V                tHTS_K  tTAR_K  tHOL_K  tSPA_K
0202-03-28_17:42:07.188000      18632.90        1.01832400e-02        3.14505933e-08  22.2969  19.4511  19.6975  0.0000
0202-03-28_17:42:07.547000      18633.26        3.11632700e-01        4.86797933e-08  22.2969  19.4511  19.6975  0.0000
0202-03-28_17:42:07.895000      18633.61        6.09578000e-01        8.07211933e-08  22.2969  19.4511  19.6975  0.0000
0202-03-28_17:42:08.242000      18633.95        9.08346200e-01        6.52272933e-08  22.2905  19.4527  19.6855  0.0000
0202-03-28_17:42:08.590000      18634.30        1.20643800e+00        4.47752933e-08  22.2905  19.4527  19.6855  0.0000
0202-03-28_17:42:08.938000      18634.65        1.50431800e+00        7.09909933e-08  22.2905  19.4527  19.6855  0.0000
0202-03-28_17:42:09.297000      18635.01        1.80274400e+00        8.36959933e-08  22.2997  19.4594  19.7031  0.0000
0202-03-28_17:42:09.645000      18635.35        2.10099900e+00        8.70445933e-08  22.2997  19.4594  19.7031  0.0000
0202-03-28_17:42:10             18635.71        2.39905900e+00        8.86614933e-08  22.2997  19.4594  19.7031  0.0000
0202-03-28_17:42:10.410000      18636.12        2.69721300e+00        9.63483933e-08  22.2965  19.4481  19.6917  0.0000
0202-03-28_17:42:10.758000      18636.47        2.99547000e+00        9.36833933e-08  22.2965  19.4481  19.6917  0.0000
0202-03-28_17:42:11.110000      18636.82        3.29371400e+00        1.00810593e-07  22.2965  19.4481  19.6917  0.0000
0202-03-28_17:42:11.457000      18637.17        3.59196600e+00        1.06636293e-07  22.2911  19.4605  19.6887  0.0000
0202-03-28_17:42:11.805000      18637.51        3.88995300e+00        1.02545893e-07  22.2911  19.4605  19.6887  0.0000
0202-03-28_17:42:12.152000      18637.86        4.18796000e+00        1.03971393e-07  22.2984  19.4522  19.6957  0.0000
0202-03-28_17:42:12.500000      18638.21        4.48631300e+00        1.11718293e-07  22.2984  19.4522  19.6957  0.0000
0202-03-28_17:42:12.848000      18638.56        4.78450900e+00        1.11284493e-07  22.2984  19.4522  19.6957  0.0000
0202-03-28_17:42:13.195000      18638.91        5.08236000e+00        1.23927493e-07  22.2887  19.4522  19.6739  0.0000
0202-03-28_17:42:13.543000      18639.25        5.38100300e+00        1.28451693e-07  22.2887  19.4522  19.6739  0.0000
0202-03-28_17:42:13.890000      18639.60        5.67897900e+00        1.24919093e-07  22.2887  19.4522  19.6739  0.0000
0202-03-28_17:42:14.240000      18639.95        5.97736100e+00        1.25786793e-07  22.2908  19.4575  19.6879  0.0000
0202-03-28_17:42:14.594000      18640.30        6.27540800e+00        1.19961093e-07  22.2908  19.4575  19.6879  0.0000
0202-03-28_17:42:14.940000      18640.65        6.57351100e+00        1.31674393e-07  22.2908  19.4575  19.6879  0.0000
0202-03-28_17:42:15.290000      18641.00        6.87181600e+00        1.30558893e-07  22.2874  19.4456  19.6761  0.0000
0202-03-28_17:42:15.637000      18641.35        7.16995800e+00        1.41528493e-07  22.2874  19.4456  19.6761  0.0000
0202-03-28_17:42:15.992000      18641.70        7.46806000e+00        1.39669093e-07  22.2874  19.4456  19.6761  0.0000
0202-03-28_17:42:16.395000      18642.11        7.76622000e+00        1.41032493e-07  22.2878  19.4580  19.6811  0.0000
0202-03-28_17:42:16.742000      18642.45        8.06442300e+00        1.42148093e-07  22.2878  19.4580  19.6811  0.0000
0202-03-28_17:42:17.090000      18642.80        8.36278200e+00        1.37375993e-07  22.2878  19.4580  19.6811  0.0000
0202-03-28_17:42:17.445000      18643.16        8.66082700e+00        1.37189993e-07  22.2925  19.4497  19.6942  0.0000
0202-03-28_17:42:17.793000      18643.50        8.95922000e+00        1.36012493e-07  22.2925  19.4497  19.6942  0.0000
0202-03-28_17:42:18.140000      18643.85        9.25685500e+00        1.46610293e-07  22.2891  19.4497  19.6827  0.0000
0202-03-28_17:42:18.496000      18644.21        9.55564200e+00        1.60678793e-07  22.2891  19.4497  19.6827  0.0000
0202-03-28_17:42:18.855000      18644.57        9.85358900e+00        1.57084193e-07  22.2891  19.4497  19.6827  0.0000
0202-03-28_17:42:19.203000      18644.91        1.01517300e+01        1.65079093e-07  22.2977  19.4561  19.7024  0.0000
0202-03-28_17:42:19.560000      18645.27        1.04499600e+01        1.58137793e-07  22.2977  19.4561  19.7024  0.0000
0202-03-28_17:42:19.906000      18645.62        1.07482400e+01        1.71214593e-07  22.2977  19.4561  19.7024  0.0000
0202-03-28_17:42:20.254000      18645.97        1.10466400e+01        1.64831193e-07  22.2909  19.4441  19.6850  0.0000
0202-03-28_17:42:20.600000      18646.31        1.13446600e+01        1.63715593e-07  22.2909  19.4441  19.6850  0.0000
0202-03-28_17:42:20.950000      18646.66        1.16432100e+01        1.72020293e-07  22.2909  19.4441  19.6850  0.0000
0202-03-28_17:42:21.312000      18647.02        1.19411500e+01        1.73694393e-07  22.2879  19.4561  19.6845  0.0000
0202-03-28_17:42:21.656000      18647.37        1.22393200e+01        1.73637193e-07  22.2879  19.4561  19.6845  0.0000
0202-03-28_17:42:22.066000      18647.78        1.25376100e+01        1.69611093e-07  22.2879  19.4561  19.6845  0.0000
0202-03-28_17:42:22.418000      18648.13        1.28357100e+01        1.90682793e-07  22.2947  19.4476  19.6909  0.0000
0202-03-28_17:42:22.766000      18648.48        1.31336600e+01        1.87026193e-07  22.2947  19.4476  19.6909  0.0000
0202-03-28_17:42:23.117000      18648.83        1.34321500e+01        1.97066293e-07  22.2764  19.4473  19.6651  0.0000
0202-03-28_17:42:23.473000      18649.18        1.37303600e+01        2.15596993e-07  22.2764  19.4473  19.6651  0.0000
0202-03-28_17:42:23.832000      18649.54        1.40285400e+01        2.01962293e-07  22.2764  19.4473  19.6651  0.0000
0202-03-28_17:42:24.180000      18649.89        1.43267800e+01        1.97871893e-07  22.2866  19.4535  19.6818  0.0000
0202-03-28_17:42:24.530000      18650.24        1.46246300e+01        2.00660793e-07  22.2866  19.4535  19.6818  0.0000
0202-03-28_17:42:24.880000      18650.59        1.49232600e+01        2.17642093e-07  22.2866  19.4535  19.6818  0.0000
0202-03-28_17:42:25.227000      18650.94        1.52216000e+01        2.18695693e-07  22.2854  19.4412  19.6717  0.0000
0202-03-28_17:42:25.574000      18651.28        1.55194600e+01        2.27682193e-07  22.2854  19.4412  19.6717  0.0000
0202-03-28_17:42:25.920000      18651.63        1.58176300e+01        2.27868093e-07  22.2854  19.4412  19.6717  0.0000
0202-03-28_17:42:26.277000      18651.99        1.61159500e+01        2.22971993e-07  22.2841  19.4537  19.6757  0.0000
0202-03-28_17:42:26.625000      18652.34        1.64141500e+01        2.26938493e-07  22.2841  19.4537  19.6757  0.0000
0202-03-28_17:42:26.973000      18652.68        1.67125800e+01        2.22042393e-07  22.2841  19.4537  19.6757  0.0000
0202-03-28_17:42:27.320000      18653.03        1.70108800e+01        2.22910993e-07  22.2929  19.4465  19.6875  0.0000
0202-03-28_17:42:27.668000      18653.38        1.73086700e+01        2.29047893e-07  22.2929  19.4465  19.6875  0.0000
0202-03-28_17:42:28.040000      18653.75        1.76067800e+01        2.29667593e-07  22.2929  19.4465  19.6875  0.0000
0202-03-28_17:42:28.387000      18654.10        1.79054700e+01        2.27250593e-07  22.2864  19.4471  19.6738  0.0000
0202-03-28_17:42:28.734000      18654.45        1.82034000e+01        2.33881993e-07  22.2864  19.4471  19.6738  0.0000
0202-03-28_17:42:29.082000      18654.79        1.85020300e+01        2.37724393e-07  22.2864  19.4471  19.6738  0.0000
0202-03-28_17:42:29.440000      18655.15        1.88001500e+01        2.48632093e-07  22.2970  19.4549  19.6980  0.0000
0202-03-28_17:42:29.790000      18655.50        1.90984300e+01        2.49623693e-07  22.2970  19.4549  19.6980  0.0000
0202-03-28_17:42:30.150000      18655.86        1.93963200e+01        2.47950393e-07  22.2837  19.4431  19.6793  0.0000
0202-03-28_17:42:30.504000      18656.22        1.96949100e+01        2.47950393e-07  22.2837  19.4431  19.6793  0.0000
0202-03-28_17:42:30.850000      18656.56        1.99925400e+01        2.38468093e-07  22.2837  19.4431  19.6793  0.0000
0202-03-28_17:42:31.200000      18656.91        2.02910800e+01        2.35803193e-07  22.2918  19.4571  19.6818  0.0000
0202-03-28_17:42:31.560000      18657.27        2.05894600e+01        2.34687593e-07  22.2918  19.4571  19.6818  0.0000
0202-03-28_17:42:31.902000      18657.61        2.08877400e+01        2.44045893e-07  22.2918  19.4571  19.6818  0.0000
0202-03-28_17:42:32.250000      18657.96        2.11858800e+01        2.42744493e-07  22.2956  19.4508  19.6887  0.0000
0202-03-28_17:42:32.598000      18658.31        2.14845700e+01        2.40451393e-07  22.2956  19.4508  19.6887  0.0000
0202-03-28_17:42:32.945000      18658.66        2.17828900e+01        2.37724393e-07  22.2956  19.4508  19.6887  0.0000
